SURVEY:   DES
SNID:             122  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       34.500000  # deg (avg among obs)
DEC:      -5.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0227 +- 0.0036  # MW E(B-V) 
MWXT_MAG:  0.092 0.061 0.045 0.034  # MW mag-XT per band
PEAKMJD:  56250.785     # estimate for LC fit codes
MJD_TRIGGER:       56237.023  
MJD_DETECT_FIRST:  56235.027  
MJD_DETECT_LAST:   56337.043  

REDSHIFT_HELIO:   0.278566 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.277513 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.27849 
SIM_REDSHIFT_CMB:    0.27743  
SIM_REDSHIFT_HOST:   0.27849 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.7554   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              34.500000     # deg  
SIM_DEC:             -5.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0252   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.054     # coh model scatter 
SIM_PEAKMJD:         56250.418    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.1231e-05 
SIM_SALT2x1:         -1.4008 
SIM_SALT2c:          0.2284 
SIM_SALT2mB:         22.3176 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.4382  # spectro-search efficiency 
SIM_TRESTMIN:        -17.53  # days 
SIM_TRESTMAX:        69.38  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.802 22.241 22.064 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 54 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56228.0310 DES-g deep2  7.95996e-01  2.6161e+01    0  1.000 31.510  1.67 1.773e+02 99 
OBS: 56228.0470 DES-r deep2  5.98517e-01  1.1646e+01    0  1.000 33.030  1.66 3.223e+02 99 
OBS: 56228.3320 DES-i deep2 -9.85473e-01  7.0703e+00    0  1.000 34.570  2.13 6.301e+02 99 
OBS: 56229.0310 DES-g deep2 -3.85299e+01  3.0779e+01    0  1.000 31.510  1.65 2.112e+02 99 
OBS: 56229.3050 DES-r deep2  4.34389e+00  4.6405e+00    0  1.000 34.430  1.95 3.969e+02  30.8107 
OBS: 56229.3200 DES-i deep2  1.00338e+01  7.9527e+00    0  1.000 34.540  1.94 7.569e+02 99 
OBS: 56230.3160 DES-g deep2  2.66523e+00  8.2142e+00    0  1.000 32.900  1.56 2.144e+02 99 
OBS: 56230.3280 DES-r deep2 -5.34492e+00  3.9576e+00    0  1.000 34.470  1.76 3.892e+02  27.4594 
OBS: 56230.3440 DES-i deep2 -6.23168e-01  7.5170e+00    0  1.000 34.550  1.90 7.373e+02  28.5208 
OBS: 56235.0200 DES-g deep2  3.21912e+00  3.2795e+00    0  1.000 32.790  2.48 4.763e+01  25.0772 
OBS: 56235.0270 DES-r deep2  1.94348e+01  3.0442e+00 4096  1.000 34.120  2.81 1.352e+02  24.2949 
OBS: 56235.0390 DES-i deep2  1.79477e+01  5.6761e+00    0  1.000 34.120  3.11 2.286e+02  23.9543 
OBS: 56236.3240 DES-g deep2  1.02121e+01  4.1459e+00    0  1.000 32.970  2.59 6.876e+01  24.5335 
OBS: 56237.0230 DES-r deep2  3.01266e+01  2.1322e+00 4096  1.000 34.430  2.61 1.352e+02  23.7193 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56237.0234
OBS: 56237.0390 DES-i deep2  4.57231e+01  3.4883e+00 4096  1.000 34.560  2.86 2.286e+02  23.3913 
OBS: 56238.0230 DES-g deep2  2.92127e+01  2.8415e+00 4096  1.000 32.940  2.44 4.763e+01  24.0004 
OBS: 56243.0270 DES-r deep2  9.33963e+01  2.3754e+00 4096  1.000 34.440  2.91 1.352e+02  22.6175 
OBS: 56243.0390 DES-i deep2  1.14495e+02  3.4233e+00 4096  1.000 34.570  2.82 2.286e+02  22.3677 
OBS: 56244.0270 DES-g deep2  6.35471e+01  3.2074e+00 4096  1.000 32.940  2.73 4.763e+01  22.9668 
OBS: 56245.0270 DES-r deep2  1.02295e+02  1.3996e+00 4096  1.000 34.500  1.76 1.352e+02  22.4397 
OBS: 56245.0430 DES-i deep2  1.28697e+02  2.0888e+00 4096  1.000 34.610  1.76 2.286e+02  22.2242 
OBS: 56246.0270 DES-g deep2  7.07640e+01  1.8999e+00 4096  1.000 33.010  1.65 4.763e+01  22.8522 
OBS: 56247.2070 DES-r deep2  1.20427e+02  1.3822e+00 4096  1.000 34.450  1.64 1.352e+02  22.3136 
OBS: 56247.2230 DES-i deep2  1.38593e+02  2.1315e+00 4096  1.000 34.540  1.68 2.286e+02  22.1322 
OBS: 56254.1600 DES-g deep2  6.55971e+01  3.4773e+00 4096  1.000 32.940  1.39 1.034e+02  22.9475 
OBS: 56258.1910 DES-r deep2  1.08561e+02  3.2556e+00 4096  1.000 34.470  1.69 3.306e+02  22.3873 
OBS: 56258.2150 DES-i deep2  1.29244e+02  5.8273e+00 4096  1.000 34.590  1.81 6.208e+02  22.2023 
OBS: 56261.0430 DES-g deep2  3.32392e+01  4.4841e+00 4096  1.000 32.940  1.34 1.404e+02  23.5408 
OBS: 56261.1090 DES-r deep2  9.92593e+01  2.9079e+00 4096  1.000 33.810  1.20 2.242e+02  22.5217 
OBS: 56261.1250 DES-i deep2  1.13198e+02  4.2024e+00 4096  1.000 34.120  1.31 3.993e+02  22.3957 
OBS: 56273.1760 DES-g deep2  8.84941e+00  1.9668e+00    0  1.000 32.910  1.65 4.763e+01  25.0238 
