SURVEY:   DES
SNID:             3096  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -24.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0202 +- 0.0032  # MW E(B-V) 
MWXT_MAG:  0.083 0.055 0.041 0.031  # MW mag-XT per band
PEAKMJD:  56173.688     # estimate for LC fit codes
MJD_TRIGGER:       56179.234  
MJD_DETECT_FIRST:  56179.219  
MJD_DETECT_LAST:   56219.156  

REDSHIFT_HELIO:   0.346606 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.346045 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           5    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.34645 
SIM_REDSHIFT_CMB:    0.34589  
SIM_REDSHIFT_HOST:   0.34645 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.3069   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -24.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0228   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.016     # coh model scatter 
SIM_PEAKMJD:         56174.215    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.4076e-05 
SIM_SALT2x1:         0.3042 
SIM_SALT2c:          0.0880 
SIM_SALT2mB:         22.1810 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.4493  # spectro-search efficiency 
SIM_TRESTMIN:        3.72  # days 
SIM_TRESTMAX:        64.68  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.749 22.081 22.041 22.287  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 56 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.2190 DES-g shallow4  6.81894e+01  2.4211e+00 4096  1.000 32.450  1.62 3.638e+01  22.9688 
OBS: 56179.2340 DES-r shallow4  1.33400e+02  6.9938e+00 4096  1.000 31.090  1.74 2.760e+01  22.1527 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56179.2344
OBS: 56179.2500 DES-i shallow4  1.68016e+02  7.0704e+00 4096  1.000 32.230  1.98 7.619e+01  22.0559 
OBS: 56179.2660 DES-z shallow4  1.32949e+02  1.0659e+01 4096  1.000 33.240  2.70 2.193e+02  22.3155 
OBS: 56187.2030 DES-g shallow4  3.97760e+01  2.4668e+00 4096  1.000 32.380  1.59 3.638e+01  23.5023 
OBS: 56187.2110 DES-r shallow4  1.06808e+02  6.6638e+00 4096  1.000 31.040  1.59 2.760e+01  22.4554 
OBS: 56187.2190 DES-i shallow4  1.16466e+02  5.6421e+00 4096  1.000 32.170  1.49 7.619e+01  22.3234 
OBS: 56187.2300 DES-z shallow4  8.51715e+01  6.0898e+00 4096  1.000 33.230  1.56 2.142e+02  22.6687 
OBS: 56194.1990 DES-g shallow4  1.74158e+01  2.8331e+00 4096  1.000 32.330  1.44 4.577e+01  24.1630 
OBS: 56194.2150 DES-r shallow4  7.21327e+01  8.4571e+00 4096  1.000 30.880  1.74 2.843e+01  22.8803 
OBS: 56194.2230 DES-i shallow4  1.13829e+02  1.3725e+01 4096  1.000 31.290  1.59 7.852e+01  22.6128 
OBS: 56194.2270 DES-z shallow4  5.22985e+01  9.8217e+00 4096  1.000 32.750  1.58 2.201e+02  22.9359 
OBS: 56208.2230 DES-g shallow4  7.92401e+00  1.8602e+00    0  1.000 32.440  1.30 3.638e+01  25.3393 
OBS: 56208.2380 DES-r shallow4  2.81144e+01  5.7871e+00 4096  1.000 31.090  1.40 2.969e+01  23.8227 
OBS: 56209.1600 DES-i shallow4  6.78041e+01  5.5969e+00 4096  1.000 32.270  1.64 7.619e+01  23.0190 
OBS: 56209.1760 DES-z shallow4  6.68919e+01  6.8308e+00 4096  1.000 33.240  1.77 2.142e+02  22.9572 
OBS: 56218.1910 DES-g shallow4  5.77893e+00  1.7550e+00 4096  1.000 32.340  1.12 3.638e+01  25.8560 
OBS: 56218.2110 DES-r shallow4  1.42804e+01  5.0910e+00    0  1.000 30.950  1.16 2.760e+01  24.3309 
OBS: 56218.2300 DES-i shallow4  4.36065e+01  4.8182e+00 4096  1.000 32.220  1.35 7.619e+01  23.3888 
OBS: 56219.1560 DES-z shallow4  4.89053e+01  5.5453e+00 4096  1.000 33.220  1.41 2.142e+02  23.3241 
OBS: 56222.1170 DES-g shallow4  3.20692e+00  4.9957e+00    0  1.000 32.150  2.33 4.262e+01  25.9835 
OBS: 56222.1250 DES-r shallow4  1.52453e+01  1.4930e+01    0  1.000 30.530  2.29 2.818e+01  24.4914 
OBS: 56222.1330 DES-i shallow4  2.96190e+01  1.2867e+01    0  1.000 31.640  2.09 7.786e+01  23.5522 
OBS: 56222.1480 DES-z shallow4  2.85461e+01  3.1643e+01    0  1.000 32.080  2.78 2.178e+02  23.4650 
OBS: 56229.0740 DES-g shallow4  3.17604e-01  1.0211e+01    0  1.000 32.070  1.52 1.271e+02  26.1325 
OBS: 56229.0860 DES-r shallow4  3.29673e+01  1.8267e+01    0  1.000 30.560  1.53 5.535e+01  24.6990 
OBS: 56229.1020 DES-i shallow4  5.84924e+01  2.0770e+01    0  1.000 31.800  1.86 1.648e+02  23.8004 
OBS: 56229.1090 DES-z shallow4  3.81254e+01  1.2510e+01    0  1.000 32.900  1.84 2.768e+02  23.7797 
