SURVEY:   DES
SNID:             4541  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -27.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0097 +- 0.0015  # MW E(B-V) 
MWXT_MAG:  0.029 0.019 0.014 0.011  # MW mag-XT per band
PEAKMJD:  56223.965     # estimate for LC fit codes
MJD_TRIGGER:       56207.180  
MJD_DETECT_FIRST:  56207.172  
MJD_DETECT_LAST:   56311.055  

REDSHIFT_HELIO:   0.325239 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.324712 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           0    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.32579 
SIM_REDSHIFT_CMB:    0.32526  
SIM_REDSHIFT_HOST:   0.32579 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.1519   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -27.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0079   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.296     # coh model scatter 
SIM_PEAKMJD:         56223.191    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.7313e-05 
SIM_SALT2x1:         -0.0787 
SIM_SALT2c:          -0.0289 
SIM_SALT2mB:         21.7053 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7756  # spectro-search efficiency 
SIM_TRESTMIN:        -12.09  # days 
SIM_TRESTMAX:        66.32  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.658 21.375 21.411 21.732  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 97 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56207.1720 DES-g deep1  5.68684e+01  2.3205e+00 4096  1.000 33.050  2.16 4.763e+01  23.2043 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56207.1797
OBS: 56207.1800 DES-r deep1  6.95141e+01  2.1732e+00 4096  1.000 34.500  2.82 1.352e+02  22.8694 
OBS: 56207.1950 DES-i deep1  6.70384e+01  3.1643e+00 4096  1.000 34.790  2.78 2.634e+02  22.9231 
OBS: 56207.2190 DES-z deep1  6.62232e+01  3.3913e+00 4096  1.000 35.470  2.33 6.317e+02  22.9034 
OBS: 56216.1760 DES-g deep1  2.12848e+02  1.8295e+00 4096  1.000 33.090  1.45 4.763e+01  21.7185 
OBS: 56216.1910 DES-r deep1  2.32877e+02  1.3006e+00 4096  1.000 34.500  1.51 1.352e+02  21.5781 
OBS: 56216.2150 DES-i deep1  2.18665e+02  1.6912e+00 4096  1.000 34.760  1.59 2.286e+02  21.6463 
OBS: 56216.2420 DES-z deep1  2.01825e+02  1.8660e+00 4096  1.000 35.660  1.57 6.059e+02  21.7784 
OBS: 56221.2030 DES-g deep1  2.31289e+02  3.2602e+00 4096  1.000 32.730  2.12 4.763e+01  21.6181 
OBS: 56221.2110 DES-r deep1  2.77755e+02  2.5815e+00 4096  1.000 33.840  1.73 1.352e+02  21.3879 
OBS: 56221.2270 DES-i deep1  2.78764e+02  3.2592e+00 4096  1.000 34.200  1.87 2.286e+02  21.4433 
OBS: 56221.2540 DES-z deep1  2.05418e+02  3.0158e+00 4096  1.000 35.360  1.94 6.059e+02  21.7309 
OBS: 56222.2540 DES-g deep1  2.26309e+02  2.5114e+00 4096  1.000 32.840  1.71 4.763e+01  21.6335 
OBS: 56222.2700 DES-r deep1  2.80662e+02  3.2320e+00 4096  1.000 33.690  1.92 1.352e+02  21.3768 
OBS: 56222.2810 DES-i deep1  2.72852e+02  8.8633e+00 4096  1.000 33.340  2.35 2.286e+02  21.4230 
OBS: 56222.3120 DES-z deep1  2.07558e+02  3.0450e+00 4096  1.000 35.220  1.72 6.059e+02  21.7311 
OBS: 56228.2270 DES-g deep1  1.68944e+02  6.4910e+00 4096  1.000 32.480  1.25 1.405e+02  21.8937 
OBS: 56228.2340 DES-r deep1  2.66200e+02  2.3678e+00 4096  1.000 34.260  1.40 2.295e+02  21.4489 
OBS: 56228.2580 DES-i deep1  2.62742e+02  4.2749e+00 4096  1.000 34.360  1.60 4.125e+02  21.4304 
OBS: 56228.2850 DES-z deep1  1.87566e+02  3.3676e+00 4096  1.000 35.160  1.48 7.384e+02  21.7762 
OBS: 56229.2150 DES-g deep1  1.60490e+02  6.2012e+00 4096  1.000 32.840  1.43 1.644e+02  21.9561 
OBS: 56229.2230 DES-r deep1  2.59417e+02  4.9252e+00 4096  1.000 33.550  1.35 2.650e+02  21.4768 
OBS: 56229.2340 DES-i deep1  2.50920e+02  4.3909e+00 4096  1.000 34.390  1.45 4.814e+02  21.4505 
OBS: 56229.2580 DES-z deep1  1.97270e+02  3.6413e+00 4096  1.000 35.260  1.66 7.815e+02  21.7968 
OBS: 56230.1990 DES-g deep1  1.57290e+02  6.2148e+00 4096  1.000 32.890  1.43 1.728e+02  22.0212 
OBS: 56230.2070 DES-r deep1  2.54583e+02  2.5021e+00 4096  1.000 34.420  1.43 2.789e+02  21.5075 
OBS: 56230.2300 DES-i deep1  2.55663e+02  3.6570e+00 4096  1.000 34.540  1.31 5.078e+02  21.4774 
OBS: 56230.2580 DES-z deep1  1.78330e+02  2.6022e+00 4096  1.000 35.460  1.40 7.940e+02  21.8266 
