SURVEY:   DES
SNID:             5589  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.287 0.191 0.140 0.107  # MW mag-XT per band
PEAKMJD:  56213.141     # estimate for LC fit codes
MJD_TRIGGER:       56202.238  
MJD_DETECT_FIRST:  56202.223  
MJD_DETECT_LAST:   56248.250  

REDSHIFT_HELIO:   0.213910 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.213169 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.21472 
SIM_REDSHIFT_CMB:    0.21398  
SIM_REDSHIFT_HOST:   0.21472 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.1168   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0786   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.096     # coh model scatter 
SIM_PEAKMJD:         56212.375    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.9066e-05 
SIM_SALT2x1:         -2.7508 
SIM_SALT2c:          0.1621 
SIM_SALT2mB:         21.6555 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6153  # spectro-search efficiency 
SIM_TRESTMIN:        -10.01  # days 
SIM_TRESTMAX:        68.97  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.261 21.837 21.749 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 44 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56200.2190 DES-g shallow7 -4.58751e-01  1.2714e+01    0  1.000 32.370  2.31 1.374e+02  24.1093 
OBS: 56202.2230 DES-r shallow7  7.17860e+01  1.3487e+01 4096  1.000 31.070  1.52 6.581e+01  22.9113 
OBS: 56202.2380 DES-i shallow7  9.02893e+01  1.4217e+01 4096  1.000 32.280  1.61 2.026e+02  22.6019 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56202.2383
OBS: 56214.1640 DES-g shallow7  1.16017e+02  2.6695e+00 4096  1.000 32.370  1.60 3.638e+01  22.3169 
OBS: 56215.2380 DES-r shallow7  1.83748e+02  6.3697e+00 4096  1.000 31.040  1.45 2.760e+01  21.8412 
OBS: 56216.1640 DES-i shallow7  1.94129e+02  5.7858e+00 4096  1.000 32.260  1.64 7.619e+01  21.7956 
OBS: 56221.1130 DES-g shallow7  6.84413e+01  4.6447e+00 4096  1.000 32.210  2.43 3.916e+01  22.9256 
OBS: 56221.1950 DES-r shallow7  9.75752e+01  4.7476e+01    0  1.000 29.110  2.00 2.760e+01  22.0596 
OBS: 56221.3120 DES-i shallow7  1.52322e+02  8.5906e+00 4096  1.000 31.940  1.85 7.619e+01  22.0830 
OBS: 56228.1990 DES-g shallow7  2.82028e+01  6.9402e+00    0  1.000 32.330  1.32 1.260e+02  24.0897 
OBS: 56228.2150 DES-r shallow7  1.02773e+02  1.5607e+01    0  1.000 30.880  1.65 5.860e+01  22.5164 
OBS: 56228.2230 DES-i shallow7  1.15994e+02  2.9205e+01    0  1.000 31.290  1.52 1.772e+02  22.4246 
OBS: 56230.1560 DES-g shallow7  2.02920e+01  9.8438e+00    0  1.000 32.290  1.33 1.716e+02  24.4431 
OBS: 56230.1720 DES-r shallow7  1.01161e+02  1.8936e+01 4096  1.000 30.930  1.46 8.506e+01  22.6209 
OBS: 56230.1880 DES-i shallow7  1.01694e+02  2.2937e+01    0  1.000 32.110  1.70 2.652e+02  22.4544 
OBS: 56235.1600 DES-g shallow7  2.08544e+01  5.3470e+00    0  1.000 32.350  1.86 6.962e+01  25.1309 
OBS: 56235.1720 DES-r shallow7  6.26879e+01  1.1764e+01 4096  1.000 30.940  2.14 3.511e+01  22.9090 
OBS: 56235.1880 DES-i shallow7  7.76175e+01  1.0344e+01 4096  1.000 32.190  2.17 1.001e+02  22.5988 
OBS: 56237.1990 DES-g shallow7  7.80785e+00  4.9529e+00    0  1.000 32.120  1.94 4.964e+01  25.3070 
OBS: 56237.2070 DES-r shallow7  5.44499e+01  9.8773e+00 4096  1.000 30.860  1.95 2.950e+01  23.0346 
OBS: 56237.2150 DES-i shallow7  1.07143e+02  1.2718e+01 4096  1.000 31.610  1.90 8.195e+01  22.6281 
OBS: 56243.1950 DES-g shallow7  7.51319e+00  2.2457e+00 4096  1.000 32.320  1.41 3.638e+01  25.6780 
OBS: 56243.2030 DES-r shallow7  4.26867e+01  6.7758e+00    0  1.000 30.990  1.59 2.760e+01  23.4971 
OBS: 56243.2110 DES-i shallow7  7.27122e+01  5.8672e+00 4096  1.000 32.080  1.44 7.619e+01  22.9576 
OBS: 56245.1910 DES-g shallow7  6.11550e+00  6.5258e+00    0  1.000 31.200  1.47 3.638e+01  25.7878 
OBS: 56245.1990 DES-r shallow7  2.85210e+01  6.2075e+00 4096  1.000 31.010  1.49 2.760e+01  23.6812 
OBS: 56245.2030 DES-i shallow7  4.77125e+01  5.7882e+00 4096  1.000 32.140  1.51 7.619e+01  23.1921 
OBS: 56248.2300 DES-g shallow7  9.25803e+00  2.4535e+00    0  1.000 32.320  1.54 3.638e+01  25.8710 
