SURVEY:   DES
SNID:             5854  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -33.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.047 0.031 0.023 0.017  # MW mag-XT per band
PEAKMJD:  56173.211     # estimate for LC fit codes
MJD_TRIGGER:       56178.234  
MJD_DETECT_FIRST:  56178.219  
MJD_DETECT_LAST:   56248.207  

REDSHIFT_HELIO:   0.279977 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.279521 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           3    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.27964 
SIM_REDSHIFT_CMB:    0.27918  
SIM_REDSHIFT_HOST:   0.27964 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.7700   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -33.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0128   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.121     # coh model scatter 
SIM_PEAKMJD:         56172.812    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.6317e-05 
SIM_SALT2x1:         0.4955 
SIM_SALT2c:          -0.0241 
SIM_SALT2mB:         21.2584 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8441  # spectro-search efficiency 
SIM_TRESTMIN:        4.23  # days 
SIM_TRESTMAX:        69.13  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.414 21.131 21.220 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 43 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56178.2190 DES-g shallow2  2.42965e+02  6.0840e+00 4096  1.000 32.350  2.69 5.249e+01  21.6269 
OBS: 56178.2340 DES-r shallow2  3.20088e+02  1.4211e+01 4096  1.000 30.960  2.90 3.077e+01  21.1900 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56178.2344
OBS: 56178.2500 DES-i shallow2  3.34718e+02  1.7323e+01 4096  1.000 32.100  3.86 8.630e+01  21.2480 
OBS: 56186.2030 DES-g shallow2  1.36361e+02  2.6369e+00 4096  1.000 32.380  1.56 3.638e+01  22.1574 
OBS: 56186.2110 DES-r shallow2  2.46986e+02  6.9841e+00 4096  1.000 31.040  1.57 2.760e+01  21.4705 
OBS: 56186.2190 DES-i shallow2  2.34006e+02  5.7113e+00 4096  1.000 32.170  1.47 7.619e+01  21.6152 
OBS: 56189.3120 DES-g shallow2  1.04134e+02  3.0781e+00 4096  1.000 32.120  1.49 3.638e+01  22.4493 
OBS: 56189.3240 DES-r shallow2  2.13711e+02  3.9078e+01 4096  1.000 29.150  1.69 2.760e+01  21.6321 
OBS: 56189.3400 DES-i shallow2  2.53992e+02  4.8674e+01    0  1.000 29.900  1.62 7.619e+01  21.7717 
OBS: 56202.1910 DES-g shallow2  3.99827e+01  6.9408e+00    0  1.000 32.390  1.73 1.013e+02  23.7240 
OBS: 56202.1990 DES-r shallow2  1.24516e+02  1.0603e+01 4096  1.000 31.060  1.69 4.489e+01  22.3233 
OBS: 56202.2070 DES-i shallow2  1.69952e+02  1.1210e+01 4096  1.000 32.230  1.86 1.311e+02  22.0224 
OBS: 56215.1950 DES-g shallow2  1.69297e+01  2.0977e+00 4096  1.000 32.430  1.44 3.638e+01  24.5895 
OBS: 56215.2030 DES-r shallow2  5.67407e+01  6.5549e+00 4096  1.000 31.060  1.63 2.760e+01  22.9760 
OBS: 56215.2110 DES-i shallow2  1.05305e+02  4.6377e+00 4096  1.000 32.250  1.31 7.619e+01  22.4441 
OBS: 56221.1480 DES-g shallow2  5.53127e+00  1.1464e+01    0  1.000 31.230  2.43 4.006e+01  24.7272 
OBS: 56221.1600 DES-r shallow2  7.04500e+01  1.6837e+01    0  1.000 30.230  1.96 2.791e+01  23.2345 
OBS: 56221.1760 DES-i shallow2  7.15874e+01  2.0584e+01    0  1.000 31.000  1.87 7.709e+01  22.7074 
OBS: 56228.1370 DES-g shallow2  1.70296e+01  6.6301e+00    0  1.000 32.290  1.49 1.027e+02  24.7879 
OBS: 56228.1450 DES-r shallow2  3.71192e+01  1.0013e+01 4096  1.000 30.910  1.42 4.451e+01  23.4453 
OBS: 56228.1560 DES-i shallow2  5.97154e+01  9.8813e+00 4096  1.000 31.970  1.31 1.296e+02  22.9644 
OBS: 56230.1050 DES-g shallow2  1.70878e+01  8.6175e+00    0  1.000 32.210  1.47 1.260e+02  24.8311 
OBS: 56230.1130 DES-r shallow2  3.12357e+01  1.4025e+01    0  1.000 30.900  1.67 5.315e+01  23.4855 
OBS: 56230.1210 DES-i shallow2  5.32495e+01  1.3594e+01    0  1.000 32.070  1.64 1.567e+02  23.0272 
OBS: 56235.1090 DES-g shallow2  1.03133e+01  4.6162e+00    0  1.000 32.280  2.81 3.638e+01  24.9755 
OBS: 56235.1170 DES-r shallow2  2.85633e+01  1.2101e+01    0  1.000 30.870  2.58 2.760e+01  23.5542 
OBS: 56235.1250 DES-i shallow2  6.16897e+01  1.2817e+01    0  1.000 32.000  2.96 7.619e+01  23.1642 
OBS: 56237.1450 DES-g shallow2  1.14792e+01  4.7625e+00    0  1.000 31.900  2.04 3.638e+01  25.0429 
OBS: 56237.1480 DES-r shallow2  5.04451e+01  1.0501e+01    0  1.000 30.660  1.83 2.760e+01  23.5718 
OBS: 56237.1600 DES-i shallow2  7.27431e+01  1.1718e+01    0  1.000 31.680  2.01 7.619e+01  23.2114 
OBS: 56243.1410 DES-g shallow2  9.77072e+00  2.6624e+00    0  1.000 32.350  1.72 3.638e+01  25.2458 
OBS: 56243.1520 DES-r shallow2  5.09549e+01  7.1854e+00    0  1.000 31.000  1.70 2.760e+01  23.6327 
OBS: 56243.1680 DES-i shallow2  4.45658e+01  6.6878e+00 4096  1.000 32.140  1.75 7.619e+01  23.3634 
OBS: 56245.1290 DES-g shallow2  1.18340e+01  2.9926e+00    0  1.000 32.230  1.73 3.638e+01  25.3131 
OBS: 56245.1370 DES-r shallow2  4.40639e+01  7.9745e+00    0  1.000 30.690  1.42 2.760e+01  23.6528 
OBS: 56245.1520 DES-i shallow2  3.94401e+01  5.9463e+00 4096  1.000 32.050  1.43 7.619e+01  23.4137 
