SURVEY:   DES
SNID:             5988  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       36.750000  # deg (avg among obs)
DEC:      -4.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0283 +- 0.0045  # MW E(B-V) 
MWXT_MAG:  0.077 0.051 0.037 0.029  # MW mag-XT per band
PEAKMJD:  56197.445     # estimate for LC fit codes
MJD_TRIGGER:       56188.160  
MJD_DETECT_FIRST:  56188.148  
MJD_DETECT_LAST:   56266.180  

REDSHIFT_HELIO:   0.331838 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.330784 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.33172 
SIM_REDSHIFT_CMB:    0.33066  
SIM_REDSHIFT_HOST:   0.33172 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.1942   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              36.750000     # deg  
SIM_DEC:             -4.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0211   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.232     # coh model scatter 
SIM_PEAKMJD:         56197.066    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.7115e-05 
SIM_SALT2x1:         -0.5340 
SIM_SALT2c:          0.0463 
SIM_SALT2mB:         22.0520 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6245  # spectro-search efficiency 
SIM_TRESTMIN:        -13.45  # days 
SIM_TRESTMAX:        68.39  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.248 21.727 21.731 21.986  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 64 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.1720 DES-g shallow6  8.54031e+00  3.1962e+00    0  1.000 32.420  2.21 3.638e+01  24.7324 
OBS: 56179.3120 DES-r shallow6  4.38993e+01  1.5862e+01    0  1.000 30.750  2.81 3.001e+01  23.9094 
OBS: 56179.3280 DES-i shallow6  3.65256e+01  1.2951e+01    0  1.000 32.050  2.85 8.396e+01  23.8640 
OBS: 56179.3440 DES-z shallow6  2.01807e+01  1.1879e+01    0  1.000 33.070  2.58 2.192e+02  23.8286 
OBS: 56188.1480 DES-g shallow6  7.25326e+01  1.4127e+01 4096  1.000 31.230  3.26 3.638e+01  22.4930 
OBS: 56188.1600 DES-r shallow6  1.53413e+02  2.1591e+01 4096  1.000 30.230  2.53 2.760e+01  22.1288 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56188.1602
OBS: 56188.2110 DES-i shallow6  1.27736e+02  1.3397e+01 4096  1.000 31.580  2.09 7.619e+01  22.1412 
OBS: 56188.2270 DES-z shallow6  1.15456e+02  1.2262e+01 4096  1.000 32.840  2.20 2.142e+02  22.1756 
OBS: 56200.1800 DES-g shallow6  8.69420e+01  1.5918e+01 4096  1.000 32.420  2.76 1.505e+02  22.3763 
OBS: 56200.1880 DES-r shallow6  1.55848e+02  2.4557e+01 4096  1.000 31.040  2.57 6.918e+01  21.7583 
OBS: 56200.1950 DES-i shallow6  2.13860e+02  2.3693e+01 4096  1.000 32.400  2.88 2.110e+02  21.7255 
OBS: 56200.2030 DES-z shallow6  1.68162e+02  1.4771e+01    0  1.000 33.250  2.83 2.930e+02  22.0128 
OBS: 56210.2030 DES-g shallow6  5.73452e+01  3.7967e+00 4096  1.000 32.420  2.58 3.638e+01  23.1392 
OBS: 56210.2110 DES-r shallow6  1.35903e+02  1.0853e+01 4096  1.000 31.190  3.06 2.760e+01  22.1432 
OBS: 56210.2190 DES-i shallow6  1.42571e+02  9.2965e+00 4096  1.000 32.170  2.49 7.619e+01  22.0908 
OBS: 56210.2340 DES-z shallow6  9.13471e+01  1.1341e+01 4096  1.000 33.170  2.76 2.142e+02  22.4613 
OBS: 56220.1880 DES-g shallow6  1.92026e+01  1.9411e+00 4096  1.000 32.370  1.25 3.638e+01  24.1839 
OBS: 56220.1950 DES-r shallow6  7.49569e+01  5.6737e+00 4096  1.000 31.020  1.33 2.760e+01  22.8246 
OBS: 56220.2030 DES-i shallow6  1.04457e+02  5.3725e+00 4096  1.000 32.200  1.46 7.619e+01  22.4322 
OBS: 56220.2110 DES-z shallow6  9.29307e+01  5.6420e+00 4096  1.000 33.250  1.47 2.142e+02  22.6402 
OBS: 56222.2030 DES-g shallow6  3.70711e+01  4.9507e+00    0  1.000 32.140  2.20 4.396e+01  24.3673 
OBS: 56222.2110 DES-r shallow6  6.89109e+01  1.3675e+01    0  1.000 30.390  1.81 2.842e+01  22.9808 
OBS: 56222.2270 DES-i shallow6  7.70040e+01  1.0203e+01 4096  1.000 31.810  1.97 7.619e+01  22.4788 
OBS: 56222.2380 DES-z shallow6  8.69372e+01  9.2148e+00 4096  1.000 33.160  2.22 2.142e+02  22.6263 
OBS: 56229.1450 DES-g shallow6  8.37561e+00  9.6080e+00    0  1.000 32.280  1.36 1.623e+02  24.9212 
OBS: 56229.1560 DES-r shallow6  2.84232e+01  1.7878e+01    0  1.000 30.780  1.28 8.002e+01  23.4716 
OBS: 56229.1720 DES-i shallow6  5.76586e+01  2.1398e+01    0  1.000 31.850  1.33 2.489e+02  22.7017 
OBS: 56229.1880 DES-z shallow6  8.92437e+01  8.7606e+00 4096  1.000 33.060  1.38 2.987e+02  22.6260 
