SURVEY:   DES
SNID:             7467  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -21.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0337 +- 0.0054  # MW E(B-V) 
MWXT_MAG:  0.143 0.095 0.070 0.053  # MW mag-XT per band
PEAKMJD:  56213.844     # estimate for LC fit codes
MJD_TRIGGER:       56231.188  
MJD_DETECT_FIRST:  56220.172  
MJD_DETECT_LAST:   56231.188  

REDSHIFT_HELIO:   0.823415 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.822623 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           6    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.82361 
SIM_REDSHIFT_CMB:    0.82282  
SIM_REDSHIFT_HOST:   0.82361 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            43.5620   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -21.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0391   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.020     # coh model scatter 
SIM_PEAKMJD:         56214.957    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.2424e-06 
SIM_SALT2x1:         -0.6187 
SIM_SALT2c:          -0.0680 
SIM_SALT2mB:         24.0660 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0288  # spectro-search efficiency 
SIM_TRESTMIN:        -14.69  # days 
SIM_TRESTMAX:        65.35  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 24.213 23.512 23.767  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 60 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56188.1910 DES-r shallow5  2.22906e+01  3.9525e+01    0  1.000 29.480  2.35 2.760e+01  28.7531 
OBS: 56188.1950 DES-i shallow5 -4.70832e+01  4.9593e+01    0  1.000 30.300  2.40 7.619e+01  26.8304 
OBS: 56188.2030 DES-z shallow5 -3.09238e+00  1.4377e+01    0  1.000 32.990  2.97 2.142e+02  26.7909 
OBS: 56194.3480 DES-r shallow5 -2.80779e+00  6.1093e+00    0  1.000 31.040  1.53 2.760e+01  25.7257 
OBS: 56200.1560 DES-i shallow5  2.27984e+01  1.8640e+01    0  1.000 32.270  2.79 1.521e+02  24.1465 
OBS: 56200.1720 DES-z shallow5  3.37171e+01  1.2309e+01    0  1.000 33.310  2.65 2.760e+02  24.4065 
OBS: 56209.1990 DES-r shallow5  1.35743e+01  6.5076e+00    0  1.000 31.060  1.65 2.760e+01  24.1587 
OBS: 56210.1880 DES-i shallow5  1.88538e+01  1.5416e+01    0  1.000 32.140  4.06 7.619e+01  23.5461 
OBS: 56210.1950 DES-z shallow5  7.01964e+00  1.7947e+01    0  1.000 33.210  4.54 2.142e+02  23.8329 
OBS: 56219.1880 DES-r shallow5  1.49807e+01  5.4818e+00    0  1.000 31.000  1.31 2.760e+01  24.3740 
OBS: 56220.1560 DES-i shallow5  3.74642e+01  4.9340e+00    0  1.000 32.200  1.36 7.619e+01  23.6003 
OBS: 56220.1720 DES-z shallow5  2.56917e+01  5.5795e+00 4096  1.000 33.180  1.37 2.142e+02  23.7929 
OBS: 56222.1760 DES-r shallow5  2.14495e+01  2.3037e+01    0  1.000 29.810  1.82 2.818e+01  24.5217 
OBS: 56222.1910 DES-i shallow5  3.48801e+01  2.8858e+01    0  1.000 30.670  1.92 7.786e+01  23.6624 
OBS: 56222.1950 DES-z shallow5  4.23902e+01  4.5625e+01    0  1.000 31.320  1.99 2.179e+02  23.8273 
OBS: 56229.1210 DES-r shallow5  3.89590e+00  1.7578e+01    0  1.000 30.710  1.64 5.726e+01  24.9320 
OBS: 56229.1290 DES-i shallow5  2.42812e+01  1.8662e+01    0  1.000 31.890  1.75 1.711e+02  23.9592 
OBS: 56229.1370 DES-z shallow5  3.41370e+01  9.4449e+00    0  1.000 33.140  1.72 2.788e+02  23.9880 
OBS: 56231.1560 DES-r shallow5  2.61457e+01  1.1286e+01    0  1.000 30.920  1.30 5.601e+01  25.0695 
OBS: 56231.1720 DES-i shallow5  2.44512e+01  1.1914e+01    0  1.000 32.120  1.41 1.675e+02  24.0713 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56231.1875
OBS: 56231.1880 DES-z shallow5  2.08836e+01  8.7121e+00 4096  1.000 33.140  1.63 2.715e+02  24.0461 
OBS: 56236.1090 DES-r shallow5 -4.83355e+00  1.3548e+01    0  1.000 30.910  3.01 2.760e+01  25.4244 
OBS: 56236.1170 DES-i shallow5  2.28673e+01  1.1127e+01    0  1.000 32.060  2.72 7.619e+01  24.3709 
OBS: 56236.1250 DES-z shallow5  2.90982e+01  1.4517e+01    0  1.000 33.030  3.11 2.142e+02  24.2064 
OBS: 56238.1290 DES-r shallow5  1.52120e+01  8.7781e+00    0  1.000 30.920  1.96 2.760e+01  25.5803 
OBS: 56238.1370 DES-i shallow5 -1.29349e+00  9.8061e+00    0  1.000 31.920  2.11 7.619e+01  24.5105 
OBS: 56238.1450 DES-z shallow5  2.41471e+01  1.4136e+01    0  1.000 32.750  2.34 2.142e+02  24.2842 
OBS: 56244.1170 DES-r shallow5  1.13206e+01  1.0225e+01    0  1.000 30.940  2.33 2.760e+01  26.0683 
