SURVEY:   DES
SNID:             9844  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -33.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.040 0.027 0.019 0.015  # MW mag-XT per band
PEAKMJD:  56266.836     # estimate for LC fit codes
MJD_TRIGGER:       56259.160  
MJD_DETECT_FIRST:  56258.332  
MJD_DETECT_LAST:   56341.125  

REDSHIFT_HELIO:   0.278173 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.277718 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           3    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.27826 
SIM_REDSHIFT_CMB:    0.27780  
SIM_REDSHIFT_HOST:   0.27826 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.7577   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -33.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0109   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.058     # coh model scatter 
SIM_PEAKMJD:         56268.324    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.7380e-05 
SIM_SALT2x1:         1.0089 
SIM_SALT2c:          0.0608 
SIM_SALT2mB:         21.4460 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8050  # spectro-search efficiency 
SIM_TRESTMIN:        -16.43  # days 
SIM_TRESTMAX:        64.71  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.671 21.350 21.337 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 37 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56247.3240 DES-g shallow2  3.25270e+00  2.2608e+00    0  1.000 32.330  1.44 3.638e+01  25.5061 
OBS: 56247.3400 DES-r shallow2  3.90030e+00  6.8035e+00    0  1.000 31.020  1.67 2.760e+01  24.7131 
OBS: 56248.2070 DES-i shallow2  2.94059e+01  5.6678e+00    0  1.000 32.180  1.54 7.619e+01  24.0812 
OBS: 56258.3320 DES-g shallow2  1.49523e+02  7.4234e+00 4096  1.000 32.320  1.55 1.122e+02  21.9888 
OBS: 56259.1600 DES-r shallow2  2.13899e+02  9.7156e+00 4096  1.000 30.980  1.23 5.140e+01  21.6558 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56259.1602
OBS: 56260.1600 DES-i shallow2  2.13356e+02  8.8966e+00 4096  1.000 32.170  1.28 1.417e+02  21.6244 
OBS: 56261.2420 DES-g shallow2  1.95084e+02  4.5559e+00 4096  1.000 32.460  1.19 9.838e+01  21.7520 
OBS: 56268.1560 DES-r shallow2  2.99889e+02  7.4935e+00 4096  1.000 30.910  1.46 2.760e+01  21.3507 
OBS: 56268.1720 DES-i shallow2  2.90930e+02  7.2381e+00 4096  1.000 32.110  1.78 7.619e+01  21.3393 
OBS: 56274.1950 DES-g shallow2  1.81025e+02  2.7509e+00 4096  1.000 32.310  1.46 3.638e+01  21.8853 
OBS: 56278.1800 DES-r shallow2  2.43156e+02  5.5955e+00 4096  1.000 30.990  1.11 2.760e+01  21.5242 
OBS: 56278.1950 DES-i shallow2  2.44300e+02  5.4023e+00 4096  1.000 32.250  1.49 7.619e+01  21.5185 
OBS: 56283.2030 DES-g shallow2  1.06345e+02  3.5157e+00 4096  1.000 32.340  1.26 6.367e+01  22.4533 
OBS: 56288.1680 DES-r shallow2  1.43097e+02  1.1074e+01 4096  1.000 30.970  1.65 4.402e+01  21.9893 
OBS: 56288.1760 DES-i shallow2  1.74650e+02  1.1298e+01 4096  1.000 32.180  1.84 1.274e+02  22.0025 
OBS: 56289.1910 DES-g shallow2  5.97799e+01  6.9010e+00 4096  1.000 32.390  1.58 1.101e+02  23.0535 
OBS: 56292.2300 DES-r shallow2  1.38123e+02  7.2266e+00 4096  1.000 31.030  1.47 3.242e+01  22.1777 
OBS: 56292.2420 DES-i shallow2  1.51700e+02  6.6544e+00 4096  1.000 32.280  1.65 9.038e+01  22.0593 
OBS: 56298.0390 DES-g shallow2  2.69080e+01  2.3843e+00 4096  1.000 32.300  1.44 3.638e+01  23.8954 
OBS: 56304.0860 DES-r shallow2  7.20212e+01  5.8374e+00    0  1.000 30.970  1.31 2.760e+01  22.7446 
OBS: 56304.0940 DES-i shallow2  1.35758e+02  5.1293e+00 4096  1.000 32.170  1.34 7.619e+01  22.1860 
OBS: 56308.0430 DES-g shallow2  1.51463e+01  1.7599e+00 4096  1.000 32.410  1.09 3.955e+01  24.6128 
OBS: 56312.1130 DES-r shallow2  4.32392e+01  8.0972e+00 4096  1.000 30.970  1.61 3.270e+01  23.1657 
OBS: 56312.1250 DES-i shallow2  9.33600e+01  8.1384e+00 4096  1.000 32.110  1.70 9.280e+01  22.5172 
OBS: 56317.1410 DES-g shallow2  6.43744e+00  5.4004e+00    0  1.000 32.370  1.55 8.651e+01  24.9106 
OBS: 56320.1020 DES-r shallow2  4.71491e+01  8.2030e+00 4096  1.000 31.040  1.68 3.397e+01  23.4944 
OBS: 56320.1090 DES-i shallow2  6.03721e+01  7.8265e+00 4096  1.000 32.220  1.78 9.470e+01  22.8697 
OBS: 56321.1250 DES-g shallow2  2.52984e+00  5.6764e+00    0  1.000 31.910  1.35 6.811e+01  24.9333 
