SURVEY:   DES
SNID:             9890  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       0.500000  # deg (avg among obs)
DEC:      -43.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0111 +- 0.0018  # MW E(B-V) 
MWXT_MAG:  0.034 0.023 0.017 0.013  # MW mag-XT per band
PEAKMJD:  56200.098     # estimate for LC fit codes
MJD_TRIGGER:       56188.016  
MJD_DETECT_FIRST:  56188.004  
MJD_DETECT_LAST:   56279.160  

REDSHIFT_HELIO:   0.209245 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.208312 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           9    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.20840 
SIM_REDSHIFT_CMB:    0.20747  
SIM_REDSHIFT_HOST:   0.20840 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.0420   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              0.500000     # deg  
SIM_DEC:             -43.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0093   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.271     # coh model scatter 
SIM_PEAKMJD:         56201.488    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.2950e-04 
SIM_SALT2x1:         0.2750 
SIM_SALT2c:          -0.0888 
SIM_SALT2mB:         20.3543 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9700  # spectro-search efficiency 
SIM_TRESTMIN:        -17.78  # days 
SIM_TRESTMAX:        65.15  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  20.205 20.244 20.467 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 57 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56180.0230 DES-g shallow8  6.93659e+00  4.9364e+00    0  1.000 32.390  3.33 3.638e+01  25.8430 
OBS: 56180.0310 DES-r shallow8  1.23787e+00  1.2886e+01    0  1.000 30.950  2.97 2.760e+01  25.0348 
OBS: 56180.0470 DES-i shallow8 -4.26500e+00  1.2330e+01    0  1.000 32.170  3.34 7.619e+01  25.1131 
OBS: 56188.0040 DES-g shallow8  2.87949e+02  4.7975e+00 4096  1.000 32.350  2.88 3.653e+01  21.3308 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56188.0156
OBS: 56188.0160 DES-r shallow8  2.57552e+02  1.3561e+01 4096  1.000 30.980  3.12 2.761e+01  21.3998 
OBS: 56188.0270 DES-i shallow8  2.68075e+02  1.1420e+01 4096  1.000 32.170  3.05 7.619e+01  21.4938 
OBS: 56189.0040 DES-g shallow8  3.50927e+02  4.8476e+00 4096  1.000 32.350  2.84 3.684e+01  21.1217 
OBS: 56189.0160 DES-r shallow8  3.08617e+02  1.3523e+01 4096  1.000 30.980  3.09 2.763e+01  21.2110 
OBS: 56189.0270 DES-i shallow8  2.98489e+02  1.1341e+01 4096  1.000 32.170  3.02 7.628e+01  21.3114 
OBS: 56194.0120 DES-g shallow8  7.08795e+02  5.5962e+00 4096  1.000 32.270  1.90 5.617e+01  20.3974 
OBS: 56194.0160 DES-r shallow8  6.05825e+02  1.2100e+01 4096  1.000 30.670  1.70 3.124e+01  20.5352 
OBS: 56194.0230 DES-i shallow8  5.41268e+02  1.1210e+01    0  1.000 31.690  1.62 8.770e+01  20.6777 
OBS: 56198.9920 DES-g shallow8  8.11984e+02  1.4452e+01 4096  1.000 32.400  2.99 1.213e+02  20.1922 
OBS: 56199.0000 DES-r shallow8  7.59597e+02  2.6648e+01 4096  1.000 31.030  3.49 5.353e+01  20.2852 
OBS: 56199.0080 DES-i shallow8  6.37954e+02  2.0830e+01 4096  1.000 32.220  2.82 1.591e+02  20.5022 
OBS: 56199.0270 DES-g shallow8  8.61681e+02  1.1369e+01 4096  1.000 32.330  2.16 1.215e+02  20.1919 
OBS: 56209.2070 DES-g shallow8  6.09931e+02  3.4687e+00 4096  1.000 32.410  1.60 3.638e+01  20.5521 
OBS: 56209.2150 DES-r shallow8  7.13390e+02  7.9293e+00 4096  1.000 31.070  1.55 2.760e+01  20.3733 
OBS: 56209.2230 DES-i shallow8  5.98913e+02  5.5750e+00 4096  1.000 32.260  1.43 7.619e+01  20.5885 
OBS: 56219.1950 DES-g shallow8  2.60617e+02  2.5005e+00 4096  1.000 32.390  1.24 3.638e+01  21.4769 
OBS: 56219.2030 DES-r shallow8  4.27256e+02  7.0960e+00 4096  1.000 31.010  1.41 2.760e+01  20.8781 
OBS: 56219.2110 DES-i shallow8  3.75760e+02  5.4882e+00 4096  1.000 32.230  1.44 7.619e+01  21.0891 
OBS: 56221.0040 DES-g shallow8  2.16426e+02  4.3385e+00 4096  1.000 32.350  2.21 4.381e+01  21.6790 
OBS: 56221.0160 DES-r shallow8  4.02388e+02  1.1469e+01 4096  1.000 30.980  2.45 2.879e+01  20.9671 
OBS: 56221.0270 DES-i shallow8  3.48500e+02  9.7680e+00 4096  1.000 32.170  2.46 7.996e+01  21.1290 
OBS: 56222.0040 DES-g shallow8  1.99909e+02  4.8122e+00 4096  1.000 32.350  2.20 5.002e+01  21.7840 
OBS: 56222.0160 DES-r shallow8  3.76099e+02  1.1828e+01 4096  1.000 30.980  2.44 3.022e+01  21.0090 
OBS: 56222.0270 DES-i shallow8  3.36848e+02  1.0255e+01 4096  1.000 32.170  2.45 8.463e+01  21.1389 
