SURVEY:   DES
SNID:             9932  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       34.500000  # deg (avg among obs)
DEC:      -5.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0227 +- 0.0036  # MW E(B-V) 
MWXT_MAG:  0.102 0.068 0.050 0.038  # MW mag-XT per band
PEAKMJD:  56218.004     # estimate for LC fit codes
MJD_TRIGGER:       56208.176  
MJD_DETECT_FIRST:  56208.160  
MJD_DETECT_LAST:   56297.090  

REDSHIFT_HELIO:   0.209813 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.208818 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.20942 
SIM_REDSHIFT_CMB:    0.20842  
SIM_REDSHIFT_HOST:   0.20942 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.0533   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              34.500000     # deg  
SIM_DEC:             -5.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0279   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.174     # coh model scatter 
SIM_PEAKMJD:         56216.527    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         7.3177e-05 
SIM_SALT2x1:         -4.0084 
SIM_SALT2c:          -0.0861 
SIM_SALT2mB:         20.9741 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8771  # spectro-search efficiency 
SIM_TRESTMIN:        -13.48  # days 
SIM_TRESTMAX:        66.69  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.006 21.019 21.110 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 52 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56200.2340 DES-i deep2  9.11503e+00  7.6808e+00    0  1.000 34.620  2.34 6.524e+02 99 
OBS: 56208.1600 DES-g deep2  1.96002e+02  1.8783e+00 4096  1.000 33.030  1.44 4.763e+01  21.7872 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56208.1758
OBS: 56208.1760 DES-r deep2  1.86210e+02  1.3685e+00 4096  1.000 34.470  1.60 1.352e+02  21.8301 
OBS: 56210.1560 DES-i deep2  2.69375e+02  3.5809e+00 4096  1.000 34.590  2.98 2.286e+02  21.4113 
OBS: 56217.1720 DES-g deep2  3.93825e+02  2.0571e+00 4096  1.000 32.950  1.12 4.763e+01  21.0238 
OBS: 56217.1910 DES-r deep2  3.77708e+02  1.2542e+00 4096  1.000 34.430  1.19 1.352e+02  21.0143 
OBS: 56219.2300 DES-i deep2  3.45156e+02  1.7802e+00 4096  1.000 34.590  1.38 2.286e+02  21.1311 
OBS: 56221.3240 DES-g deep2  2.98824e+02  1.2893e+01 4096  1.000 31.100  1.99 4.763e+01  21.2970 
OBS: 56221.3400 DES-r deep2  4.05617e+02  1.3678e+01 4096  1.000 32.160  2.05 1.352e+02  21.0594 
OBS: 56222.0470 DES-i deep2  3.15668e+02  6.5815e+00 4096  1.000 34.100  3.41 2.355e+02  21.2666 
OBS: 56228.0310 DES-g deep2  9.06285e+01  2.6204e+01    0  1.000 31.510  1.67 1.773e+02  22.3937 
OBS: 56228.0470 DES-r deep2  2.31133e+02  1.1706e+01 4096  1.000 33.030  1.66 3.223e+02  21.4956 
OBS: 56228.3320 DES-i deep2  1.96928e+02  7.0909e+00 4096  1.000 34.570  2.13 6.301e+02  21.7507 
OBS: 56229.0310 DES-g deep2  4.43848e+01  3.0797e+01    0  1.000 31.510  1.65 2.112e+02  22.6310 
OBS: 56229.3050 DES-r deep2  2.32106e+02  4.6818e+00 4096  1.000 34.430  1.95 3.969e+02  21.5912 
OBS: 56229.3200 DES-i deep2  1.87505e+02  7.9697e+00 4096  1.000 34.540  1.94 7.569e+02  21.8022 
OBS: 56230.3160 DES-g deep2  7.12239e+01  8.2430e+00 4096  1.000 32.900  1.56 2.144e+02  22.9561 
OBS: 56230.3280 DES-r deep2  2.14109e+02  4.0014e+00 4096  1.000 34.470  1.76 3.892e+02  21.6606 
OBS: 56230.3440 DES-i deep2  1.91399e+02  7.5362e+00 4096  1.000 34.550  1.90 7.373e+02  21.8351 
OBS: 56235.0200 DES-g deep2  1.73191e+01  3.2959e+00    0  1.000 32.790  2.48 4.763e+01  24.3329 
OBS: 56235.0270 DES-r deep2  1.76982e+02  3.1018e+00 4096  1.000 34.120  2.81 1.352e+02  21.9229 
OBS: 56235.0390 DES-i deep2  1.74508e+02  5.7071e+00 4096  1.000 34.120  3.11 2.286e+02  21.8706 
OBS: 56236.3240 DES-g deep2  1.41504e+01  4.1490e+00    0  1.000 32.970  2.59 6.876e+01  24.7372 
OBS: 56237.0230 DES-r deep2  1.48117e+02  2.1784e+00 4096  1.000 34.430  2.61 1.352e+02  22.0556 
OBS: 56237.0390 DES-i deep2  1.66629e+02  3.5142e+00 4096  1.000 34.560  2.86 2.286e+02  21.9488 
OBS: 56238.0230 DES-g deep2  7.38636e+00  2.8158e+00    0  1.000 32.940  2.44 4.763e+01  25.0541 
OBS: 56243.0270 DES-r deep2  9.74302e+01  2.3768e+00 4096  1.000 34.440  2.91 1.352e+02  22.5144 
OBS: 56243.0390 DES-i deep2  1.50824e+02  3.4312e+00 4096  1.000 34.570  2.82 2.286e+02  22.0836 
