SURVEY:   DES
SNID:             9936  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -24.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0202 +- 0.0032  # MW E(B-V) 
MWXT_MAG:  0.052 0.034 0.025 0.019  # MW mag-XT per band
PEAKMJD:  56263.684     # estimate for LC fit codes
MJD_TRIGGER:       56258.043  
MJD_DETECT_FIRST:  56254.234  
MJD_DETECT_LAST:   56313.066  

REDSHIFT_HELIO:   0.326669 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.326116 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           5    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.32628 
SIM_REDSHIFT_CMB:    0.32573  
SIM_REDSHIFT_HOST:   0.32628 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.1555   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -24.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0142   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.096     # coh model scatter 
SIM_PEAKMJD:         56263.672    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.5350e-05 
SIM_SALT2x1:         -0.8936 
SIM_SALT2c:          -0.0474 
SIM_SALT2mB:         21.7640 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.5420  # spectro-search efficiency 
SIM_TRESTMIN:        -14.80  # days 
SIM_TRESTMAX:        65.90  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.134 21.821 21.880 22.209  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 52 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56244.0550 DES-g shallow4  4.04009e+00  3.5729e+00    0  1.000 32.330  2.28 3.638e+01  27.1043 
OBS: 56244.0700 DES-r shallow4  6.24516e+00  9.9361e+00    0  1.000 30.970  2.33 2.760e+01  25.1659 
OBS: 56244.0820 DES-i shallow4  1.64642e+01  7.9483e+00    0  1.000 32.150  2.11 7.619e+01  25.0920 
OBS: 56244.0980 DES-z shallow4  7.69564e+00  8.6986e+00    0  1.000 33.180  2.14 2.142e+02  25.2590 
OBS: 56246.0700 DES-g shallow4  9.91909e+00  2.3671e+00    0  1.000 32.360  1.54 3.638e+01  24.8542 
OBS: 56246.0820 DES-r shallow4  1.71647e+01  7.0912e+00    0  1.000 31.000  1.70 2.760e+01  24.1704 
OBS: 56246.0980 DES-i shallow4  1.76068e+01  7.1570e+00    0  1.000 32.080  1.78 7.619e+01  24.1426 
OBS: 56246.1090 DES-z shallow4  1.30070e+01  1.0925e+01    0  1.000 32.870  2.02 2.142e+02  24.1517 
OBS: 56254.2340 DES-g shallow4  1.10798e+02  4.2371e+00 4096  1.000 32.350  1.48 6.706e+01  22.4812 
OBS: 56258.0350 DES-r shallow4  1.70702e+02  3.0920e+01    0  1.000 30.730  3.13 5.341e+01  21.9875 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56258.0430
OBS: 56258.0430 DES-i shallow4  1.53830e+02  2.6380e+01 4096  1.000 32.180  3.47 1.592e+02  22.0601 
OBS: 56258.0510 DES-z shallow4  1.26517e+02  1.2195e+01 4096  1.000 33.590  3.49 2.684e+02  22.2377 
OBS: 56261.1020 DES-g shallow4  1.38750e+02  1.0835e+01 4096  1.000 31.510  1.13 1.066e+02  22.0926 
OBS: 56261.2580 DES-r shallow4  1.92701e+02  9.0676e+00 4096  1.000 31.040  1.37 4.533e+01  21.8490 
OBS: 56261.2660 DES-i shallow4  1.76868e+02  9.3955e+00 4096  1.000 32.270  1.60 1.320e+02  21.9281 
OBS: 56261.2730 DES-z shallow4  1.38205e+02  6.7440e+00 4096  1.000 33.320  1.55 2.591e+02  22.2059 
OBS: 56275.1520 DES-g shallow4  6.73406e+01  2.5224e+00 4096  1.000 32.310  1.48 3.638e+01  22.9347 
OBS: 56275.1720 DES-r shallow4  1.38197e+02  6.4821e+00 4096  1.000 30.980  1.43 2.760e+01  22.1721 
OBS: 56275.1910 DES-i shallow4  1.36316e+02  7.0017e+00 4096  1.000 32.220  1.95 7.619e+01  22.1797 
OBS: 56275.2030 DES-z shallow4  8.20397e+01  7.5541e+00 4096  1.000 33.290  2.05 2.142e+02  22.6199 
OBS: 56283.2340 DES-g shallow4  2.79474e+01  2.1832e+00 4096  1.000 32.340  1.36 3.638e+01  23.8277 
OBS: 56287.1600 DES-r shallow4  5.82438e+01  1.1273e+01    0  1.000 30.940  1.56 4.693e+01  23.0056 
OBS: 56287.1760 DES-i shallow4  9.73125e+01  8.6439e+00 4096  1.000 32.180  1.30 1.381e+02  22.6040 
OBS: 56287.1910 DES-z shallow4  8.37588e+01  8.2156e+00 4096  1.000 33.160  1.65 2.569e+02  22.8490 
OBS: 56289.2420 DES-g shallow4  4.10287e+01  9.0644e+00    0  1.000 32.420  2.02 1.168e+02  24.4191 
OBS: 56292.0350 DES-r shallow4  5.88892e+01  6.0006e+00 4096  1.000 30.930  1.31 2.760e+01  23.3777 
OBS: 56292.0430 DES-i shallow4  8.11623e+01  5.0471e+00 4096  1.000 32.180  1.35 7.619e+01  22.7354 
OBS: 56292.0510 DES-z shallow4  7.71483e+01  5.7863e+00 4096  1.000 33.020  1.22 2.142e+02  22.8026 
