SURVEY:   DES
SNID:             12084  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -33.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.039 0.026 0.019 0.014  # MW mag-XT per band
PEAKMJD:  56216.527     # estimate for LC fit codes
MJD_TRIGGER:       56215.195  
MJD_DETECT_FIRST:  56202.207  
MJD_DETECT_LAST:   56268.172  

REDSHIFT_HELIO:   0.275029 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.274575 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           3    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.27487 
SIM_REDSHIFT_CMB:    0.27442  
SIM_REDSHIFT_HOST:   0.27487 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.7273   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -33.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0106   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.050     # coh model scatter 
SIM_PEAKMJD:         56216.125    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.7261e-05 
SIM_SALT2x1:         -0.7041 
SIM_SALT2c:          0.1829 
SIM_SALT2mB:         22.0461 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.5960  # spectro-search efficiency 
SIM_TRESTMIN:        -10.93  # days 
SIM_TRESTMAX:        69.03  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.455 21.884 21.788 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 48 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56202.1910 DES-g shallow2  2.41269e+01  6.9282e+00    0  1.000 32.390  1.73 1.013e+02  23.8369 
OBS: 56202.1990 DES-r shallow2  5.72155e+01  1.0482e+01    0  1.000 31.060  1.69 4.489e+01  23.2533 
OBS: 56202.2070 DES-i shallow2  4.87993e+01  1.1141e+01 4096  1.000 32.230  1.86 1.311e+02  23.0890 
OBS: 56215.1950 DES-g shallow2  1.00460e+02  2.3003e+00 4096  1.000 32.430  1.44 3.638e+01  22.4431 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56215.1953
OBS: 56215.2030 DES-r shallow2  1.75896e+02  6.8888e+00 4096  1.000 31.060  1.63 2.760e+01  21.8908 
OBS: 56215.2110 DES-i shallow2  1.85831e+02  4.7457e+00 4096  1.000 32.250  1.31 7.619e+01  21.8002 
OBS: 56221.1480 DES-g shallow2  9.60587e+01  1.1591e+01 4096  1.000 31.230  2.43 4.006e+01  22.6667 
OBS: 56221.1600 DES-r shallow2  1.92858e+02  1.7128e+01 4096  1.000 30.230  1.96 2.791e+01  21.9385 
OBS: 56221.1760 DES-i shallow2  1.82325e+02  2.0691e+01 4096  1.000 31.000  1.87 7.709e+01  21.8188 
OBS: 56228.1370 DES-g shallow2  5.72326e+01  6.6667e+00    0  1.000 32.290  1.49 1.027e+02  23.2327 
OBS: 56228.1450 DES-r shallow2  1.18286e+02  1.0186e+01 4096  1.000 30.910  1.42 4.451e+01  22.2080 
OBS: 56228.1560 DES-i shallow2  1.21161e+02  9.9318e+00 4096  1.000 31.970  1.31 1.296e+02  22.1792 
OBS: 56230.1050 DES-g shallow2  4.51324e+01  8.6387e+00    0  1.000 32.210  1.47 1.260e+02  23.4297 
OBS: 56230.1130 DES-r shallow2  1.13882e+02  1.4153e+01 4096  1.000 30.900  1.67 5.315e+01  22.3094 
OBS: 56230.1210 DES-i shallow2  1.01951e+02  1.3620e+01 4096  1.000 32.070  1.64 1.567e+02  22.2885 
OBS: 56235.1090 DES-g shallow2  1.86072e+01  4.6272e+00 4096  1.000 32.280  2.81 3.638e+01  24.0097 
OBS: 56235.1170 DES-r shallow2  7.96762e+01  1.2196e+01 4096  1.000 30.870  2.58 2.760e+01  22.6056 
OBS: 56235.1250 DES-i shallow2  9.60302e+01  1.2839e+01 4096  1.000 32.000  2.96 7.619e+01  22.4619 
OBS: 56237.1450 DES-g shallow2  1.32508e+01  4.7657e+00    0  1.000 31.900  2.04 3.638e+01  24.2455 
OBS: 56237.1480 DES-r shallow2  8.31424e+01  1.0585e+01 4096  1.000 30.660  1.83 2.760e+01  22.7279 
OBS: 56237.1600 DES-i shallow2  8.77618e+01  1.1732e+01 4096  1.000 31.680  2.01 7.619e+01  22.5055 
OBS: 56243.1410 DES-g shallow2  1.03220e+01  2.6636e+00 4096  1.000 32.350  1.72 3.638e+01  24.8257 
OBS: 56243.1520 DES-r shallow2  6.33936e+01  7.2198e+00 4096  1.000 31.000  1.70 2.760e+01  23.0770 
OBS: 56243.1680 DES-i shallow2  8.44713e+01  6.7293e+00 4096  1.000 32.140  1.75 7.619e+01  22.6036 
OBS: 56245.1290 DES-g shallow2  9.69877e+00  2.9880e+00    0  1.000 32.230  1.73 3.638e+01  24.9805 
OBS: 56245.1370 DES-r shallow2  4.52438e+01  7.9785e+00 4096  1.000 30.690  1.42 2.760e+01  23.1901 
OBS: 56245.1520 DES-i shallow2  8.14705e+01  5.9995e+00 4096  1.000 32.050  1.43 7.619e+01  22.6495 
OBS: 56247.3240 DES-g shallow2  7.70378e+00  2.2723e+00    0  1.000 32.330  1.44 3.638e+01  25.1429 
