SURVEY:   DES
SNID:             12429  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.217 0.144 0.106 0.081  # MW mag-XT per band
PEAKMJD:  56259.289     # estimate for LC fit codes
MJD_TRIGGER:       56243.203  
MJD_DETECT_FIRST:  56243.195  
MJD_DETECT_LAST:   56308.102  

REDSHIFT_HELIO:   0.421872 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.421004 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.42119 
SIM_REDSHIFT_CMB:    0.42032  
SIM_REDSHIFT_HOST:   0.42119 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.8034   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0594   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.094     # coh model scatter 
SIM_PEAKMJD:         56258.938    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.4853e-05 
SIM_SALT2x1:         1.2826 
SIM_SALT2c:          -0.0351 
SIM_SALT2mB:         22.1465 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.4609  # spectro-search efficiency 
SIM_TRESTMIN:        -16.74  # days 
SIM_TRESTMAX:        64.82  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.878 22.017 22.018 22.287  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 59 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56235.1600 DES-g shallow7  1.14516e+01  5.3369e+00    0  1.000 32.350  1.86 6.962e+01  29.7804 
OBS: 56235.1720 DES-r shallow7  3.41074e+01  1.1713e+01    0  1.000 30.940  2.14 3.511e+01  25.4463 
OBS: 56235.1880 DES-i shallow7  1.97339e+01  1.0306e+01    0  1.000 32.190  2.17 1.001e+02  25.3926 
OBS: 56236.1880 DES-z shallow7  7.58927e+00  9.3552e+00    0  1.000 33.210  2.25 2.253e+02  24.9584 
OBS: 56237.1990 DES-g shallow7  8.58954e+00  4.9540e+00    0  1.000 32.120  1.94 4.964e+01  26.1904 
OBS: 56237.2070 DES-r shallow7  1.74891e+01  9.7922e+00    0  1.000 30.860  1.95 2.950e+01  24.4786 
OBS: 56237.2150 DES-i shallow7 -9.42306e+00  1.2622e+01    0  1.000 31.610  1.90 8.195e+01  24.4797 
OBS: 56238.1990 DES-z shallow7 -1.52298e+00  1.0897e+01    0  1.000 32.970  2.21 2.142e+02  24.1741 
OBS: 56243.1950 DES-g shallow7  3.66944e+01  2.3211e+00 4096  1.000 32.320  1.41 3.638e+01  23.6357 
OBS: 56243.2030 DES-r shallow7  8.13054e+01  6.8894e+00 4096  1.000 30.990  1.59 2.760e+01  22.8989 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56243.2031
OBS: 56243.2110 DES-i shallow7  5.80342e+01  5.8488e+00 4096  1.000 32.080  1.44 7.619e+01  22.9819 
OBS: 56244.1880 DES-z shallow7  8.03014e+01  7.3993e+00 4096  1.000 33.110  1.70 2.142e+02  22.9494 
OBS: 56245.1910 DES-g shallow7  5.01339e+01  6.6366e+00 4096  1.000 31.200  1.47 3.638e+01  23.3254 
OBS: 56245.1990 DES-r shallow7  7.31523e+01  6.3477e+00 4096  1.000 31.010  1.49 2.760e+01  22.6395 
OBS: 56245.2030 DES-i shallow7  7.57596e+01  5.8218e+00    0  1.000 32.140  1.51 7.619e+01  22.7245 
OBS: 56246.1990 DES-z shallow7  7.49171e+01  6.3364e+00 4096  1.000 33.220  1.61 2.142e+02  22.7335 
OBS: 56248.2300 DES-g shallow7  6.44648e+01  2.5829e+00 4096  1.000 32.320  1.54 3.638e+01  22.9786 
OBS: 56248.2380 DES-r shallow7  1.23954e+02  7.6959e+00 4096  1.000 30.810  1.48 2.760e+01  22.3334 
OBS: 56248.2500 DES-i shallow7  1.01092e+02  7.2966e+00 4096  1.000 31.910  1.53 7.619e+01  22.4132 
OBS: 56258.1520 DES-z shallow7  1.38444e+02  9.4093e+00 4096  1.000 33.200  1.75 2.876e+02  22.2950 
OBS: 56260.1880 DES-g shallow7  6.19696e+01  8.0545e+00 4096  1.000 32.420  1.41 1.486e+02  22.9401 
OBS: 56260.1950 DES-r shallow7  1.66147e+02  1.4355e+01 4096  1.000 31.000  1.44 6.877e+01  22.0281 
OBS: 56260.2030 DES-i shallow7  1.48076e+02  1.3867e+01 4096  1.000 32.210  1.42 2.096e+02  22.0155 
OBS: 56266.1990 DES-z shallow7  1.27002e+02  7.9901e+00 4096  1.000 33.170  1.88 2.208e+02  22.3090 
OBS: 56268.1950 DES-g shallow7  4.05430e+01  2.7374e+00 4096  1.000 32.340  1.71 3.638e+01  23.4062 
OBS: 56268.1990 DES-r shallow7  1.34984e+02  7.8096e+00 4096  1.000 30.910  1.65 2.760e+01  22.2349 
OBS: 56268.2150 DES-i shallow7  1.38925e+02  6.5210e+00 4096  1.000 32.130  1.65 7.680e+01  22.1180 
OBS: 56277.1800 DES-z shallow7  7.92265e+01  5.4141e+00 4096  1.000 33.210  1.36 2.142e+02  22.7983 
