SURVEY:   DES
SNID:             12816  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -24.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0202 +- 0.0032  # MW E(B-V) 
MWXT_MAG:  0.070 0.047 0.034 0.026  # MW mag-XT per band
PEAKMJD:  56169.828     # estimate for LC fit codes
MJD_TRIGGER:       56179.234  
MJD_DETECT_FIRST:  56179.219  
MJD_DETECT_LAST:   56218.230  

REDSHIFT_HELIO:   0.439884 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.439283 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           5    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.44007 
SIM_REDSHIFT_CMB:    0.43947  
SIM_REDSHIFT_HOST:   0.44007 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.9174   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -24.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0193   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.258     # coh model scatter 
SIM_PEAKMJD:         56170.242    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.3433e-05 
SIM_SALT2x1:         0.1629 
SIM_SALT2c:          -0.0997 
SIM_SALT2mB:         22.2104 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.2477  # spectro-search efficiency 
SIM_TRESTMIN:        6.23  # days 
SIM_TRESTMAX:        63.24  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.967 22.251 22.431 22.643  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 56 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.2190 DES-g shallow4  3.83351e+01  2.3556e+00 4096  1.000 32.450  1.62 3.638e+01  23.5851 
OBS: 56179.2340 DES-r shallow4  1.08653e+02  6.9286e+00 4096  1.000 31.090  1.74 2.760e+01  22.5022 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56179.2344
OBS: 56179.2500 DES-i shallow4  1.07617e+02  7.0154e+00 4096  1.000 32.230  1.98 7.619e+01  22.5387 
OBS: 56179.2660 DES-z shallow4  8.00644e+01  1.0646e+01    0  1.000 33.240  2.70 2.193e+02  22.7586 
OBS: 56187.2030 DES-g shallow4  2.14354e+01  2.4250e+00 4096  1.000 32.380  1.59 3.638e+01  24.2790 
OBS: 56187.2110 DES-r shallow4  6.45377e+01  6.5410e+00 4096  1.000 31.040  1.59 2.760e+01  22.9568 
OBS: 56187.2190 DES-i shallow4  7.14958e+01  5.5878e+00 4096  1.000 32.170  1.49 7.619e+01  22.8546 
OBS: 56187.2300 DES-z shallow4  5.88128e+01  6.0787e+00    0  1.000 33.230  1.56 2.142e+02  23.1317 
OBS: 56194.1990 DES-g shallow4  1.29972e+01  2.8239e+00    0  1.000 32.330  1.44 4.577e+01  24.9470 
OBS: 56194.2150 DES-r shallow4  4.51116e+01  8.3858e+00    0  1.000 30.880  1.74 2.843e+01  23.4609 
OBS: 56194.2230 DES-i shallow4  7.51413e+01  1.3682e+01    0  1.000 31.290  1.59 7.852e+01  23.1620 
OBS: 56194.2270 DES-z shallow4  4.96271e+01  9.8207e+00    0  1.000 32.750  1.58 2.201e+02  23.3100 
OBS: 56208.2230 DES-g shallow4  8.20360e+00  1.8609e+00    0  1.000 32.440  1.30 3.638e+01  25.9632 
OBS: 56208.2380 DES-r shallow4  2.16022e+01  5.7665e+00    0  1.000 31.090  1.40 2.969e+01  24.3730 
OBS: 56209.1600 DES-i shallow4  4.01515e+01  5.5662e+00    0  1.000 32.270  1.64 7.619e+01  23.6527 
OBS: 56209.1760 DES-z shallow4  4.83813e+01  6.8239e+00 4096  1.000 33.240  1.77 2.142e+02  23.5581 
OBS: 56218.1910 DES-g shallow4  4.19255e-01  1.7372e+00    0  1.000 32.340  1.12 3.638e+01  26.2454 
OBS: 56218.2110 DES-r shallow4  1.23161e+01  5.0829e+00    0  1.000 30.950  1.16 2.760e+01  24.8515 
OBS: 56218.2300 DES-i shallow4  1.27977e+01  4.7767e+00 4096  1.000 32.220  1.35 7.619e+01  24.0302 
OBS: 56219.1560 DES-z shallow4  2.13213e+01  5.5324e+00    0  1.000 33.220  1.41 2.142e+02  23.9734 
OBS: 56222.1170 DES-g shallow4 -2.69401e+00  4.9913e+00    0  1.000 32.150  2.33 4.262e+01  26.3158 
OBS: 56222.1250 DES-r shallow4 -5.68216e-01  1.4898e+01    0  1.000 30.530  2.29 2.818e+01  24.9847 
OBS: 56222.1330 DES-i shallow4  2.04553e+01  1.2859e+01    0  1.000 31.640  2.09 7.786e+01  24.1808 
OBS: 56222.1480 DES-z shallow4  2.87078e+01  3.1643e+01    0  1.000 32.080  2.78 2.178e+02  24.0995 
OBS: 56229.0740 DES-g shallow4 -2.15830e+00  1.0211e+01    0  1.000 32.070  1.52 1.271e+02  26.4229 
OBS: 56229.0860 DES-r shallow4 -1.36563e+00  1.8213e+01    0  1.000 30.560  1.53 5.535e+01  25.1319 
OBS: 56229.1020 DES-i shallow4  4.30893e+01  2.0763e+01    0  1.000 31.800  1.86 1.648e+02  24.3995 
OBS: 56229.1090 DES-z shallow4  3.63545e+01  1.2510e+01    0  1.000 32.900  1.84 2.768e+02  24.3551 
