SURVEY:   DES
SNID:             13339  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.252 0.168 0.123 0.094  # MW mag-XT per band
PEAKMJD:  56261.129     # estimate for LC fit codes
MJD_TRIGGER:       56260.188  
MJD_DETECT_FIRST:  56258.152  
MJD_DETECT_LAST:   56308.102  

REDSHIFT_HELIO:   0.400983 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.400127 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.40066 
SIM_REDSHIFT_CMB:    0.39980  
SIM_REDSHIFT_HOST:   0.40066 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.6753   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0690   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.112     # coh model scatter 
SIM_PEAKMJD:         56262.977    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.4905e-05 
SIM_SALT2x1:         -0.6253 
SIM_SALT2c:          0.0949 
SIM_SALT2mB:         22.7017 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.2410  # spectro-search efficiency 
SIM_TRESTMIN:        -17.70  # days 
SIM_TRESTMAX:        62.89  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.530 22.559 22.447 22.587  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 52 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56238.1990 DES-z shallow7  3.94417e+00  1.0898e+01    0  1.000 32.970  2.21 2.142e+02  28.0633 
OBS: 56243.1950 DES-g shallow7  3.83249e+00  2.2360e+00    0  1.000 32.320  1.41 3.638e+01  26.8211 
OBS: 56243.2030 DES-r shallow7  2.01790e+00  6.6542e+00    0  1.000 30.990  1.59 2.760e+01  25.3608 
OBS: 56243.2110 DES-i shallow7  7.29128e+00  5.7846e+00    0  1.000 32.080  1.44 7.619e+01  25.0845 
OBS: 56244.1880 DES-z shallow7  2.16331e+01  7.3766e+00    0  1.000 33.110  1.70 2.142e+02  24.5508 
OBS: 56245.1910 DES-g shallow7  1.41604e+01  6.5462e+00    0  1.000 31.200  1.47 3.638e+01  25.7401 
OBS: 56245.1990 DES-r shallow7  1.15484e+01  6.1534e+00    0  1.000 31.010  1.49 2.760e+01  24.5581 
OBS: 56245.2030 DES-i shallow7  2.20738e+01  5.7572e+00    0  1.000 32.140  1.51 7.619e+01  24.4218 
OBS: 56246.1990 DES-z shallow7  2.78183e+01  6.3172e+00    0  1.000 33.220  1.61 2.142e+02  23.9820 
OBS: 56248.2300 DES-g shallow7  1.80648e+01  2.4746e+00    0  1.000 32.320  1.54 3.638e+01  24.7698 
OBS: 56248.2380 DES-r shallow7  2.48290e+01  7.3842e+00    0  1.000 30.810  1.48 2.760e+01  23.7980 
OBS: 56248.2500 DES-i shallow7  3.17297e+01  7.2143e+00    0  1.000 31.910  1.53 7.619e+01  23.7262 
OBS: 56258.1520 DES-z shallow7  9.04912e+01  9.3959e+00 4096  1.000 33.200  1.75 2.876e+02  22.6523 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56260.1875
OBS: 56260.1880 DES-g shallow7  3.62972e+01  8.0374e+00 4096  1.000 32.420  1.41 1.486e+02  23.4614 
OBS: 56260.1950 DES-r shallow7  1.17506e+02  1.4287e+01 4096  1.000 31.000  1.44 6.877e+01  22.5812 
OBS: 56260.2030 DES-i shallow7  1.06652e+02  1.3847e+01 4096  1.000 32.210  1.42 2.096e+02  22.5010 
OBS: 56266.1990 DES-z shallow7  9.30504e+01  7.9786e+00 4096  1.000 33.170  1.88 2.208e+02  22.5896 
OBS: 56268.1950 DES-g shallow7  2.64140e+01  2.7073e+00 4096  1.000 32.340  1.71 3.638e+01  23.8213 
OBS: 56268.1990 DES-r shallow7  8.89448e+01  7.6811e+00 4096  1.000 30.910  1.65 2.760e+01  22.6705 
OBS: 56268.2150 DES-i shallow7  9.58678e+01  6.4744e+00 4096  1.000 32.130  1.65 7.680e+01  22.4686 
OBS: 56277.1800 DES-z shallow7  5.81143e+01  5.4040e+00 4096  1.000 33.210  1.36 2.142e+02  23.0496 
OBS: 56278.2230 DES-g shallow7  1.54027e+01  2.3963e+00    0  1.000 32.380  1.58 3.638e+01  24.6495 
OBS: 56279.1800 DES-r shallow7  7.05785e+01  7.1045e+00 4096  1.000 30.910  1.53 2.760e+01  23.2985 
OBS: 56279.1990 DES-i shallow7  8.05781e+01  7.7876e+00 4096  1.000 32.180  2.11 7.619e+01  22.8917 
OBS: 56288.1520 DES-z shallow7  5.64893e+01  9.8780e+00 4096  1.000 33.200  1.93 2.745e+02  23.2884 
OBS: 56288.1990 DES-g shallow7 -8.97591e+00  8.9195e+00    0  1.000 32.360  1.72 1.282e+02  25.6657 
OBS: 56288.2150 DES-r shallow7  3.90238e+01  1.7820e+01    0  1.000 31.010  2.16 5.800e+01  23.9853 
OBS: 56289.0510 DES-i shallow7  5.28626e+01  1.7935e+01    0  1.000 32.570  3.27 1.646e+02  23.2902 
