SURVEY:   DES
SNID:             14625  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -30.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0139 +- 0.0022  # MW E(B-V) 
MWXT_MAG:  0.047 0.032 0.023 0.018  # MW mag-XT per band
PEAKMJD:  56235.965     # estimate for LC fit codes
MJD_TRIGGER:       56218.152  
MJD_DETECT_FIRST:  56217.211  
MJD_DETECT_LAST:   56332.051  

REDSHIFT_HELIO:   0.384231 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.383709 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           4    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.38457 
SIM_REDSHIFT_CMB:    0.38404  
SIM_REDSHIFT_HOST:   0.38457 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.5722   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -30.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0130   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.006     # coh model scatter 
SIM_PEAKMJD:         56237.230    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.5138e-05 
SIM_SALT2x1:         1.0257 
SIM_SALT2c:          0.0220 
SIM_SALT2mB:         22.1342 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.4502  # spectro-search efficiency 
SIM_TRESTMIN:        -14.47  # days 
SIM_TRESTMAX:        69.26  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.784 22.002 22.040 22.288  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 69 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56217.2110 DES-g shallow3  9.86442e+00  1.7697e+00 4096  1.000 32.320  1.10 3.638e+01  25.1694 
OBS: 56217.2300 DES-r shallow3  1.78559e+01  5.3045e+00    0  1.000 31.030  1.30 2.760e+01  24.0988 
OBS: 56218.1520 DES-i shallow3  2.55658e+01  4.3161e+00 4096  1.000 32.190  1.18 7.619e+01  23.8540 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56218.1523
OBS: 56218.1720 DES-z shallow3  2.41716e+01  5.0327e+00 4096  1.000 33.210  1.27 2.142e+02  23.8362 
OBS: 56221.3550 DES-g shallow3  2.81917e+01  4.3335e+00 4096  1.000 31.900  1.84 3.638e+01  23.7366 
OBS: 56222.0740 DES-r shallow3  7.53636e+01  1.9947e+01    0  1.000 30.720  3.63 2.822e+01  22.9211 
OBS: 56222.0900 DES-i shallow3  4.81054e+01  1.2305e+01    0  1.000 32.050  2.91 7.798e+01  23.0059 
OBS: 56222.1130 DES-z shallow3  6.59909e+01  1.1188e+01    0  1.000 33.060  2.42 2.179e+02  23.0475 
OBS: 56228.1880 DES-g shallow3  7.60862e+01  5.7484e+00 4096  1.000 32.220  1.17 1.050e+02  22.8390 
OBS: 56229.0470 DES-r shallow3  1.86436e+02  4.8788e+01    0  1.000 29.580  1.76 5.185e+01  22.1926 
OBS: 56229.0590 DES-i shallow3  1.34462e+02  1.8563e+01 4096  1.000 31.950  2.05 1.531e+02  22.2693 
OBS: 56229.0660 DES-z shallow3  9.88387e+01  9.5164e+00 4096  1.000 33.190  1.85 2.730e+02  22.4103 
OBS: 56230.1450 DES-g shallow3  7.64517e+01  6.7211e+00 4096  1.000 32.230  1.13 1.290e+02  22.7402 
OBS: 56231.0700 DES-r shallow3  1.46630e+02  1.2196e+01 4096  1.000 30.980  1.62 5.033e+01  22.0960 
OBS: 56231.0860 DES-i shallow3  1.44771e+02  1.0468e+01 4096  1.000 32.160  1.44 1.482e+02  22.1658 
OBS: 56231.1020 DES-z shallow3  1.12288e+02  9.1279e+00 4096  1.000 33.180  1.80 2.665e+02  22.3515 
OBS: 56235.1450 DES-g shallow3  8.26968e+01  5.1349e+00 4096  1.000 32.290  1.82 6.355e+01  22.7259 
OBS: 56236.0270 DES-r shallow3  1.42304e+02  1.7014e+01 4096  1.000 30.670  2.99 2.760e+01  22.0020 
OBS: 56236.0350 DES-i shallow3  1.83850e+02  2.0609e+01    0  1.000 31.450  2.86 7.619e+01  22.0469 
OBS: 56236.0390 DES-z shallow3  1.19264e+02  2.0305e+01 4096  1.000 32.760  3.39 2.142e+02  22.3052 
OBS: 56237.1880 DES-g shallow3  8.13838e+01  4.0211e+00 4096  1.000 31.860  1.59 3.638e+01  22.7825 
OBS: 56238.0310 DES-r shallow3  1.60511e+02  1.1841e+01 4096  1.000 30.980  2.74 2.760e+01  22.0074 
OBS: 56238.0390 DES-i shallow3  1.27589e+02  1.1153e+01 4096  1.000 32.170  3.00 7.619e+01  22.0378 
OBS: 56238.0510 DES-z shallow3  1.19816e+02  1.1477e+01 4096  1.000 33.200  2.87 2.142e+02  22.2779 
OBS: 56243.1880 DES-g shallow3  5.85888e+01  2.4403e+00 4096  1.000 32.260  1.37 3.638e+01  23.0542 
OBS: 56244.0310 DES-r shallow3  1.30686e+02  1.3209e+01 4096  1.000 31.010  3.17 2.760e+01  22.1370 
OBS: 56244.0390 DES-i shallow3  1.47022e+02  1.0809e+01 4096  1.000 32.180  2.93 7.619e+01  22.0719 
OBS: 56244.0470 DES-z shallow3  1.12471e+02  1.1853e+01 4096  1.000 33.220  3.02 2.142e+02  22.3205 
