SURVEY:   DES
SNID:             15956  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -24.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0202 +- 0.0032  # MW E(B-V) 
MWXT_MAG:  0.093 0.062 0.045 0.035  # MW mag-XT per band
PEAKMJD:  56257.652     # estimate for LC fit codes
MJD_TRIGGER:       56261.266  
MJD_DETECT_FIRST:  56246.098  
MJD_DETECT_LAST:   56275.203  

REDSHIFT_HELIO:   0.819615 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.818857 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           5    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.81991 
SIM_REDSHIFT_CMB:    0.81916  
SIM_REDSHIFT_HOST:   0.81991 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            43.5501   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -24.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0255   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.033     # coh model scatter 
SIM_PEAKMJD:         56258.797    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         6.3714e-06 
SIM_SALT2x1:         0.4718 
SIM_SALT2c:          -0.1546 
SIM_SALT2mB:         23.6244 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0727  # spectro-search efficiency 
SIM_TRESTMIN:        -16.34  # days 
SIM_TRESTMAX:        50.70  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 23.654 23.073 23.375  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56229.0860 DES-r shallow4 -3.34848e+01  1.8213e+01    0  1.000 30.560  1.53 5.535e+01  31.5065 
OBS: 56229.1020 DES-i shallow4 -7.85205e+00  2.0743e+01    0  1.000 31.800  1.86 1.648e+02  26.8342 
OBS: 56229.1090 DES-z shallow4 -1.69990e+01  1.2500e+01    0  1.000 32.900  1.84 2.768e+02  26.9008 
OBS: 56231.1130 DES-r shallow4  3.64390e+01  1.4432e+01    0  1.000 30.900  1.69 5.406e+01  27.2448 
OBS: 56231.1210 DES-i shallow4 -6.64970e+00  1.4017e+01    0  1.000 32.070  1.65 1.610e+02  25.9212 
OBS: 56231.1290 DES-z shallow4 -8.23748e+00  8.3861e+00    0  1.000 33.070  1.48 2.700e+02  26.0661 
OBS: 56236.0620 DES-r shallow4  1.17327e+01  1.4037e+01    0  1.000 30.710  2.59 2.760e+01  25.1835 
OBS: 56236.0740 DES-i shallow4 -3.54415e-01  1.6011e+01    0  1.000 31.860  3.26 7.619e+01  24.5589 
OBS: 56236.0900 DES-z shallow4  3.72636e+01  2.3363e+01    0  1.000 32.690  3.66 2.142e+02  24.7839 
OBS: 56238.0740 DES-r shallow4  3.34023e+01  1.0152e+01    0  1.000 30.980  2.39 2.760e+01  24.7819 
OBS: 56238.0940 DES-i shallow4  1.90924e+01  7.5848e+00    0  1.000 32.170  2.05 7.619e+01  24.2314 
OBS: 56238.1090 DES-z shallow4  4.63770e+00  9.3367e+00    0  1.000 33.200  2.34 2.142e+02  24.4733 
OBS: 56244.0700 DES-r shallow4  3.31440e+01  9.9914e+00    0  1.000 30.970  2.33 2.760e+01  23.9907 
OBS: 56244.0820 DES-i shallow4  3.17318e+01  7.9616e+00    0  1.000 32.150  2.11 7.619e+01  23.5578 
OBS: 56244.0980 DES-z shallow4  3.66329e+01  8.7075e+00    0  1.000 33.180  2.14 2.142e+02  23.8388 
OBS: 56246.0820 DES-r shallow4  3.32575e+01  7.1362e+00    0  1.000 31.000  1.70 2.760e+01  23.8170 
OBS: 56246.0980 DES-i shallow4  5.04501e+01  7.1907e+00 4096  1.000 32.080  1.78 7.619e+01  23.3989 
OBS: 56246.1090 DES-z shallow4  1.71677e+01  1.0927e+01    0  1.000 32.870  2.02 2.142e+02  23.6908 
OBS: 56258.0350 DES-r shallow4  6.54981e+01  3.0833e+01    0  1.000 30.730  3.13 5.341e+01  23.6335 
OBS: 56258.0430 DES-i shallow4  9.26383e+01  2.6364e+01    0  1.000 32.180  3.47 1.592e+02  23.0697 
OBS: 56258.0510 DES-z shallow4  3.91628e+01  1.2182e+01    0  1.000 33.590  3.49 2.684e+02  23.3779 
OBS: 56261.2580 DES-r shallow4  2.23702e+01  8.6997e+00    0  1.000 31.040  1.37 4.533e+01  23.7342 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56261.2656
OBS: 56261.2660 DES-i shallow4  6.64146e+01  9.3226e+00 4096  1.000 32.270  1.60 1.320e+02  23.0982 
OBS: 56261.2730 DES-z shallow4  3.75580e+01  6.7088e+00    0  1.000 33.320  1.55 2.591e+02  23.3789 
OBS: 56275.1720 DES-r shallow4  2.97676e+01  6.1336e+00    0  1.000 30.980  1.43 2.760e+01  24.4099 
OBS: 56275.1910 DES-i shallow4  3.21363e+01  6.9048e+00 4096  1.000 32.220  1.95 7.619e+01  23.5199 
OBS: 56275.2030 DES-z shallow4  3.10869e+01  7.5378e+00 4096  1.000 33.290  2.05 2.142e+02  23.6383 
OBS: 56287.1600 DES-r shallow4 -4.82466e-01  1.1164e+01    0  1.000 30.940  1.56 4.693e+01  25.2193 
