SURVEY:   DES
SNID:             16623  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -36.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.040 0.027 0.020 0.015  # MW mag-XT per band
PEAKMJD:  56276.863     # estimate for LC fit codes
MJD_TRIGGER:       56261.230  
MJD_DETECT_FIRST:  56261.215  
MJD_DETECT_LAST:   56340.066  

REDSHIFT_HELIO:   0.321432 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.320991 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           2    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.32143 
SIM_REDSHIFT_CMB:    0.32099  
SIM_REDSHIFT_HOST:   0.32143 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.1185   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -36.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0111   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.143     # coh model scatter 
SIM_PEAKMJD:         56277.844    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.0030e-05 
SIM_SALT2x1:         -0.9785 
SIM_SALT2c:          -0.0817 
SIM_SALT2mB:         21.6290 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7067  # spectro-search efficiency 
SIM_TRESTMIN:        -17.92  # days 
SIM_TRESTMAX:        53.16  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.708 21.476 21.567 21.886  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 49 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56254.1720 DES-g shallow1  3.06966e-02  3.1837e+00    0  1.000 32.390  1.25 6.415e+01 99 
OBS: 56254.1840 DES-r shallow1 -5.20906e+00  6.3669e+00    0  1.000 30.960  1.26 3.303e+01  28.4459 
OBS: 56258.3010 DES-i shallow1  5.11521e+00  1.0972e+01    0  1.000 32.170  1.67 1.364e+02  24.8671 
OBS: 56258.3160 DES-z shallow1  3.71561e+00  8.7760e+00    0  1.000 33.180  1.76 2.629e+02  25.0307 
OBS: 56261.0510 DES-g shallow1  3.34517e+01  5.4962e+00    0  1.000 32.180  1.16 9.829e+01  24.1594 
OBS: 56261.0660 DES-r shallow1  3.89582e+01  1.1822e+01    0  1.000 30.470  1.19 4.163e+01  23.6028 
OBS: 56261.2150 DES-i shallow1  3.99959e+01  6.3514e+00 4096  1.000 32.350  1.31 1.180e+02  23.5641 
OBS: 56261.2300 DES-z shallow1  4.00377e+01  5.8529e+00 4096  1.000 33.250  1.29 2.544e+02  23.5318 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56261.2305
OBS: 56274.1600 DES-g shallow1  2.12583e+02  2.8621e+00 4096  1.000 32.320  1.51 3.638e+01  21.6676 
OBS: 56274.1760 DES-r shallow1  2.54685e+02  7.1406e+00 4096  1.000 30.960  1.48 2.760e+01  21.5457 
OBS: 56274.1800 DES-i shallow1  2.24319e+02  6.0927e+00 4096  1.000 32.080  1.45 7.619e+01  21.6572 
OBS: 56274.1880 DES-z shallow1  1.87571e+02  6.9569e+00 4096  1.000 33.190  1.71 2.142e+02  21.8881 
OBS: 56283.1560 DES-g shallow1  1.63015e+02  3.2455e+00 4096  1.000 32.320  1.11 6.238e+01  22.0068 
OBS: 56283.1680 DES-r shallow1  2.33712e+02  6.3216e+00 4096  1.000 31.030  1.17 3.314e+01  21.5675 
OBS: 56283.1840 DES-i shallow1  2.20062e+02  5.6306e+00 4096  1.000 32.170  1.18 9.401e+01  21.5933 
OBS: 56283.1950 DES-z shallow1  1.58476e+02  6.0095e+00 4096  1.000 33.190  1.39 2.274e+02  21.9691 
OBS: 56288.2420 DES-g shallow1  1.07800e+02  7.5544e+00 4096  1.000 32.420  1.91 1.021e+02  22.4394 
OBS: 56288.2580 DES-r shallow1  2.10057e+02  1.3926e+01 4096  1.000 30.950  2.09 4.291e+01  21.7719 
OBS: 56288.2660 DES-i shallow1  1.61205e+02  1.3942e+01 4096  1.000 32.120  2.22 1.237e+02  21.8093 
OBS: 56288.2730 DES-z shallow1  1.34618e+02  1.1361e+01 4096  1.000 33.220  2.39 2.594e+02  22.2300 
OBS: 56289.2730 DES-g shallow1  8.46536e+01  9.1973e+00 4096  1.000 32.380  2.13 1.080e+02  22.5417 
OBS: 56292.1910 DES-r shallow1  1.66927e+02  8.7260e+00 4096  1.000 30.830  1.48 3.234e+01  21.9847 
OBS: 56292.1990 DES-i shallow1  1.62847e+02  6.5414e+00 4096  1.000 32.070  1.33 9.014e+01  22.0313 
OBS: 56292.2150 DES-z shallow1  1.14761e+02  6.0913e+00 4096  1.000 33.370  1.61 2.360e+02  22.4703 
OBS: 56292.2660 DES-g shallow1  7.42748e+01  5.0239e+00 4096  1.000 32.450  1.91 6.904e+01  22.8567 
OBS: 56304.0430 DES-g shallow1  2.17473e+01  1.8863e+00 4096  1.000 32.310  1.14 3.638e+01  24.0756 
OBS: 56304.0510 DES-r shallow1  7.23994e+01  5.4879e+00    0  1.000 30.950  1.20 2.760e+01  22.8810 
OBS: 56304.0550 DES-i shallow1  1.07981e+02  4.3183e+00 4096  1.000 32.110  1.06 7.619e+01  22.3561 
