SURVEY:   DES
SNID:             16687  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -21.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0337 +- 0.0054  # MW E(B-V) 
MWXT_MAG:  0.112 0.074 0.054 0.041  # MW mag-XT per band
PEAKMJD:  56177.793     # estimate for LC fit codes
MJD_TRIGGER:       56179.289  
MJD_DETECT_FIRST:  56179.281  
MJD_DETECT_LAST:   56231.172  

REDSHIFT_HELIO:   0.179389 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.178876 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           6    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.17934 
SIM_REDSHIFT_CMB:    0.17883  
SIM_REDSHIFT_HOST:   0.17934 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            39.6827   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -21.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0306   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.016     # coh model scatter 
SIM_PEAKMJD:         56178.781    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         6.3373e-05 
SIM_SALT2x1:         -1.2952 
SIM_SALT2c:          0.1973 
SIM_SALT2mB:         21.1302 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8676  # spectro-search efficiency 
SIM_TRESTMIN:        0.43  # days 
SIM_TRESTMAX:        70.02  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.384 21.085 21.141 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.2810 DES-g shallow5  2.81354e+02  3.5979e+00 4096  1.000 32.360  1.56 4.860e+01  21.3928 
OBS: 56179.2890 DES-r shallow5  3.49990e+02  1.5407e+01 4096  1.000 30.880  2.98 3.009e+01  21.0800 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56179.2891
OBS: 56179.2970 DES-i shallow5  3.73869e+02  1.2182e+01 4096  1.000 32.100  2.75 8.427e+01  21.1391 
OBS: 56188.1760 DES-g shallow5  1.61055e+02  1.0590e+01 4096  1.000 31.180  2.29 3.638e+01  21.9428 
OBS: 56188.1910 DES-r shallow5  3.16693e+02  4.0121e+01 4096  1.000 29.480  2.35 2.760e+01  21.3247 
OBS: 56188.1950 DES-i shallow5  2.58286e+02  4.9790e+01    0  1.000 30.300  2.40 7.619e+01  21.4963 
OBS: 56194.3320 DES-g shallow5  9.03069e+01  2.3865e+00 4096  1.000 32.360  1.42 3.638e+01  22.6269 
OBS: 56194.3480 DES-r shallow5  1.96067e+02  6.6967e+00 4096  1.000 31.040  1.53 2.760e+01  21.6850 
OBS: 56200.1560 DES-i shallow5  1.78707e+02  1.8692e+01 4096  1.000 32.270  2.79 1.521e+02  21.9029 
OBS: 56209.1910 DES-g shallow5  2.21848e+01  2.5499e+00 4096  1.000 32.390  1.69 3.638e+01  24.0882 
OBS: 56209.1990 DES-r shallow5  9.94101e+01  6.7515e+00 4096  1.000 31.060  1.65 2.760e+01  22.4624 
OBS: 56210.1880 DES-i shallow5  1.12495e+02  1.5458e+01 4096  1.000 32.140  4.06 7.619e+01  22.1956 
OBS: 56219.1720 DES-g shallow5  1.46851e+01  1.9375e+00 4096  1.000 32.330  1.21 3.638e+01  24.4994 
OBS: 56219.1880 DES-r shallow5  5.17927e+01  5.6139e+00 4096  1.000 31.000  1.31 2.760e+01  23.0702 
OBS: 56220.1560 DES-i shallow5  7.06413e+01  4.9781e+00 4096  1.000 32.200  1.36 7.619e+01  22.8699 
OBS: 56222.1600 DES-g shallow5  2.19489e+01  6.7211e+00    0  1.000 31.600  1.88 4.262e+01  24.5685 
OBS: 56222.1760 DES-r shallow5  4.92817e+01  2.3109e+01    0  1.000 29.810  1.82 2.818e+01  23.1752 
OBS: 56222.1910 DES-i shallow5  8.31520e+01  2.8903e+01    0  1.000 30.670  1.92 7.786e+01  22.9701 
OBS: 56229.1130 DES-g shallow5  5.25647e+00  8.9998e+00    0  1.000 32.130  1.38 1.304e+02  24.7254 
OBS: 56229.1210 DES-r shallow5  3.45667e+01  1.7623e+01    0  1.000 30.710  1.64 5.726e+01  23.3032 
OBS: 56229.1290 DES-i shallow5  4.09737e+01  1.8669e+01    0  1.000 31.890  1.75 1.711e+02  23.2138 
OBS: 56231.1450 DES-g shallow5  1.40753e+01  6.4844e+00    0  1.000 32.230  1.14 1.245e+02  24.7815 
OBS: 56231.1560 DES-r shallow5  4.58397e+01  1.1323e+01    0  1.000 30.920  1.30 5.601e+01  23.3482 
OBS: 56231.1720 DES-i shallow5  4.73374e+01  1.1928e+01 4096  1.000 32.120  1.41 1.675e+02  23.2831 
OBS: 56236.1050 DES-g shallow5  1.31228e+01  5.2086e+00    0  1.000 32.320  3.29 3.638e+01  24.9297 
OBS: 56236.1090 DES-r shallow5  3.09469e+01  1.3597e+01    0  1.000 30.910  3.01 2.760e+01  23.4689 
OBS: 56236.1170 DES-i shallow5  4.53937e+01  1.1142e+01    0  1.000 32.060  2.72 7.619e+01  23.4452 
OBS: 56238.1250 DES-g shallow5  6.14501e+00  3.5925e+00    0  1.000 32.210  2.05 3.638e+01  24.9912 
