SURVEY:   DES
SNID:             17319  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.281 0.187 0.137 0.104  # MW mag-XT per band
PEAKMJD:  56211.070     # estimate for LC fit codes
MJD_TRIGGER:       56207.156  
MJD_DETECT_FIRST:  56202.223  
MJD_DETECT_LAST:   56248.250  

REDSHIFT_HELIO:   0.411532 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.410670 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.41211 
SIM_REDSHIFT_CMB:    0.41125  
SIM_REDSHIFT_HOST:   0.41211 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.7475   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0769   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.019     # coh model scatter 
SIM_PEAKMJD:         56211.633    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.6462e-05 
SIM_SALT2x1:         1.1968 
SIM_SALT2c:          0.1184 
SIM_SALT2mB:         22.5938 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.2447  # spectro-search efficiency 
SIM_TRESTMIN:        -16.58  # days 
SIM_TRESTMAX:        68.36  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.753 22.575 22.438 22.653  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 67 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56188.2380 DES-g shallow7  6.93680e-01  3.5700e+00    0  1.000 32.310  2.24 3.638e+01  29.6438 
OBS: 56189.1950 DES-r shallow7 -7.14398e+01  5.9289e+01    0  1.000 29.110  2.51 2.760e+01  25.4761 
OBS: 56189.2030 DES-i shallow7  2.14927e+00  1.3887e+01    0  1.000 31.960  3.10 7.619e+01  25.3359 
OBS: 56189.2110 DES-z shallow7  8.55044e+00  1.6919e+01    0  1.000 32.600  2.44 2.142e+02  25.2373 
OBS: 56200.2190 DES-g shallow7  2.06661e+01  1.2723e+01    0  1.000 32.370  2.31 1.374e+02  23.9540 
OBS: 56202.2230 DES-r shallow7  7.03516e+01  1.3485e+01 4096  1.000 31.070  1.52 6.581e+01  22.8085 
OBS: 56202.2380 DES-i shallow7  8.30747e+01  1.4214e+01    0  1.000 32.280  1.61 2.026e+02  22.7483 
OBS: 56207.1560 DES-z shallow7  8.66080e+01  1.0716e+01 4096  1.000 33.300  2.94 2.142e+02  22.7008 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56207.1562
OBS: 56214.1640 DES-g shallow7  2.54521e+01  2.4709e+00 4096  1.000 32.370  1.60 3.638e+01  23.8691 
OBS: 56215.2380 DES-r shallow7  6.76861e+01  6.0099e+00 4096  1.000 31.040  1.45 2.760e+01  22.6230 
OBS: 56216.1640 DES-i shallow7  9.93324e+01  5.6827e+00 4096  1.000 32.260  1.64 7.619e+01  22.4558 
OBS: 56217.1520 DES-z shallow7  8.90380e+01  5.3696e+00 4096  1.000 33.220  1.36 2.142e+02  22.6475 
OBS: 56221.1130 DES-g shallow7  2.09804e+01  4.5775e+00    0  1.000 32.210  2.43 3.916e+01  24.2560 
OBS: 56221.1950 DES-r shallow7  1.01292e+02  4.7485e+01    0  1.000 29.110  2.00 2.760e+01  22.8085 
OBS: 56221.3120 DES-i shallow7  8.73191e+01  8.5270e+00 4096  1.000 31.940  1.85 7.619e+01  22.5476 
OBS: 56222.1050 DES-z shallow7  1.01438e+02  1.8072e+01    0  1.000 32.820  3.14 2.175e+02  22.7918 
OBS: 56228.1990 DES-g shallow7  5.74774e+00  6.9212e+00    0  1.000 32.330  1.32 1.260e+02  24.7821 
OBS: 56228.2150 DES-r shallow7  5.23667e+01  1.5535e+01    0  1.000 30.880  1.65 5.860e+01  23.1522 
OBS: 56228.2230 DES-i shallow7  8.23108e+01  2.9187e+01    0  1.000 31.290  1.52 1.772e+02  22.7936 
OBS: 56229.1990 DES-z shallow7  6.27604e+01  8.4769e+00 4096  1.000 33.170  1.50 2.946e+02  23.1450 
OBS: 56230.1560 DES-g shallow7  1.29939e+01  9.8393e+00    0  1.000 32.290  1.33 1.716e+02  24.9562 
OBS: 56230.1720 DES-r shallow7  1.92535e+01  1.8844e+01    0  1.000 30.930  1.46 8.506e+01  23.2747 
OBS: 56230.1880 DES-i shallow7  5.28647e+01  2.2922e+01    0  1.000 32.110  1.70 2.652e+02  22.8936 
OBS: 56231.2300 DES-z shallow7  5.52812e+01  8.0785e+00 4096  1.000 33.180  1.48 2.872e+02  23.2263 
OBS: 56235.1600 DES-g shallow7  8.67203e+00  5.3339e+00    0  1.000 32.350  1.86 6.962e+01  25.4172 
OBS: 56235.1720 DES-r shallow7  4.57679e+01  1.1734e+01    0  1.000 30.940  2.14 3.511e+01  23.5806 
OBS: 56235.1880 DES-i shallow7  8.13285e+01  1.0346e+01 4096  1.000 32.190  2.17 1.001e+02  23.1125 
OBS: 56236.1880 DES-z shallow7  3.92207e+01  9.3640e+00 4096  1.000 33.210  2.25 2.253e+02  23.2791 
