SURVEY:   DES
SNID:             27309  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.166 0.110 0.081 0.062  # MW mag-XT per band
PEAKMJD:  56261.328     # estimate for LC fit codes
MJD_TRIGGER:       56244.188  
MJD_DETECT_FIRST:  56243.211  
MJD_DETECT_LAST:   56298.090  

REDSHIFT_HELIO:   0.459729 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.458837 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.45884 
SIM_REDSHIFT_CMB:    0.45795  
SIM_REDSHIFT_HOST:   0.45884 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.0240   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0455   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.046     # coh model scatter 
SIM_PEAKMJD:         56260.383    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.2762e-05 
SIM_SALT2x1:         1.1398 
SIM_SALT2c:          0.1159 
SIM_SALT2mB:         22.8702 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1790  # spectro-search efficiency 
SIM_TRESTMIN:        -17.30  # days 
SIM_TRESTMAX:        62.16  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.852 22.619 22.603 22.656  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 59 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56235.1600 DES-g shallow7  5.68360e-01  5.3252e+00    0  1.000 32.350  1.86 6.962e+01 99 
OBS: 56235.1720 DES-r shallow7 -1.05318e+01  1.1652e+01    0  1.000 30.940  2.14 3.511e+01  26.6601 
OBS: 56235.1880 DES-i shallow7  7.94432e+00  1.0299e+01    0  1.000 32.190  2.17 1.001e+02  26.3632 
OBS: 56236.1880 DES-z shallow7  1.21544e+00  9.3535e+00    0  1.000 33.210  2.25 2.253e+02  25.9464 
OBS: 56237.1990 DES-g shallow7  4.77505e+00  4.9486e+00    0  1.000 32.120  1.94 4.964e+01  28.3728 
OBS: 56237.2070 DES-r shallow7  8.03879e+00  9.7704e+00    0  1.000 30.860  1.95 2.950e+01  25.6056 
OBS: 56237.2150 DES-i shallow7  1.76006e+01  1.2637e+01    0  1.000 31.610  1.90 8.195e+01  25.3925 
OBS: 56238.1990 DES-z shallow7  1.51638e+00  1.0898e+01    0  1.000 32.970  2.21 2.142e+02  25.0511 
OBS: 56243.1950 DES-g shallow7  1.27608e+01  2.2595e+00    0  1.000 32.320  1.41 3.638e+01  24.9443 
OBS: 56243.2030 DES-r shallow7  3.95099e+01  6.7664e+00    0  1.000 30.990  1.59 2.760e+01  23.6949 
OBS: 56243.2110 DES-i shallow7  3.62753e+01  5.8213e+00 4096  1.000 32.080  1.44 7.619e+01  23.7209 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56244.1875
OBS: 56244.1880 DES-z shallow7  2.56513e+01  7.3782e+00 4096  1.000 33.110  1.70 2.142e+02  23.5640 
OBS: 56245.1910 DES-g shallow7  8.58165e+00  6.5321e+00    0  1.000 31.200  1.47 3.638e+01  24.5685 
OBS: 56245.1990 DES-r shallow7  3.05264e+01  6.2139e+00 4096  1.000 31.010  1.49 2.760e+01  23.3954 
OBS: 56245.2030 DES-i shallow7  3.45106e+01  5.7723e+00 4096  1.000 32.140  1.51 7.619e+01  23.4380 
OBS: 56246.1990 DES-z shallow7  3.65498e+01  6.3208e+00 4096  1.000 33.220  1.61 2.142e+02  23.3102 
OBS: 56248.2300 DES-g shallow7  2.43899e+01  2.4896e+00 4096  1.000 32.320  1.54 3.638e+01  24.1420 
OBS: 56248.2380 DES-r shallow7  6.96067e+01  7.5266e+00 4096  1.000 30.810  1.48 2.760e+01  23.0478 
OBS: 56248.2500 DES-i shallow7  7.09873e+01  7.2610e+00 4096  1.000 31.910  1.53 7.619e+01  23.0982 
OBS: 56258.1520 DES-z shallow7  8.16423e+01  9.3935e+00 4096  1.000 33.200  1.75 2.876e+02  22.6842 
OBS: 56260.1880 DES-g shallow7  2.06877e+01  8.0269e+00    0  1.000 32.420  1.41 1.486e+02  23.8435 
OBS: 56260.1950 DES-r shallow7  6.46790e+01  1.4213e+01 4096  1.000 31.000  1.44 6.877e+01  22.6184 
OBS: 56260.2030 DES-i shallow7  1.06969e+02  1.3847e+01 4096  1.000 32.210  1.42 2.096e+02  22.6046 
OBS: 56266.1990 DES-z shallow7  9.74234e+01  7.9801e+00 4096  1.000 33.170  1.88 2.208e+02  22.6603 
OBS: 56268.1950 DES-g shallow7  2.13723e+01  2.6965e+00 4096  1.000 32.340  1.71 3.638e+01  24.2606 
OBS: 56268.1990 DES-r shallow7  6.12725e+01  7.6028e+00 4096  1.000 30.910  1.65 2.760e+01  22.7836 
OBS: 56268.2150 DES-i shallow7  7.46975e+01  6.4513e+00 4096  1.000 32.130  1.65 7.680e+01  22.6780 
OBS: 56277.1800 DES-z shallow7  5.60713e+01  5.4030e+00 4096  1.000 33.210  1.36 2.142e+02  23.0493 
