SURVEY:   DES
SNID:             27752  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       34.500000  # deg (avg among obs)
DEC:      -5.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0227 +- 0.0036  # MW E(B-V) 
MWXT_MAG:  0.088 0.059 0.043 0.033  # MW mag-XT per band
PEAKMJD:  56173.438     # estimate for LC fit codes
MJD_TRIGGER:       56177.172  
MJD_DETECT_FIRST:  56176.176  
MJD_DETECT_LAST:   56247.223  

REDSHIFT_HELIO:   0.482262 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.481042 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.48205 
SIM_REDSHIFT_CMB:    0.48083  
SIM_REDSHIFT_HOST:   0.48205 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.1505   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              34.500000     # deg  
SIM_DEC:             -5.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0242   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.013     # coh model scatter 
SIM_PEAKMJD:         56173.816    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.6765e-05 
SIM_SALT2x1:         0.0702 
SIM_SALT2c:          -0.0630 
SIM_SALT2mB:         22.5740 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.2200  # spectro-search efficiency 
SIM_TRESTMIN:        1.59  # days 
SIM_TRESTMAX:        67.13  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.202 22.336 22.500 22.572  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 71 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56176.1760 DES-g deep2  4.49823e+01  4.9149e+00 4096  1.000 32.980  2.00 1.068e+02  23.3350 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56177.1719
OBS: 56177.1720 DES-r deep2  1.05405e+02  3.6328e+00 4096  1.000 34.390  4.28 1.352e+02  22.3914 
OBS: 56177.1880 DES-i deep2  1.15310e+02  8.7802e+00 4096  1.000 34.530  4.99 3.214e+02  22.5043 
OBS: 56177.2110 DES-z deep2  8.69390e+01  4.7989e+00 4096  1.000 35.660  3.85 6.450e+02  22.5639 
OBS: 56180.1720 DES-g deep2  3.72494e+01  2.3053e+00 4096  1.000 33.010  2.09 4.763e+01  23.6235 
OBS: 56180.3280 DES-r deep2  1.05036e+02  2.5781e+00 4096  1.000 34.320  2.73 1.399e+02  22.4894 
OBS: 56180.3440 DES-i deep2  9.92770e+01  3.5718e+00 4096  1.000 34.430  2.49 2.376e+02  22.5497 
OBS: 56185.1520 DES-z deep2  7.90006e+01  2.2131e+00 4096  1.000 35.470  1.58 6.059e+02  22.7698 
OBS: 56189.1480 DES-g deep2  2.21771e+01  9.9934e+00    0  1.000 31.820  3.09 4.763e+01  24.4007 
OBS: 56189.1600 DES-r deep2  6.66704e+01  3.9150e+00 4096  1.000 33.690  2.42 1.352e+02  22.9463 
OBS: 56189.1760 DES-i deep2  5.57687e+01  8.0927e+00 4096  1.000 33.380  2.24 2.286e+02  22.8494 
OBS: 56189.2270 DES-z deep2  6.75701e+01  4.2584e+00 4096  1.000 35.090  2.15 6.059e+02  22.9501 
OBS: 56194.1210 DES-g deep2  1.74718e+01  3.8401e+00    0  1.000 32.670  2.03 6.128e+01  24.8822 
OBS: 56194.1290 DES-r deep2  4.76445e+01  2.3771e+00 4096  1.000 34.150  2.16 1.402e+02  23.3092 
OBS: 56200.2340 DES-i deep2  4.95234e+01  7.6845e+00    0  1.000 34.620  2.34 6.524e+02  23.3060 
OBS: 56201.1560 DES-z deep2  5.18703e+01  4.5600e+00 4096  1.000 35.560  2.64 8.155e+02  23.2743 
OBS: 56208.1600 DES-g deep2  6.71805e+00  1.5383e+00    0  1.000 33.030  1.44 4.763e+01  26.0595 
OBS: 56208.1760 DES-r deep2  1.83444e+01  1.2646e+00 4096  1.000 34.470  1.60 1.352e+02  24.3491 
OBS: 56210.1560 DES-i deep2  3.56972e+01  3.5330e+00 4096  1.000 34.590  2.98 2.286e+02  23.6568 
OBS: 56214.1800 DES-z deep2  3.70877e+01  2.0825e+00 4096  1.000 35.540  1.59 6.059e+02  23.5425 
OBS: 56217.1720 DES-g deep2  3.30893e+00  1.2852e+00    0  1.000 32.950  1.12 4.763e+01  26.5629 
OBS: 56217.1910 DES-r deep2  1.22739e+01  9.7735e-01 4096  1.000 34.430  1.19 1.352e+02  24.8522 
OBS: 56219.2300 DES-i deep2  2.26833e+01  1.6428e+00 4096  1.000 34.590  1.38 2.286e+02  24.0088 
OBS: 56221.0470 DES-z deep2  3.26073e+01  7.7859e+00    0  1.000 35.000  3.59 6.115e+02  23.8196 
OBS: 56221.3240 DES-g deep2 -1.98722e+00  1.2465e+01    0  1.000 31.100  1.99 4.763e+01  26.7408 
OBS: 56221.3400 DES-r deep2 -3.01137e+00  1.3474e+01    0  1.000 32.160  2.05 1.352e+02  25.0455 
OBS: 56222.0470 DES-i deep2  2.73568e+01  6.5311e+00    0  1.000 34.100  3.41 2.355e+02  24.1283 
OBS: 56228.0310 DES-g deep2 -9.19716e+00  2.6161e+01    0  1.000 31.510  1.67 1.773e+02  26.8897 
