SURVEY:   DES
SNID:             28278  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       36.750000  # deg (avg among obs)
DEC:      -4.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0283 +- 0.0045  # MW E(B-V) 
MWXT_MAG:  0.116 0.078 0.057 0.043  # MW mag-XT per band
PEAKMJD:  56173.758     # estimate for LC fit codes
MJD_TRIGGER:       56179.312  
MJD_DETECT_FIRST:  56179.172  
MJD_DETECT_LAST:   56246.180  

REDSHIFT_HELIO:   0.127364 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.126471 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.12770 
SIM_REDSHIFT_CMB:    0.12680  
SIM_REDSHIFT_HOST:   0.12770 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            38.8678   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              36.750000     # deg  
SIM_DEC:             -4.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0319   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.218     # coh model scatter 
SIM_PEAKMJD:         56173.137    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.6950e-04 
SIM_SALT2x1:         -0.8574 
SIM_SALT2c:          0.1373 
SIM_SALT2mB:         20.0621 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9900  # spectro-search efficiency 
SIM_TRESTMIN:        5.35  # days 
SIM_TRESTMAX:        64.83  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  20.099 19.884 20.083 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.1720 DES-g shallow6  7.40663e+02  4.2541e+00 4096  1.000 32.420  2.21 3.638e+01  20.3470 
OBS: 56179.3120 DES-r shallow6  1.05835e+03  1.7391e+01 4096  1.000 30.750  2.81 3.001e+01  19.9686 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56179.3125
OBS: 56179.3280 DES-i shallow6  8.07682e+02  1.3394e+01 4096  1.000 32.050  2.85 8.396e+01  20.2208 
OBS: 56188.1480 DES-g shallow6  3.53731e+02  1.4444e+01 4096  1.000 31.230  3.26 3.638e+01  21.1691 
OBS: 56188.1600 DES-r shallow6  6.71893e+02  2.2542e+01 4096  1.000 30.230  2.53 2.760e+01  20.4600 
OBS: 56188.2110 DES-i shallow6  5.06302e+02  1.3722e+01 4096  1.000 31.580  2.09 7.619e+01  20.7034 
OBS: 56200.1800 DES-g shallow6  1.13832e+02  1.5927e+01 4096  1.000 32.420  2.76 1.505e+02  22.3638 
OBS: 56200.1880 DES-r shallow6  3.53475e+02  2.4711e+01 4096  1.000 31.040  2.57 6.918e+01  21.0360 
OBS: 56200.1950 DES-i shallow6  5.14985e+02  2.3762e+01 4096  1.000 32.400  2.88 2.110e+02  20.7474 
OBS: 56210.2030 DES-g shallow6  5.73939e+01  3.7968e+00 4096  1.000 32.420  2.58 3.638e+01  22.9878 
OBS: 56210.2110 DES-r shallow6  2.26504e+02  1.0992e+01 4096  1.000 31.190  3.06 2.760e+01  21.6333 
OBS: 56210.2190 DES-i shallow6  3.05983e+02  9.4149e+00 4096  1.000 32.170  2.49 7.619e+01  21.3032 
OBS: 56220.1880 DES-g shallow6  4.73338e+01  2.0211e+00 4096  1.000 32.370  1.25 3.638e+01  23.2533 
OBS: 56220.1950 DES-r shallow6  1.66093e+02  5.9794e+00 4096  1.000 31.020  1.33 2.760e+01  21.9683 
OBS: 56220.2030 DES-i shallow6  1.82511e+02  5.4675e+00 4096  1.000 32.200  1.46 7.619e+01  21.8155 
OBS: 56222.2030 DES-g shallow6  4.13565e+01  4.9567e+00 4096  1.000 32.140  2.20 4.396e+01  23.2938 
OBS: 56222.2110 DES-r shallow6  1.55694e+02  1.3894e+01 4096  1.000 30.390  1.81 2.842e+01  22.0164 
OBS: 56222.2270 DES-i shallow6  1.78219e+02  1.0296e+01 4096  1.000 31.810  1.97 7.619e+01  21.9068 
OBS: 56229.1450 DES-g shallow6  5.50611e+01  9.6377e+00    0  1.000 32.280  1.36 1.623e+02  23.4199 
OBS: 56229.1560 DES-r shallow6  1.50383e+02  1.8044e+01 4096  1.000 30.780  1.28 8.002e+01  22.1725 
OBS: 56229.1720 DES-i shallow6  1.64359e+02  2.1443e+01 4096  1.000 31.850  1.33 2.489e+02  22.1904 
OBS: 56231.1910 DES-g shallow6  4.67779e+01  8.3205e+00 4096  1.000 32.300  1.38 1.405e+02  23.4547 
OBS: 56231.1990 DES-r shallow6  9.79719e+01  1.6264e+01 4096  1.000 30.940  1.59 6.731e+01  22.2168 
OBS: 56231.2070 DES-i shallow6  1.43309e+02  1.5871e+01 4096  1.000 32.160  1.58 2.061e+02  22.2711 
OBS: 56236.1330 DES-g shallow6  3.99051e+01  3.7364e+00 4096  1.000 32.270  2.22 3.638e+01  23.5403 
OBS: 56236.1450 DES-r shallow6  1.08808e+02  9.0036e+00 4096  1.000 30.920  1.96 2.760e+01  22.3258 
OBS: 56236.1600 DES-i shallow6  1.02058e+02  7.2576e+00 4096  1.000 32.170  1.94 7.619e+01  22.4716 
OBS: 56238.1480 DES-g shallow6  3.80359e+01  3.7494e+00 4096  1.000 32.030  1.78 3.638e+01  23.5752 
OBS: 56238.1600 DES-r shallow6  1.17873e+02  1.3534e+01    0  1.000 30.490  2.00 2.760e+01  22.3701 
OBS: 56238.1760 DES-i shallow6  9.47313e+01  1.2443e+01 4096  1.000 31.600  1.98 7.619e+01  22.5533 
OBS: 56244.1410 DES-g shallow6  2.69879e+01  2.7745e+00 4096  1.000 32.350  1.77 3.638e+01  23.6790 
OBS: 56244.1520 DES-r shallow6  1.06271e+02  7.6557e+00 4096  1.000 31.000  1.78 2.760e+01  22.5021 
OBS: 56244.1680 DES-i shallow6  8.94815e+01  7.1090e+00 4096  1.000 32.140  1.85 7.619e+01  22.7959 
OBS: 56246.1520 DES-g shallow6  3.52545e+01  2.4275e+00 4096  1.000 32.230  1.36 3.638e+01  23.7138 
OBS: 56246.1640 DES-r shallow6  9.97903e+01  7.5192e+00 4096  1.000 30.880  1.56 2.760e+01  22.5464 
OBS: 56246.1800 DES-i shallow6  7.27426e+01  5.3188e+00 4096  1.000 32.260  1.54 7.619e+01  22.8774 
END_PHOTOMETRY: 

