SURVEY:   DES
SNID:             29899  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.272 0.181 0.133 0.101  # MW mag-XT per band
PEAKMJD:  56255.148     # estimate for LC fit codes
MJD_TRIGGER:       56243.203  
MJD_DETECT_FIRST:  56243.195  
MJD_DETECT_LAST:   56332.086  

REDSHIFT_HELIO:   0.229952 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.229200 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.23029 
SIM_REDSHIFT_CMB:    0.22954  
SIM_REDSHIFT_HOST:   0.23029 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.2880   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0745   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.052     # coh model scatter 
SIM_PEAKMJD:         56256.016    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         8.7049e-05 
SIM_SALT2x1:         0.6416 
SIM_SALT2c:          -0.0149 
SIM_SALT2mB:         20.7856 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8605  # spectro-search efficiency 
SIM_TRESTMIN:        -16.96  # days 
SIM_TRESTMAX:        69.16  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.293 21.051 21.165 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56235.1600 DES-g shallow7  3.71687e+00  5.3286e+00    0  1.000 32.350  1.86 6.962e+01  25.6812 
OBS: 56235.1720 DES-r shallow7  1.86249e+01  1.1685e+01    0  1.000 30.940  2.14 3.511e+01  24.8963 
OBS: 56235.1880 DES-i shallow7  1.22469e+01  1.0302e+01    0  1.000 32.190  2.17 1.001e+02  24.9041 
OBS: 56237.1990 DES-g shallow7  2.16421e+01  4.9727e+00    0  1.000 32.120  1.94 4.964e+01  24.2296 
OBS: 56237.2070 DES-r shallow7  3.25037e+01  9.8269e+00    0  1.000 30.860  1.95 2.950e+01  23.7263 
OBS: 56237.2150 DES-i shallow7  3.65688e+01  1.2655e+01    0  1.000 31.610  1.90 8.195e+01  23.7558 
OBS: 56243.1950 DES-g shallow7  1.36196e+02  2.5617e+00 4096  1.000 32.320  1.41 3.638e+01  22.1424 
OBS: 56243.2030 DES-r shallow7  1.48272e+02  7.0820e+00 4096  1.000 30.990  1.59 2.760e+01  21.9507 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56243.2031
OBS: 56243.2110 DES-i shallow7  1.59080e+02  5.9746e+00 4096  1.000 32.080  1.44 7.619e+01  22.0086 
OBS: 56245.1910 DES-g shallow7  2.00197e+02  7.0009e+00 4096  1.000 31.200  1.47 3.638e+01  21.8201 
OBS: 56245.1990 DES-r shallow7  2.12222e+02  6.7661e+00 4096  1.000 31.010  1.49 2.760e+01  21.6564 
OBS: 56245.2030 DES-i shallow7  1.95359e+02  5.9632e+00 4096  1.000 32.140  1.51 7.619e+01  21.7206 
OBS: 56248.2300 DES-g shallow7  2.56231e+02  2.9891e+00 4096  1.000 32.320  1.54 3.638e+01  21.4697 
OBS: 56248.2380 DES-r shallow7  3.01380e+02  8.2244e+00 4096  1.000 30.810  1.48 2.760e+01  21.3260 
OBS: 56248.2500 DES-i shallow7  2.70189e+02  7.4935e+00 4096  1.000 31.910  1.53 7.619e+01  21.4026 
OBS: 56260.1880 DES-g shallow7  2.59721e+02  8.1856e+00 4096  1.000 32.420  1.41 1.486e+02  21.4310 
OBS: 56260.1950 DES-r shallow7  3.43189e+02  1.4598e+01 4096  1.000 31.000  1.44 6.877e+01  21.0819 
OBS: 56260.2030 DES-i shallow7  3.35843e+02  1.3955e+01 4096  1.000 32.210  1.42 2.096e+02  21.1683 
OBS: 56268.1950 DES-g shallow7  1.71985e+02  3.0028e+00 4096  1.000 32.340  1.71 3.638e+01  21.9337 
OBS: 56268.1990 DES-r shallow7  2.87484e+02  8.2211e+00 4096  1.000 30.910  1.65 2.760e+01  21.3580 
OBS: 56268.2150 DES-i shallow7  2.58251e+02  6.6484e+00 4096  1.000 32.130  1.65 7.680e+01  21.5022 
OBS: 56278.2230 DES-g shallow7  6.65791e+01  2.5128e+00 4096  1.000 32.380  1.58 3.638e+01  22.9274 
OBS: 56279.1800 DES-r shallow7  1.78254e+02  7.4251e+00 4096  1.000 30.910  1.53 2.760e+01  21.8963 
OBS: 56279.1990 DES-i shallow7  2.00149e+02  7.8900e+00 4096  1.000 32.180  2.11 7.619e+01  21.8455 
OBS: 56288.1990 DES-g shallow7  3.17909e+01  8.9397e+00    0  1.000 32.360  1.72 1.282e+02  23.7669 
OBS: 56288.2150 DES-r shallow7  1.50429e+02  1.7943e+01    0  1.000 31.010  2.16 5.800e+01  22.2716 
OBS: 56289.0510 DES-i shallow7  1.59069e+02  1.7962e+01 4096  1.000 32.570  3.27 1.646e+02  21.9940 
OBS: 56296.0780 DES-g shallow7  1.68515e+01  1.9032e+00 4096  1.000 32.300  1.15 3.638e+01  24.2377 
OBS: 56296.0900 DES-r shallow7  8.91261e+01  6.0110e+00 4096  1.000 30.900  1.25 2.760e+01  22.6396 
OBS: 56298.0900 DES-i shallow7  1.09194e+02  7.6399e+00 4096  1.000 32.120  1.95 7.619e+01  22.3844 
OBS: 56306.0550 DES-g shallow7  1.32483e+01  2.5643e+00    0  1.000 32.330  1.62 3.638e+01  24.5278 
OBS: 56306.0620 DES-r shallow7  6.49262e+01  7.0904e+00 4096  1.000 30.930  1.56 2.760e+01  23.0790 
OBS: 56308.1020 DES-i shallow7  6.06080e+01  5.2994e+00 4096  1.000 32.240  1.51 7.619e+01  22.8355 
OBS: 56317.1250 DES-g shallow7  1.68252e+01  7.4664e+00    0  1.000 32.310  1.79 9.809e+01  24.7483 
OBS: 56318.0430 DES-r shallow7  2.78112e+01  2.0204e+01    0  1.000 30.990  3.32 4.148e+01  23.3306 
OBS: 56319.0700 DES-i shallow7  6.66878e+01  7.9907e+00 4096  1.000 32.170  1.48 1.111e+02  23.1606 
OBS: 56326.0900 DES-g shallow7  1.20627e+01  2.4278e+00    0  1.000 32.270  1.45 3.638e+01  24.9316 
OBS: 56326.1020 DES-r shallow7  5.05792e+01  7.4312e+00 4096  1.000 30.950  1.68 2.760e+01  23.4324 
OBS: 56332.0860 DES-i shallow7  4.54674e+01  6.9658e+00 4096  1.000 32.190  1.91 7.619e+01  23.4986 
OBS: 56334.0860 DES-g shallow7  7.36757e+00  2.8050e+00    0  1.000 32.340  1.80 3.638e+01  25.0955 
OBS: 56335.0820 DES-r shallow7  5.00163e+01  9.0524e+00    0  1.000 30.950  2.06 2.760e+01  23.5458 
OBS: 56341.0550 DES-i shallow7  4.49698e+01  1.3627e+01    0  1.000 32.170  2.58 1.093e+02  23.7315 
END_PHOTOMETRY: 

