SURVEY:   DES
SNID:             30503  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -36.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.051 0.034 0.025 0.019  # MW mag-XT per band
PEAKMJD:  56176.527     # estimate for LC fit codes
MJD_TRIGGER:       56178.203  
MJD_DETECT_FIRST:  56178.188  
MJD_DETECT_LAST:   56247.305  

REDSHIFT_HELIO:   0.233745 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.233333 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           2    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.23423 
SIM_REDSHIFT_CMB:    0.23381  
SIM_REDSHIFT_HOST:   0.23423 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.3326   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -36.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0140   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.016     # coh model scatter 
SIM_PEAKMJD:         56176.656    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.9473e-05 
SIM_SALT2x1:         0.4248 
SIM_SALT2c:          0.3292 
SIM_SALT2mB:         21.9615 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6910  # spectro-search efficiency 
SIM_TRESTMIN:        1.24  # days 
SIM_TRESTMAX:        68.55  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.267 21.782 21.598 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 48 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56178.1880 DES-g shallow1  1.11867e+02  7.5081e+00 4096  1.000 32.320  4.70 3.638e+01  22.3045 
OBS: 56178.1950 DES-r shallow1  1.57045e+02  2.1934e+01 4096  1.000 31.000  5.26 2.760e+01  21.7817 
OBS: 56178.2030 DES-i shallow1  2.27154e+02  1.2129e+01 4096  1.000 32.240  3.47 7.619e+01  21.5880 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56178.2031
OBS: 56186.1560 DES-g shallow1  8.57850e+01  2.6381e+00 4096  1.000 32.380  1.64 3.638e+01  22.7218 
OBS: 56186.1720 DES-r shallow1  1.60158e+02  7.3828e+00 4096  1.000 30.960  1.61 2.760e+01  21.9744 
OBS: 56186.1880 DES-i shallow1  1.98247e+02  6.2315e+00 4096  1.000 32.190  1.66 7.619e+01  21.7957 
OBS: 56189.2730 DES-g shallow1  6.07219e+01  5.6837e+00 4096  1.000 31.740  2.07 3.638e+01  22.9604 
OBS: 56189.2810 DES-r shallow1  1.18512e+02  3.0211e+01 4096  1.000 29.770  2.33 2.760e+01  22.1184 
OBS: 56189.2890 DES-i shallow1  1.67422e+02  1.0687e+01 4096  1.000 31.800  2.03 7.619e+01  21.9721 
OBS: 56201.2190 DES-g shallow1  2.47402e+01  9.1716e+00    0  1.000 32.370  2.10 1.087e+02  24.1586 
OBS: 56201.2340 DES-r shallow1  9.48444e+01  1.4307e+01 4096  1.000 31.050  2.23 4.611e+01  22.6957 
OBS: 56202.1600 DES-i shallow1  1.10890e+02  9.5168e+00 4096  1.000 32.270  1.69 1.272e+02  22.3281 
OBS: 56214.2380 DES-g shallow1  1.03211e+01  1.8755e+00    0  1.000 32.410  1.27 3.638e+01  25.0972 
OBS: 56215.1640 DES-r shallow1  4.59094e+01  6.4406e+00 4096  1.000 31.000  1.52 2.760e+01  23.3006 
OBS: 56215.1800 DES-i shallow1  7.86376e+01  5.2923e+00 4096  1.000 32.260  1.53 7.619e+01  22.6829 
OBS: 56221.1050 DES-g shallow1  4.63165e+00  5.7830e+00    0  1.000 31.970  2.42 4.010e+01  25.3958 
OBS: 56221.1170 DES-r shallow1  3.15128e+01  1.2414e+01    0  1.000 30.780  2.41 2.792e+01  23.5843 
OBS: 56221.1250 DES-i shallow1  5.62506e+01  1.3275e+01    0  1.000 31.720  2.34 7.712e+01  22.9802 
OBS: 56228.1090 DES-g shallow1 -2.86325e+00  8.6288e+00    0  1.000 32.050  1.59 1.007e+02  25.5320 
OBS: 56228.1130 DES-r shallow1  2.82202e+01  1.1293e+01    0  1.000 30.760  1.43 4.348e+01  23.8600 
OBS: 56228.1210 DES-i shallow1  4.59076e+01  1.3039e+01    0  1.000 31.900  1.67 1.261e+02  23.2829 
OBS: 56230.0590 DES-g shallow1 -7.11021e+00  7.7531e+00    0  1.000 32.350  1.54 1.233e+02  25.5715 
OBS: 56230.0700 DES-r shallow1  7.52518e+00  1.2063e+01    0  1.000 30.980  1.60 5.143e+01  23.9187 
OBS: 56230.0860 DES-i shallow1  4.05272e+01  1.0509e+01    0  1.000 32.160  1.43 1.509e+02  23.3562 
OBS: 56235.0620 DES-g shallow1  4.93711e+00  4.7140e+00    0  1.000 32.080  2.39 3.638e+01  25.6825 
OBS: 56235.0740 DES-r shallow1  4.32758e+01  1.7360e+01    0  1.000 30.670  3.08 2.760e+01  24.0293 
OBS: 56235.0900 DES-i shallow1  4.33518e+01  2.0383e+01    0  1.000 31.670  3.48 7.619e+01  23.5151 
OBS: 56236.3400 DES-g shallow1  5.33825e+00  4.1152e+00    0  1.000 32.360  1.88 5.325e+01  25.7116 
