SURVEY:   DES
SNID:             31068  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       36.750000  # deg (avg among obs)
DEC:      -4.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0283 +- 0.0045  # MW E(B-V) 
MWXT_MAG:  0.096 0.064 0.047 0.036  # MW mag-XT per band
PEAKMJD:  56248.340     # estimate for LC fit codes
MJD_TRIGGER:       56231.191  
MJD_DETECT_FIRST:  56229.188  
MJD_DETECT_LAST:   56306.043  

REDSHIFT_HELIO:   0.404426 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.403314 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.40443 
SIM_REDSHIFT_CMB:    0.40331  
SIM_REDSHIFT_HOST:   0.40443 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.6981   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              36.750000     # deg  
SIM_DEC:             -4.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0262   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.074     # coh model scatter 
SIM_PEAKMJD:         56247.633    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.7264e-05 
SIM_SALT2x1:         1.5942 
SIM_SALT2c:          -0.0200 
SIM_SALT2mB:         22.0460 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.5411  # spectro-search efficiency 
SIM_TRESTMIN:        -13.17  # days 
SIM_TRESTMAX:        63.00  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.375 21.862 21.882 22.227  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 60 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56229.1450 DES-g shallow6  2.18802e+01  9.6166e+00    0  1.000 32.280  1.36 1.623e+02  23.7898 
OBS: 56229.1560 DES-r shallow6  4.23649e+01  1.7897e+01    0  1.000 30.780  1.28 8.002e+01  23.2313 
OBS: 56229.1720 DES-i shallow6  5.42114e+01  2.1396e+01    0  1.000 31.850  1.33 2.489e+02  23.3311 
OBS: 56229.1880 DES-z shallow6  3.33523e+01  8.7415e+00 4096  1.000 33.060  1.38 2.987e+02  23.4167 
OBS: 56231.1910 DES-g shallow6  4.84239e+01  8.3217e+00 4096  1.000 32.300  1.38 1.405e+02  23.2284 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56231.1914
OBS: 56231.1990 DES-r shallow6  6.18241e+01  1.6217e+01    0  1.000 30.940  1.59 6.731e+01  22.8172 
OBS: 56231.2070 DES-i shallow6  5.10226e+01  1.5831e+01    0  1.000 32.160  1.58 2.061e+02  22.9230 
OBS: 56231.2150 DES-z shallow6  6.21740e+01  7.7790e+00 4096  1.000 33.160  1.43 2.809e+02  23.0437 
OBS: 56236.1330 DES-g shallow6  9.48202e+01  3.8261e+00 4096  1.000 32.270  2.22 3.638e+01  22.5394 
OBS: 56236.1450 DES-r shallow6  1.25087e+02  9.0423e+00 4096  1.000 30.920  1.96 2.760e+01  22.2289 
OBS: 56236.1600 DES-i shallow6  1.09823e+02  7.2648e+00 4096  1.000 32.170  1.94 7.619e+01  22.3268 
OBS: 56236.1720 DES-z shallow6  1.00094e+02  9.5822e+00 4096  1.000 33.160  2.21 2.237e+02  22.5107 
OBS: 56238.1480 DES-g shallow6  1.03908e+02  3.8824e+00 4096  1.000 32.030  1.78 3.638e+01  22.3806 
OBS: 56238.1600 DES-r shallow6  1.56092e+02  1.3623e+01 4096  1.000 30.490  2.00 2.760e+01  22.0756 
OBS: 56238.1760 DES-i shallow6  1.52610e+02  1.2497e+01 4096  1.000 31.600  1.98 7.619e+01  22.1661 
OBS: 56238.1880 DES-z shallow6  1.15481e+02  1.2006e+01 4096  1.000 32.710  1.91 2.142e+02  22.3797 
OBS: 56244.1410 DES-g shallow6  1.31071e+02  2.9821e+00 4096  1.000 32.350  1.77 3.638e+01  22.2730 
OBS: 56244.1520 DES-r shallow6  1.92990e+02  7.8780e+00 4096  1.000 31.000  1.78 2.760e+01  21.8741 
OBS: 56244.1680 DES-i shallow6  1.65791e+02  7.1834e+00 4096  1.000 32.140  1.85 7.619e+01  21.9183 
OBS: 56244.1800 DES-z shallow6  1.14785e+02  7.2424e+00 4096  1.000 33.090  1.63 2.142e+02  22.2671 
OBS: 56246.1520 DES-g shallow6  1.15044e+02  2.6298e+00 4096  1.000 32.230  1.36 3.638e+01  22.3184 
OBS: 56246.1640 DES-r shallow6  1.77317e+02  7.7450e+00 4096  1.000 30.880  1.56 2.760e+01  21.8594 
OBS: 56246.1800 DES-i shallow6  1.68571e+02  5.4300e+00 4096  1.000 32.260  1.54 7.619e+01  21.8885 
OBS: 56246.1910 DES-z shallow6  1.81286e+02  1.9171e+01 4096  1.000 32.050  1.66 2.142e+02  22.2482 
OBS: 56258.1020 DES-g shallow6  6.97691e+01  9.3051e+00 4096  1.000 32.350  1.59 1.428e+02  22.9513 
OBS: 56258.1090 DES-r shallow6  1.52967e+02  1.4518e+01 4096  1.000 30.950  1.38 6.939e+01  22.1172 
OBS: 56258.1250 DES-i shallow6  1.78951e+02  1.5640e+01 4096  1.000 32.130  1.46 2.136e+02  21.9957 
OBS: 56258.1410 DES-z shallow6  1.03864e+02  8.1558e+00 4096  1.000 33.210  1.56 2.823e+02  22.3516 
