SURVEY:   DES
SNID:             31812  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       34.500000  # deg (avg among obs)
DEC:      -5.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0227 +- 0.0036  # MW E(B-V) 
MWXT_MAG:  0.074 0.049 0.036 0.028  # MW mag-XT per band
PEAKMJD:  56179.512     # estimate for LC fit codes
MJD_TRIGGER:       56177.172  
MJD_DETECT_FIRST:  56176.176  
MJD_DETECT_LAST:   56245.070  

REDSHIFT_HELIO:   0.497802 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.496568 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.49784 
SIM_REDSHIFT_CMB:    0.49661  
SIM_REDSHIFT_HOST:   0.49784 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.2341   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              34.500000     # deg  
SIM_DEC:             -5.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0203   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.091     # coh model scatter 
SIM_PEAKMJD:         56180.527    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.0591e-05 
SIM_SALT2x1:         -0.7584 
SIM_SALT2c:          0.0304 
SIM_SALT2mB:         23.0726 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1194  # spectro-search efficiency 
SIM_TRESTMIN:        -2.91  # days 
SIM_TRESTMAX:        67.93  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.777 22.643 22.803 22.812  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 75 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56176.1760 DES-g deep2  2.58767e+01  4.9024e+00 4096  1.000 32.980  2.00 1.068e+02  23.6648 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56177.1719
OBS: 56177.1720 DES-r deep2  9.25068e+01  3.6297e+00 4096  1.000 34.390  4.28 1.352e+02  22.6574 
OBS: 56177.1880 DES-i deep2  7.49853e+01  8.7766e+00 4096  1.000 34.530  4.99 3.214e+02  22.8578 
OBS: 56177.2110 DES-z deep2  7.16667e+01  4.7981e+00 4096  1.000 35.660  3.85 6.450e+02  22.8775 
OBS: 56180.1720 DES-g deep2  3.17309e+01  2.2978e+00 4096  1.000 33.010  2.09 4.763e+01  23.7588 
OBS: 56180.3280 DES-r deep2  9.21025e+01  2.5734e+00 4096  1.000 34.320  2.73 1.399e+02  22.6411 
OBS: 56180.3440 DES-i deep2  8.22761e+01  3.5678e+00 4096  1.000 34.430  2.49 2.376e+02  22.8043 
OBS: 56185.1520 DES-z deep2  7.49054e+01  2.2125e+00 4096  1.000 35.470  1.58 6.059e+02  22.8173 
OBS: 56189.1480 DES-g deep2  2.18401e-01  9.9729e+00    0  1.000 31.820  3.09 4.763e+01  24.4773 
OBS: 56189.1600 DES-r deep2  6.74363e+01  3.9153e+00 4096  1.000 33.690  2.42 1.352e+02  22.9120 
OBS: 56189.1760 DES-i deep2  6.22715e+01  8.0945e+00 4096  1.000 33.380  2.24 2.286e+02  22.9083 
OBS: 56189.2270 DES-z deep2  6.80451e+01  4.2584e+00 4096  1.000 35.090  2.15 6.059e+02  22.9200 
OBS: 56194.1210 DES-g deep2  1.04079e+01  3.8322e+00    0  1.000 32.670  2.03 6.128e+01  24.9722 
OBS: 56194.1290 DES-r deep2  5.52533e+01  2.3806e+00 4096  1.000 34.150  2.16 1.402e+02  23.2253 
OBS: 56200.2340 DES-i deep2  5.14791e+01  7.6847e+00 4096  1.000 34.620  2.34 6.524e+02  23.3763 
OBS: 56201.1560 DES-z deep2  4.66113e+01  4.5597e+00 4096  1.000 35.560  2.64 8.155e+02  23.4111 
OBS: 56208.1600 DES-g deep2  2.78612e-01  1.5254e+00    0  1.000 33.030  1.44 4.763e+01  26.2083 
OBS: 56208.1760 DES-r deep2  1.69429e+01  1.2637e+00 4096  1.000 34.470  1.60 1.352e+02  24.3900 
OBS: 56210.1560 DES-i deep2  2.38863e+01  3.5306e+00 4096  1.000 34.590  2.98 2.286e+02  23.7976 
OBS: 56214.1800 DES-z deep2  3.46023e+01  2.0821e+00 4096  1.000 35.540  1.59 6.059e+02  23.6837 
OBS: 56217.1720 DES-g deep2  1.40943e+00  1.2803e+00    0  1.000 32.950  1.12 4.763e+01  26.9871 
OBS: 56217.1910 DES-r deep2  1.02376e+01  9.7559e-01 4096  1.000 34.430  1.19 1.352e+02  24.9989 
OBS: 56219.2300 DES-i deep2  2.18062e+01  1.6424e+00 4096  1.000 34.590  1.38 2.286e+02  24.1866 
OBS: 56221.0470 DES-z deep2  1.48956e+01  7.7847e+00    0  1.000 35.000  3.59 6.115e+02  23.9342 
OBS: 56221.3240 DES-g deep2  1.68595e+01  1.2490e+01    0  1.000 31.100  1.99 4.763e+01  27.1046 
OBS: 56221.3400 DES-r deep2  2.08398e+01  1.3484e+01    0  1.000 32.160  2.05 1.352e+02  25.2347 
OBS: 56222.0470 DES-i deep2  1.99438e+01  6.5298e+00    0  1.000 34.100  3.41 2.355e+02  24.3135 
OBS: 56228.0310 DES-g deep2  1.92087e+01  2.6170e+01    0  1.000 31.510  1.67 1.773e+02  27.5608 
