SURVEY:   DES
SNID:             32361  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -27.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0097 +- 0.0015  # MW E(B-V) 
MWXT_MAG:  0.034 0.023 0.017 0.013  # MW mag-XT per band
PEAKMJD:  56174.547     # estimate for LC fit codes
MJD_TRIGGER:       56176.199  
MJD_DETECT_FIRST:  56176.191  
MJD_DETECT_LAST:   56248.297  

REDSHIFT_HELIO:   0.164566 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.164103 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           0    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.16537 
SIM_REDSHIFT_CMB:    0.16491  
SIM_REDSHIFT_HOST:   0.16537 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            39.4887   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -27.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0094   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.014     # coh model scatter 
SIM_PEAKMJD:         56174.336    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.3471e-04 
SIM_SALT2x1:         0.0543 
SIM_SALT2c:          -0.1273 
SIM_SALT2mB:         19.7087 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9746  # spectro-search efficiency 
SIM_TRESTMIN:        1.59  # days 
SIM_TRESTMAX:        63.51  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  19.752 19.941 20.354 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56176.1910 DES-g deep1  1.23844e+03  5.5677e+00 4096  1.000 32.970  2.27 9.127e+01  19.7950 
OBS: 56176.1990 DES-r deep1  1.07403e+03  2.4969e+00 4096  1.000 34.510  2.16 1.771e+02  19.9357 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56176.1992
OBS: 56176.2150 DES-i deep1  7.28577e+02  3.3029e+00 4096  1.000 34.650  2.06 3.120e+02  20.3525 
OBS: 56180.1880 DES-g deep1  1.03246e+03  3.6022e+00 4096  1.000 33.050  2.50 4.763e+01  19.9690 
OBS: 56180.1950 DES-r deep1  1.02244e+03  2.0936e+00 4096  1.000 34.570  2.37 1.352e+02  20.0009 
OBS: 56180.2500 DES-i deep1  6.71334e+02  2.4472e+00 4096  1.000 34.620  1.95 2.286e+02  20.4300 
OBS: 56188.2540 DES-g deep1  5.76792e+02  3.1180e+00 4096  1.000 32.840  1.86 4.763e+01  20.5839 
OBS: 56188.2700 DES-r deep1  6.91592e+02  3.6263e+00 4096  1.000 33.690  2.05 1.352e+02  20.3759 
OBS: 56188.2810 DES-i deep1  4.29028e+02  9.1995e+00 4096  1.000 33.340  2.43 2.286e+02  20.8971 
OBS: 56194.2340 DES-g deep1  3.37016e+02  2.9441e+00 4096  1.000 32.770  1.45 6.049e+01  21.2098 
OBS: 56194.2420 DES-r deep1  5.39112e+02  1.7256e+00 4096  1.000 34.260  1.41 1.396e+02  20.6804 
OBS: 56194.2580 DES-i deep1  3.71711e+02  2.6669e+00 4096  1.000 34.360  1.68 2.362e+02  21.0368 
OBS: 56207.1720 DES-g deep1  1.21660e+02  2.4032e+00 4096  1.000 33.050  2.16 4.763e+01  22.2958 
OBS: 56207.1800 DES-r deep1  3.29008e+02  2.2659e+00 4096  1.000 34.500  2.82 1.352e+02  21.2323 
OBS: 56207.1950 DES-i deep1  3.20823e+02  3.2126e+00 4096  1.000 34.790  2.78 2.634e+02  21.2303 
OBS: 56216.1760 DES-g deep1  8.24975e+01  1.6093e+00 4096  1.000 33.090  1.45 4.763e+01  22.7188 
OBS: 56216.1910 DES-r deep1  2.10701e+02  1.2871e+00 4096  1.000 34.500  1.51 1.352e+02  21.6928 
OBS: 56216.2150 DES-i deep1  2.14131e+02  1.6895e+00 4096  1.000 34.760  1.59 2.286e+02  21.6947 
OBS: 56221.2030 DES-g deep1  7.56343e+01  3.0609e+00 4096  1.000 32.730  2.12 4.763e+01  22.8497 
OBS: 56221.2110 DES-r deep1  1.75452e+02  2.5231e+00 4096  1.000 33.840  1.73 1.352e+02  21.8862 
OBS: 56221.2270 DES-i deep1  1.62198e+02  3.2216e+00 4096  1.000 34.200  1.87 2.286e+02  21.9462 
OBS: 56222.2540 DES-g deep1  7.11506e+01  2.2744e+00 4096  1.000 32.840  1.71 4.763e+01  22.8738 
OBS: 56222.2700 DES-r deep1  1.65968e+02  3.1721e+00 4096  1.000 33.690  1.92 1.352e+02  21.9209 
OBS: 56222.2810 DES-i deep1  1.62893e+02  8.8346e+00 4096  1.000 33.340  2.35 2.286e+02  21.9950 
OBS: 56228.2270 DES-g deep1  6.40595e+01  6.4082e+00 4096  1.000 32.480  1.25 1.405e+02  23.0046 
OBS: 56228.2340 DES-r deep1  1.42746e+02  2.3157e+00 4096  1.000 34.260  1.40 2.295e+02  22.0798 
OBS: 56228.2580 DES-i deep1  1.25110e+02  4.2458e+00 4096  1.000 34.360  1.60 4.125e+02  22.2332 
OBS: 56229.2150 DES-g deep1  5.94093e+01  6.1414e+00 4096  1.000 32.840  1.43 1.644e+02  23.0246 
