SURVEY:   DES
SNID:             34659  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.242 0.161 0.118 0.090  # MW mag-XT per band
PEAKMJD:  56177.473     # estimate for LC fit codes
MJD_TRIGGER:       56180.211  
MJD_DETECT_FIRST:  56179.359  
MJD_DETECT_LAST:   56248.250  

REDSHIFT_HELIO:   0.140409 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.139712 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.14004 
SIM_REDSHIFT_CMB:    0.13934  
SIM_REDSHIFT_HOST:   0.14004 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            39.0893   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0664   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.051     # coh model scatter 
SIM_PEAKMJD:         56178.113    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.9671e-04 
SIM_SALT2x1:         0.0103 
SIM_SALT2c:          0.0555 
SIM_SALT2mB:         19.9004 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9700  # spectro-search efficiency 
SIM_TRESTMIN:        1.09  # days 
SIM_TRESTMAX:        61.56  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  20.292 20.180 20.403 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.3590 DES-g shallow7  7.53208e+02  5.5706e+00 4096  1.000 32.220  1.94 5.086e+01  20.3153 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56180.2109
OBS: 56180.2110 DES-r shallow7  8.73053e+02  1.0117e+01 4096  1.000 31.110  2.25 2.760e+01  20.1728 
OBS: 56180.2190 DES-i shallow7  6.68339e+02  7.1976e+00 4096  1.000 32.270  1.96 7.619e+01  20.4159 
OBS: 56188.2380 DES-g shallow7  4.99272e+02  4.3225e+00 4096  1.000 32.310  2.24 3.638e+01  20.7879 
OBS: 56189.1950 DES-r shallow7  6.22754e+02  6.0469e+01 4096  1.000 29.110  2.51 2.760e+01  20.4850 
OBS: 56189.2030 DES-i shallow7  4.81357e+02  1.4168e+01 4096  1.000 31.960  3.10 7.619e+01  20.8186 
OBS: 56200.2190 DES-g shallow7  1.67480e+02  1.2788e+01 4096  1.000 32.370  2.31 1.374e+02  21.9456 
OBS: 56202.2230 DES-r shallow7  3.59089e+02  1.3879e+01 4096  1.000 31.070  1.52 6.581e+01  21.1053 
OBS: 56202.2380 DES-i shallow7  3.93166e+02  1.4347e+01 4096  1.000 32.280  1.61 2.026e+02  21.0631 
OBS: 56214.1640 DES-g shallow7  6.34960e+01  2.5562e+00 4096  1.000 32.370  1.60 3.638e+01  22.9915 
OBS: 56215.2380 DES-r shallow7  1.96695e+02  6.4085e+00 4096  1.000 31.040  1.45 2.760e+01  21.7170 
OBS: 56216.1640 DES-i shallow7  2.57740e+02  5.8539e+00 4096  1.000 32.260  1.64 7.619e+01  21.5117 
OBS: 56221.1130 DES-g shallow7  5.17553e+01  4.6212e+00 4096  1.000 32.210  2.43 3.916e+01  23.2631 
OBS: 56221.1950 DES-r shallow7  2.23812e+02  4.7777e+01    0  1.000 29.110  2.00 2.760e+01  21.9899 
OBS: 56221.3120 DES-i shallow7  2.00769e+02  8.6377e+00 4096  1.000 31.940  1.85 7.619e+01  21.7875 
OBS: 56228.1990 DES-g shallow7  5.62593e+01  6.9638e+00 4096  1.000 32.330  1.32 1.260e+02  23.4089 
OBS: 56228.2150 DES-r shallow7  1.26759e+02  1.5642e+01 4096  1.000 30.880  1.65 5.860e+01  22.2125 
OBS: 56228.2230 DES-i shallow7  1.41236e+02  2.9218e+01    0  1.000 31.290  1.52 1.772e+02  22.1216 
OBS: 56230.1560 DES-g shallow7  3.95173e+01  9.8556e+00    0  1.000 32.290  1.33 1.716e+02  23.4466 
OBS: 56230.1720 DES-r shallow7  1.07909e+02  1.8943e+01    0  1.000 30.930  1.46 8.506e+01  22.2601 
OBS: 56230.1880 DES-i shallow7  8.25170e+01  2.2931e+01 4096  1.000 32.110  1.70 2.652e+02  22.2035 
OBS: 56235.1600 DES-g shallow7  4.37922e+01  5.3716e+00 4096  1.000 32.350  1.86 6.962e+01  23.5338 
OBS: 56235.1720 DES-r shallow7  9.81552e+01  1.1828e+01 4096  1.000 30.940  2.14 3.511e+01  22.3537 
OBS: 56235.1880 DES-i shallow7  1.32934e+02  1.0379e+01 4096  1.000 32.190  2.17 1.001e+02  22.3780 
OBS: 56237.1990 DES-g shallow7  3.43940e+01  4.9908e+00 4096  1.000 32.120  1.94 4.964e+01  23.5693 
OBS: 56237.2070 DES-r shallow7  1.01477e+02  9.9846e+00    0  1.000 30.860  1.95 2.950e+01  22.3904 
OBS: 56237.2150 DES-i shallow7  1.06199e+02  1.2717e+01 4096  1.000 31.610  1.90 8.195e+01  22.4492 
OBS: 56243.1950 DES-g shallow7  3.60337e+01  2.3195e+00 4096  1.000 32.320  1.41 3.638e+01  23.6737 
OBS: 56243.2030 DES-r shallow7  1.00946e+02  6.9464e+00 4096  1.000 30.990  1.59 2.760e+01  22.4984 
OBS: 56243.2110 DES-i shallow7  8.65224e+01  5.8845e+00 4096  1.000 32.080  1.44 7.619e+01  22.6600 
OBS: 56245.1910 DES-g shallow7  3.24830e+01  6.5924e+00 4096  1.000 31.200  1.47 3.638e+01  23.7084 
OBS: 56245.1990 DES-r shallow7  9.45599e+01  6.4139e+00 4096  1.000 31.010  1.49 2.760e+01  22.5343 
OBS: 56245.2030 DES-i shallow7  7.56229e+01  5.8217e+00 4096  1.000 32.140  1.51 7.619e+01  22.7300 
OBS: 56248.2300 DES-g shallow7  2.69631e+01  2.4957e+00 4096  1.000 32.320  1.54 3.638e+01  23.7613 
OBS: 56248.2380 DES-r shallow7  8.71346e+01  7.5816e+00 4096  1.000 30.810  1.48 2.760e+01  22.5891 
OBS: 56248.2500 DES-i shallow7  6.54618e+01  7.2545e+00 4096  1.000 31.910  1.53 7.619e+01  22.8371 
END_PHOTOMETRY: 

