SURVEY:   DES
SNID:             36549  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.323 0.215 0.157 0.120  # MW mag-XT per band
PEAKMJD:  56279.395     # estimate for LC fit codes
MJD_TRIGGER:       56268.215  
MJD_DETECT_FIRST:  56268.195  
MJD_DETECT_LAST:   56351.004  

REDSHIFT_HELIO:   0.186741 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.186016 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.18758 
SIM_REDSHIFT_CMB:    0.18686  
SIM_REDSHIFT_HOST:   0.18758 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            39.7887   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0884   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.094     # coh model scatter 
SIM_PEAKMJD:         56279.949    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.3207e-04 
SIM_SALT2x1:         0.2307 
SIM_SALT2c:          -0.0183 
SIM_SALT2mB:         20.3330 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9474  # spectro-search efficiency 
SIM_TRESTMIN:        -16.65  # days 
SIM_TRESTMAX:        59.87  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  20.641 20.545 20.726 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 30 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56260.1880 DES-g shallow7  4.97399e+00  8.0163e+00    0  1.000 32.420  1.41 1.486e+02  25.2314 
OBS: 56260.1950 DES-r shallow7  2.69695e+01  1.4160e+01    0  1.000 31.000  1.44 6.877e+01  24.4367 
OBS: 56260.2030 DES-i shallow7  2.49821e+01  1.3809e+01    0  1.000 32.210  1.42 2.096e+02  24.4063 
OBS: 56268.1950 DES-g shallow7  2.47305e+02  3.1447e+00 4096  1.000 32.340  1.71 3.638e+01  21.4816 
OBS: 56268.1990 DES-r shallow7  2.72763e+02  8.1823e+00 4096  1.000 30.910  1.65 2.760e+01  21.4591 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56268.2148
OBS: 56268.2150 DES-i shallow7  2.60400e+02  6.6506e+00 4096  1.000 32.130  1.65 7.680e+01  21.4345 
OBS: 56278.2230 DES-g shallow7  5.49744e+02  3.4220e+00 4096  1.000 32.380  1.58 3.638e+01  20.6289 
OBS: 56279.1800 DES-r shallow7  5.96122e+02  8.5560e+00 4096  1.000 30.910  1.53 2.760e+01  20.5529 
OBS: 56279.1990 DES-i shallow7  5.00564e+02  8.1416e+00 4096  1.000 32.180  2.11 7.619e+01  20.7322 
OBS: 56288.1990 DES-g shallow7  4.07354e+02  9.1756e+00 4096  1.000 32.360  1.72 1.282e+02  21.0000 
OBS: 56288.2150 DES-r shallow7  5.03228e+02  1.8326e+01 4096  1.000 31.010  2.16 5.800e+01  20.6923 
OBS: 56289.0510 DES-i shallow7  3.85790e+02  1.8021e+01 4096  1.000 32.570  3.27 1.646e+02  20.9476 
OBS: 56296.0780 DES-g shallow7  2.12513e+02  2.4443e+00 4096  1.000 32.300  1.15 3.638e+01  21.6860 
OBS: 56296.0900 DES-r shallow7  3.57024e+02  6.9157e+00 4096  1.000 30.900  1.25 2.760e+01  21.0991 
OBS: 56298.0900 DES-i shallow7  2.77416e+02  7.7946e+00 4096  1.000 32.120  1.95 7.619e+01  21.3926 
OBS: 56306.0550 DES-g shallow7  8.29947e+01  2.7187e+00 4096  1.000 32.330  1.62 3.638e+01  22.6773 
OBS: 56306.0620 DES-r shallow7  2.41037e+02  7.5994e+00 4096  1.000 30.930  1.56 2.760e+01  21.5376 
OBS: 56308.1020 DES-i shallow7  2.48547e+02  5.5201e+00 4096  1.000 32.240  1.51 7.619e+01  21.5035 
OBS: 56317.1250 DES-g shallow7  4.94326e+01  7.4923e+00 4096  1.000 32.310  1.79 9.809e+01  23.4313 
OBS: 56318.0430 DES-r shallow7  1.57758e+02  2.0333e+01 4096  1.000 30.990  3.32 4.148e+01  22.0842 
OBS: 56319.0700 DES-i shallow7  1.76060e+02  8.0829e+00 4096  1.000 32.170  1.48 1.111e+02  21.9034 
OBS: 56326.0900 DES-g shallow7  2.91546e+01  2.4709e+00 4096  1.000 32.270  1.45 3.638e+01  23.7617 
OBS: 56326.1020 DES-r shallow7  1.14921e+02  7.6096e+00 4096  1.000 30.950  1.68 2.760e+01  22.4498 
OBS: 56332.0860 DES-i shallow7  1.10789e+02  7.0279e+00 4096  1.000 32.190  1.91 7.619e+01  22.5198 
OBS: 56334.0860 DES-g shallow7  2.14878e+01  2.8340e+00 4096  1.000 32.340  1.80 3.638e+01  23.9679 
OBS: 56335.0820 DES-r shallow7  8.03652e+01  9.1220e+00 4096  1.000 30.950  2.06 2.760e+01  22.7105 
OBS: 56341.0550 DES-i shallow7  8.26697e+01  1.3646e+01    0  1.000 32.170  2.58 1.093e+02  22.7955 
OBS: 56345.9920 DES-g shallow7  2.79608e+01  6.1469e+00    0  1.000 32.320  1.90 7.633e+01  24.2175 
OBS: 56346.0390 DES-r shallow7  6.02300e+01  9.9554e+00 4096  1.000 31.010  1.94 3.485e+01  22.8906 
OBS: 56351.0040 DES-i shallow7  5.84298e+01  8.5129e+00 4096  1.000 32.130  2.21 7.619e+01  23.0823 
END_PHOTOMETRY: 

