SURVEY:   DES
SNID:             37039  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.255 0.170 0.124 0.095  # MW mag-XT per band
PEAKMJD:  56171.562     # estimate for LC fit codes
MJD_TRIGGER:       56180.211  
MJD_DETECT_FIRST:  56179.359  
MJD_DETECT_LAST:   56245.203  

REDSHIFT_HELIO:   0.335026 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.334210 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.33513 
SIM_REDSHIFT_CMB:    0.33432  
SIM_REDSHIFT_HOST:   0.33513 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.2214   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0699   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.047     # coh model scatter 
SIM_PEAKMJD:         56172.273    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.2023e-05 
SIM_SALT2x1:         0.4484 
SIM_SALT2c:          0.0243 
SIM_SALT2mB:         21.8713 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.5025  # spectro-search efficiency 
SIM_TRESTMIN:        5.31  # days 
SIM_TRESTMAX:        65.90  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.471 21.988 21.946 22.267  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.3590 DES-g shallow7  7.95894e+01  4.7237e+00 4096  1.000 32.220  1.94 5.086e+01  22.8122 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56180.2109
OBS: 56180.2110 DES-r shallow7  1.37670e+02  8.7123e+00 4096  1.000 31.110  2.25 2.760e+01  22.1402 
OBS: 56180.2190 DES-i shallow7  1.67574e+02  6.7539e+00 4096  1.000 32.270  1.96 7.619e+01  22.0321 
OBS: 56180.2340 DES-z shallow7  1.14770e+02  7.4956e+00 4096  1.000 33.300  2.05 2.142e+02  22.3633 
OBS: 56188.2380 DES-g shallow7  3.91460e+01  3.6336e+00 4096  1.000 32.310  2.24 3.638e+01  23.4802 
OBS: 56189.1950 DES-r shallow7  1.59324e+02  5.9593e+01    0  1.000 29.110  2.51 2.760e+01  22.5523 
OBS: 56189.2030 DES-i shallow7  1.21414e+02  1.3958e+01    0  1.000 31.960  3.10 7.619e+01  22.4178 
OBS: 56189.2110 DES-z shallow7  7.43709e+01  1.6936e+01    0  1.000 32.600  2.44 2.142e+02  22.8340 
OBS: 56200.2190 DES-g shallow7  8.05076e+00  1.2718e+01    0  1.000 32.370  2.31 1.374e+02  24.5913 
OBS: 56202.2230 DES-r shallow7  5.61595e+01  1.3465e+01    0  1.000 31.070  1.52 6.581e+01  23.4094 
OBS: 56202.2380 DES-i shallow7  7.16999e+01  1.4209e+01 4096  1.000 32.280  1.61 2.026e+02  22.7618 
OBS: 56207.1560 DES-z shallow7  8.42310e+01  1.0716e+01 4096  1.000 33.300  2.94 2.142e+02  22.8813 
OBS: 56214.1640 DES-g shallow7  7.10051e+00  2.4287e+00    0  1.000 32.370  1.60 3.638e+01  25.5194 
OBS: 56215.2380 DES-r shallow7  2.15605e+01  5.8608e+00    0  1.000 31.040  1.45 2.760e+01  24.1214 
OBS: 56216.1640 DES-i shallow7  4.63318e+01  5.6242e+00 4096  1.000 32.260  1.64 7.619e+01  23.2586 
OBS: 56217.1520 DES-z shallow7  4.46659e+01  5.3482e+00 4096  1.000 33.220  1.36 2.142e+02  23.2354 
OBS: 56221.1130 DES-g shallow7  4.28044e+00  4.5536e+00    0  1.000 32.210  2.43 3.916e+01  25.7517 
OBS: 56221.1950 DES-r shallow7  6.26067e+01  4.7392e+01    0  1.000 29.110  2.00 2.760e+01  24.3694 
OBS: 56221.3120 DES-i shallow7  3.39284e+01  8.4744e+00 4096  1.000 31.940  1.85 7.619e+01  23.4759 
OBS: 56222.1050 DES-z shallow7  3.05632e+01  1.8058e+01    0  1.000 32.820  3.14 2.175e+02  23.4658 
OBS: 56228.1990 DES-g shallow7 -4.03797e+00  6.9164e+00    0  1.000 32.330  1.32 1.260e+02  25.8852 
OBS: 56228.2150 DES-r shallow7  2.36224e+01  1.5494e+01    0  1.000 30.880  1.65 5.860e+01  24.5654 
OBS: 56228.2230 DES-i shallow7  2.81750e+01  2.9159e+01    0  1.000 31.290  1.52 1.772e+02  23.7223 
OBS: 56229.1990 DES-z shallow7  2.67123e+01  8.4654e+00    0  1.000 33.170  1.50 2.946e+02  23.7777 
OBS: 56230.1560 DES-g shallow7 -2.58119e+00  9.8313e+00    0  1.000 32.290  1.33 1.716e+02  25.9349 
OBS: 56230.1720 DES-r shallow7  1.33048e+01  1.8837e+01    0  1.000 30.930  1.46 8.506e+01  24.6026 
OBS: 56230.1880 DES-i shallow7  9.73383e-01  2.2906e+01    0  1.000 32.110  1.70 2.652e+02  23.7786 
OBS: 56231.2300 DES-z shallow7  3.23796e+01  8.0709e+00    0  1.000 33.180  1.48 2.872e+02  23.8589 
OBS: 56235.1600 DES-g shallow7 -1.91146e+00  5.3246e+00    0  1.000 32.350  1.86 6.962e+01  26.0876 
OBS: 56235.1720 DES-r shallow7  2.35955e+00  1.1656e+01    0  1.000 30.940  2.14 3.511e+01  24.6671 
OBS: 56235.1880 DES-i shallow7  4.50611e+00  1.0297e+01    0  1.000 32.190  2.17 1.001e+02  23.8922 
OBS: 56236.1880 DES-z shallow7  1.94961e+01  9.3586e+00    0  1.000 33.210  2.25 2.253e+02  24.0356 
OBS: 56237.1990 DES-g shallow7  8.69105e-01  4.9430e+00    0  1.000 32.120  1.94 4.964e+01  26.1571 
OBS: 56237.2070 DES-r shallow7  1.09077e+01  9.7770e+00    0  1.000 30.860  1.95 2.950e+01  24.6827 
OBS: 56237.2150 DES-i shallow7  3.30702e+01  1.2651e+01    0  1.000 31.610  1.90 8.195e+01  23.9266 
OBS: 56238.1990 DES-z shallow7  4.26536e+01  1.0910e+01    0  1.000 32.970  2.21 2.142e+02  24.0971 
OBS: 56243.1950 DES-g shallow7  1.87846e+00  2.2309e+00    0  1.000 32.320  1.41 3.638e+01  26.3737 
OBS: 56243.2030 DES-r shallow7  2.31700e+01  6.7177e+00    0  1.000 30.990  1.59 2.760e+01  24.7210 
OBS: 56243.2110 DES-i shallow7  3.24298e+01  5.8165e+00 4096  1.000 32.080  1.44 7.619e+01  24.0201 
OBS: 56244.1880 DES-z shallow7  1.63798e+01  7.3746e+00    0  1.000 33.110  1.70 2.142e+02  24.2891 
OBS: 56245.1910 DES-g shallow7 -3.97116e+00  6.5103e+00    0  1.000 31.200  1.47 3.638e+01  26.4469 
OBS: 56245.1990 DES-r shallow7  1.02598e+01  6.1492e+00    0  1.000 31.010  1.49 2.760e+01  24.7345 
OBS: 56245.2030 DES-i shallow7  2.82547e+01  5.7647e+00 4096  1.000 32.140  1.51 7.619e+01  24.0524 
