SURVEY:   DES
SNID:             37803  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -36.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.043 0.029 0.021 0.016  # MW mag-XT per band
PEAKMJD:  56188.395     # estimate for LC fit codes
MJD_TRIGGER:       56186.172  
MJD_DETECT_FIRST:  56178.211  
MJD_DETECT_LAST:   56202.176  

REDSHIFT_HELIO:   0.771096 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.770504 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           2    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.77101 
SIM_REDSHIFT_CMB:    0.77042  
SIM_REDSHIFT_HOST:   0.77101 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            43.3869   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -36.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0118   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.103     # coh model scatter 
SIM_PEAKMJD:         56188.926    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.6540e-06 
SIM_SALT2x1:         -0.4566 
SIM_SALT2c:          -0.0376 
SIM_SALT2mB:         23.9654 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0211  # spectro-search efficiency 
SIM_TRESTMIN:        -6.07  # days 
SIM_TRESTMAX:        69.57  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 23.992 23.589 23.787  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56178.1950 DES-r shallow1  3.70646e+01  2.1825e+01    0  1.000 31.000  5.26 2.760e+01  24.1296 
OBS: 56178.2030 DES-i shallow1  3.40080e+01  1.2028e+01    0  1.000 32.240  3.47 7.619e+01  23.8964 
OBS: 56178.2110 DES-z shallow1  1.22976e+01  1.3143e+01 4096  1.000 33.400  3.96 2.142e+02  24.1008 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56186.1719
OBS: 56186.1720 DES-r shallow1  2.10404e+01  6.9828e+00 4096  1.000 30.960  1.61 2.760e+01  23.9450 
OBS: 56186.1880 DES-i shallow1  4.46622e+01  6.0654e+00 4096  1.000 32.190  1.66 7.619e+01  23.5926 
OBS: 56186.1950 DES-z shallow1  3.40604e+01  6.5500e+00    0  1.000 33.240  1.70 2.142e+02  23.8173 
OBS: 56189.2810 DES-r shallow1  2.28611e+01  3.0015e+01    0  1.000 29.770  2.33 2.760e+01  24.0012 
OBS: 56189.2890 DES-i shallow1  6.21021e+01  1.0593e+01    0  1.000 31.800  2.03 7.619e+01  23.5913 
OBS: 56189.2970 DES-z shallow1  5.52729e+01  1.5472e+01    0  1.000 32.530  2.09 2.142e+02  23.7851 
OBS: 56201.2340 DES-r shallow1  1.17918e+01  1.4196e+01    0  1.000 31.050  2.23 4.611e+01  24.5530 
OBS: 56202.1600 DES-i shallow1  2.71065e+01  9.4623e+00    0  1.000 32.270  1.69 1.272e+02  23.9828 
OBS: 56202.1760 DES-z shallow1  2.68077e+01  8.3067e+00 4096  1.000 33.240  1.82 2.541e+02  23.9687 
OBS: 56215.1640 DES-r shallow1  1.64447e+01  6.3489e+00    0  1.000 31.000  1.52 2.760e+01  25.5644 
OBS: 56215.1800 DES-i shallow1  6.96887e+00  5.2072e+00    0  1.000 32.260  1.53 7.619e+01  24.7855 
OBS: 56215.1880 DES-z shallow1  2.70024e+01  6.1642e+00    0  1.000 33.260  1.63 2.142e+02  24.4354 
OBS: 56221.1170 DES-r shallow1  3.68500e+00  1.2360e+01    0  1.000 30.780  2.41 2.792e+01  26.0365 
OBS: 56221.1250 DES-i shallow1 -7.60916e+00  1.3231e+01    0  1.000 31.720  2.34 7.712e+01  25.1704 
OBS: 56221.1330 DES-z shallow1 -1.57504e+01  1.4178e+01    0  1.000 32.660  2.14 2.163e+02  24.6542 
OBS: 56228.1130 DES-r shallow1  1.41083e+01  1.1262e+01    0  1.000 30.760  1.43 4.348e+01  26.5292 
OBS: 56228.1210 DES-i shallow1 -3.14243e+01  1.3008e+01    0  1.000 31.900  1.67 1.261e+02  25.5837 
OBS: 56228.1290 DES-z shallow1  1.53505e+01  1.1009e+01    0  1.000 32.920  1.78 2.566e+02  24.9100 
OBS: 56230.0700 DES-r shallow1 -1.36191e+01  1.2050e+01    0  1.000 30.980  1.60 5.143e+01  26.6459 
OBS: 56230.0860 DES-i shallow1  1.56044e+01  1.0493e+01    0  1.000 32.160  1.43 1.509e+02  25.6919 
OBS: 56230.1020 DES-z shallow1  5.55790e+00  9.4121e+00    0  1.000 33.180  1.80 2.757e+02  24.9839 
OBS: 56235.0740 DES-r shallow1  3.04317e+00  1.7297e+01    0  1.000 30.670  3.08 2.760e+01  26.8887 
OBS: 56235.0900 DES-i shallow1 -3.32804e+01  2.0361e+01    0  1.000 31.670  3.48 7.619e+01  25.9508 
OBS: 56235.1050 DES-z shallow1  1.61128e+01  1.5055e+01    0  1.000 33.170  3.67 2.142e+02  25.1731 
OBS: 56237.1250 DES-r shallow1  1.17905e+01  1.0300e+01    0  1.000 30.840  2.14 2.760e+01  26.9694 
