SURVEY:   DES
SNID:             38910  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       0.500000  # deg (avg among obs)
DEC:      -43.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0111 +- 0.0018  # MW E(B-V) 
MWXT_MAG:  0.024 0.016 0.012 0.009  # MW mag-XT per band
PEAKMJD:  56243.973     # estimate for LC fit codes
MJD_TRIGGER:       56228.023  
MJD_DETECT_FIRST:  56228.012  
MJD_DETECT_LAST:   56320.051  

REDSHIFT_HELIO:   0.272439 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.271457 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           9    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.27177 
SIM_REDSHIFT_CMB:    0.27078  
SIM_REDSHIFT_HOST:   0.27177 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.6952   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              0.500000     # deg  
SIM_DEC:             -43.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0067   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.065     # coh model scatter 
SIM_PEAKMJD:         56244.312    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.0123e-04 
SIM_SALT2x1:         1.6975 
SIM_SALT2c:          -0.1471 
SIM_SALT2mB:         20.6217 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9075  # spectro-search efficiency 
SIM_TRESTMIN:        -17.56  # days 
SIM_TRESTMAX:        60.37  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  20.734 20.778 20.962 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 44 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56222.0040 DES-g shallow8  1.85247e+01  4.5908e+00    0  1.000 32.350  2.20 5.002e+01  24.9322 
OBS: 56222.0160 DES-r shallow8  4.45813e+01  1.1246e+01    0  1.000 30.980  2.44 3.022e+01  24.7165 
OBS: 56222.0270 DES-i shallow8  6.04505e+00  1.0034e+01    0  1.000 32.170  2.45 8.463e+01  24.6598 
OBS: 56228.0120 DES-g shallow8  1.46764e+02  7.1969e+00 4096  1.000 32.270  1.53 1.050e+02  21.9839 
OBS: 56228.0160 DES-r shallow8  1.53498e+02  1.2823e+01 4096  1.000 30.670  1.39 4.593e+01  22.0086 
OBS: 56228.0230 DES-i shallow8  1.36920e+02  1.3589e+01 4096  1.000 31.690  1.34 1.342e+02  22.2314 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56228.0234
OBS: 56229.0160 DES-g shallow8  2.29093e+02  8.1387e+00 4096  1.000 32.040  1.31 1.112e+02  21.7372 
OBS: 56229.0230 DES-r shallow8  1.98430e+02  1.4131e+01 4096  1.000 30.500  1.29 4.635e+01  21.7798 
OBS: 56230.1910 DES-i shallow8  2.07287e+02  1.0009e+01 4096  1.000 32.120  1.57 1.245e+02  21.8375 
OBS: 56231.2420 DES-g shallow8  3.02890e+02  5.6469e+00 4096  1.000 32.310  1.41 8.875e+01  21.3511 
OBS: 56231.2580 DES-r shallow8  2.78132e+02  9.9188e+00 4096  1.000 30.980  1.68 3.733e+01  21.4228 
OBS: 56235.1950 DES-i shallow8  3.10556e+02  7.9365e+00 4096  1.000 32.230  2.11 7.946e+01  21.2863 
OBS: 56236.1950 DES-g shallow8  4.60318e+02  4.0947e+00 4096  1.000 32.410  1.93 4.505e+01  20.8303 
OBS: 56236.1990 DES-r shallow8  4.31565e+02  9.8356e+00 4096  1.000 31.010  2.13 2.826e+01  20.9483 
OBS: 56237.2190 DES-i shallow8  3.41073e+02  1.1150e+01 4096  1.000 32.040  2.59 7.717e+01  21.1562 
OBS: 56238.2070 DES-g shallow8  4.97801e+02  4.2602e+00 4096  1.000 32.230  2.00 3.638e+01  20.7358 
OBS: 56238.2150 DES-r shallow8  4.38894e+02  1.5286e+01 4096  1.000 30.420  2.02 2.760e+01  20.8559 
OBS: 56243.2230 DES-i shallow8  3.91988e+02  6.8302e+00 4096  1.000 32.090  1.61 7.619e+01  20.9799 
OBS: 56244.1950 DES-g shallow8  5.15064e+02  3.4737e+00 4096  1.000 32.320  1.55 3.638e+01  20.7315 
OBS: 56244.2030 DES-r shallow8  4.91707e+02  8.6329e+00 4096  1.000 30.990  1.77 2.760e+01  20.7786 
OBS: 56245.2110 DES-i shallow8  4.12832e+02  7.9566e+00 4096  1.000 32.060  1.85 7.619e+01  20.9524 
OBS: 56246.2030 DES-g shallow8  4.91006e+02  3.4552e+00 4096  1.000 32.320  1.57 3.638e+01  20.7877 
OBS: 56246.2110 DES-r shallow8  4.75567e+02  9.5505e+00 4096  1.000 30.870  1.79 2.760e+01  20.7829 
OBS: 56253.1600 DES-i shallow8  3.67754e+02  8.3475e+00 4096  1.000 32.170  1.65 1.010e+02  21.0749 
OBS: 56258.1680 DES-g shallow8  2.83685e+02  6.9635e+00 4096  1.000 32.340  1.79 9.089e+01  21.3572 
OBS: 56258.1760 DES-r shallow8  3.85715e+02  1.2194e+01 4096  1.000 30.990  2.05 3.824e+01  21.0798 
OBS: 56261.0350 DES-i shallow8  2.52241e+02  6.5212e+00 4096  1.000 32.120  1.37 9.000e+01  21.4824 
OBS: 56267.1560 DES-g shallow8  1.32993e+02  3.1675e+00 4096  1.000 32.280  1.77 3.638e+01  22.1940 
