SURVEY:   DES
SNID:             39583  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -36.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.051 0.034 0.025 0.019  # MW mag-XT per band
PEAKMJD:  56281.281     # estimate for LC fit codes
MJD_TRIGGER:       56274.176  
MJD_DETECT_FIRST:  56274.160  
MJD_DETECT_LAST:   56340.066  

REDSHIFT_HELIO:   0.343711 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.343262 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           2    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.34362 
SIM_REDSHIFT_CMB:    0.34317  
SIM_REDSHIFT_HOST:   0.34362 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.2868   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -36.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0139   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.052     # coh model scatter 
SIM_PEAKMJD:         56281.992    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.5061e-05 
SIM_SALT2x1:         0.6883 
SIM_SALT2c:          0.0975 
SIM_SALT2mB:         22.1375 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.5271  # spectro-search efficiency 
SIM_TRESTMIN:        -17.64  # days 
SIM_TRESTMAX:        49.20  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.457 22.009 21.905 22.210  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56258.3010 DES-i shallow1  6.99946e+00  1.0973e+01    0  1.000 32.170  1.67 1.364e+02  26.3038 
OBS: 56258.3160 DES-z shallow1  2.06148e+01  8.7811e+00    0  1.000 33.180  1.76 2.629e+02  26.3875 
OBS: 56261.0510 DES-g shallow1  3.45055e+00  5.4594e+00    0  1.000 32.180  1.16 9.829e+01  25.9569 
OBS: 56261.0660 DES-r shallow1  3.32427e+01  1.1807e+01    0  1.000 30.470  1.19 4.163e+01  24.9300 
OBS: 56261.2150 DES-i shallow1  1.60377e+01  6.3297e+00    0  1.000 32.350  1.31 1.180e+02  24.6924 
OBS: 56261.2300 DES-z shallow1  2.40887e+00  5.8368e+00    0  1.000 33.250  1.29 2.544e+02  24.7479 
OBS: 56274.1600 DES-g shallow1  1.02033e+02  2.6242e+00 4096  1.000 32.320  1.51 3.638e+01  22.5080 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56274.1758
OBS: 56274.1760 DES-r shallow1  1.31783e+02  6.7758e+00 4096  1.000 30.960  1.48 2.760e+01  22.2034 
OBS: 56274.1800 DES-i shallow1  1.37106e+02  5.9864e+00 4096  1.000 32.080  1.45 7.619e+01  22.1492 
OBS: 56274.1880 DES-z shallow1  1.27334e+02  6.9340e+00 4096  1.000 33.190  1.71 2.142e+02  22.2975 
OBS: 56283.1560 DES-g shallow1  1.03470e+02  3.1354e+00 4096  1.000 32.320  1.11 6.238e+01  22.4946 
OBS: 56283.1680 DES-r shallow1  1.63957e+02  6.1042e+00 4096  1.000 31.030  1.17 3.314e+01  22.0146 
OBS: 56283.1840 DES-i shallow1  1.76133e+02  5.5775e+00 4096  1.000 32.170  1.18 9.401e+01  21.8974 
OBS: 56283.1950 DES-z shallow1  1.42887e+02  6.0027e+00 4096  1.000 33.190  1.39 2.274e+02  22.2104 
OBS: 56288.2420 DES-g shallow1  7.57429e+01  7.5315e+00 4096  1.000 32.420  1.91 1.021e+02  22.7349 
OBS: 56288.2580 DES-r shallow1  1.52594e+02  1.3840e+01 4096  1.000 30.950  2.09 4.291e+01  22.1082 
OBS: 56288.2660 DES-i shallow1  1.67190e+02  1.3945e+01 4096  1.000 32.120  2.22 1.237e+02  21.9435 
OBS: 56288.2730 DES-z shallow1  1.17826e+02  1.1357e+01 4096  1.000 33.220  2.39 2.594e+02  22.2438 
OBS: 56289.2730 DES-g shallow1  7.09364e+01  9.1890e+00 4096  1.000 32.380  2.13 1.080e+02  22.7938 
OBS: 56292.1910 DES-r shallow1  1.23062e+02  8.6082e+00 4096  1.000 30.830  1.48 3.234e+01  22.2385 
OBS: 56292.1990 DES-i shallow1  1.53850e+02  6.5312e+00 4096  1.000 32.070  1.33 9.014e+01  22.0620 
OBS: 56292.2150 DES-z shallow1  1.11688e+02  6.0902e+00 4096  1.000 33.370  1.61 2.360e+02  22.3955 
OBS: 56292.2660 DES-g shallow1  4.90003e+01  4.9975e+00 4096  1.000 32.450  1.91 6.904e+01  22.9783 
OBS: 56304.0430 DES-g shallow1  2.53800e+01  1.8977e+00 4096  1.000 32.310  1.14 3.638e+01  24.0032 
OBS: 56304.0510 DES-r shallow1  7.98945e+01  5.5163e+00 4096  1.000 30.950  1.20 2.760e+01  22.8853 
OBS: 56304.0550 DES-i shallow1  9.61774e+01  4.2987e+00 4096  1.000 32.110  1.06 7.619e+01  22.5345 
OBS: 56304.0700 DES-z shallow1  7.41419e+01  4.4739e+00    0  1.000 33.150  1.06 2.142e+02  22.8690 
OBS: 56312.0470 DES-g shallow1  1.16884e+01  5.2051e+00    0  1.000 32.280  2.04 5.776e+01  24.6828 
