SURVEY:   DES
SNID:             40026  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -24.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0202 +- 0.0032  # MW E(B-V) 
MWXT_MAG:  0.048 0.032 0.023 0.018  # MW mag-XT per band
PEAKMJD:  56270.320     # estimate for LC fit codes
MJD_TRIGGER:       56287.176  
MJD_DETECT_FIRST:  56261.273  
MJD_DETECT_LAST:   56305.043  

REDSHIFT_HELIO:   0.843103 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.842335 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           5    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.84197 
SIM_REDSHIFT_CMB:    0.84120  
SIM_REDSHIFT_HOST:   0.84197 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            43.6207   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -24.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0130   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.082     # coh model scatter 
SIM_PEAKMJD:         56269.789    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.5351e-06 
SIM_SALT2x1:         1.4194 
SIM_SALT2c:          -0.0198 
SIM_SALT2mB:         23.9935 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0273  # spectro-search efficiency 
SIM_TRESTMIN:        -17.23  # days 
SIM_TRESTMAX:        44.13  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 24.232 23.527 23.695  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56238.0740 DES-r shallow4  1.29919e+01  1.0112e+01    0  1.000 30.980  2.39 2.760e+01  30.3355 
OBS: 56238.0940 DES-i shallow4  4.89404e+00  7.5721e+00    0  1.000 32.170  2.05 7.619e+01  27.2961 
OBS: 56238.1090 DES-z shallow4 -1.35373e+01  9.3354e+00    0  1.000 33.200  2.34 2.142e+02  27.4308 
OBS: 56244.0700 DES-r shallow4 -2.06265e+01  9.9233e+00    0  1.000 30.970  2.33 2.760e+01  26.1886 
OBS: 56244.0820 DES-i shallow4  2.19806e+01  7.9531e+00    0  1.000 32.150  2.11 7.619e+01  25.2728 
OBS: 56244.0980 DES-z shallow4  2.85625e+00  8.6971e+00    0  1.000 33.180  2.14 2.142e+02  25.3792 
OBS: 56246.0820 DES-r shallow4 -2.99768e+00  7.0428e+00    0  1.000 31.000  1.70 2.760e+01  25.5975 
OBS: 56246.0980 DES-i shallow4  2.44583e+01  7.1641e+00    0  1.000 32.080  1.78 7.619e+01  24.8578 
OBS: 56246.1090 DES-z shallow4  1.52071e+01  1.0926e+01    0  1.000 32.870  2.02 2.142e+02  24.9602 
OBS: 56258.0350 DES-r shallow4  1.04714e+02  3.0866e+01    0  1.000 30.730  3.13 5.341e+01  24.2420 
OBS: 56258.0430 DES-i shallow4  6.56061e+01  2.6357e+01    0  1.000 32.180  3.47 1.592e+02  23.7112 
OBS: 56258.0510 DES-z shallow4  3.50142e+00  1.2177e+01    0  1.000 33.590  3.49 2.684e+02  23.8715 
OBS: 56261.2580 DES-r shallow4  2.27784e+01  8.7006e+00    0  1.000 31.040  1.37 4.533e+01  24.1468 
OBS: 56261.2660 DES-i shallow4  5.21435e+01  9.3131e+00    0  1.000 32.270  1.60 1.320e+02  23.5972 
OBS: 56261.2730 DES-z shallow4  2.82935e+01  6.7056e+00 4096  1.000 33.320  1.55 2.591e+02  23.7681 
OBS: 56275.1720 DES-r shallow4  1.03883e+01  6.0692e+00    0  1.000 30.980  1.43 2.760e+01  24.4241 
OBS: 56275.1910 DES-i shallow4  3.42997e+01  6.9068e+00    0  1.000 32.220  1.95 7.619e+01  23.5882 
OBS: 56275.2030 DES-z shallow4  4.59588e+01  7.5426e+00    0  1.000 33.290  2.05 2.142e+02  23.7267 
OBS: 56287.1600 DES-r shallow4  9.35041e+00  1.1182e+01    0  1.000 30.940  1.56 4.693e+01  24.9891 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56287.1758
OBS: 56287.1760 DES-i shallow4  2.01206e+01  8.5837e+00 4096  1.000 32.180  1.30 1.381e+02  23.9101 
OBS: 56287.1910 DES-z shallow4  3.62077e+01  8.1998e+00    0  1.000 33.160  1.65 2.569e+02  23.9468 
OBS: 56292.0350 DES-r shallow4  1.54044e+01  5.8448e+00    0  1.000 30.930  1.31 2.760e+01  25.2768 
OBS: 56292.0430 DES-i shallow4  1.61965e+01  4.9599e+00 4096  1.000 32.180  1.35 7.619e+01  24.1244 
OBS: 56292.0510 DES-z shallow4  1.57579e+01  5.7533e+00    0  1.000 33.020  1.22 2.142e+02  24.0852 
OBS: 56304.1090 DES-r shallow4 -2.75863e+00  5.8955e+00    0  1.000 30.990  1.41 2.760e+01  26.0442 
OBS: 56304.1130 DES-i shallow4  1.16431e+01  5.3313e+00    0  1.000 32.100  1.35 7.619e+01  24.8391 
OBS: 56305.0430 DES-z shallow4  1.43448e+01  5.4380e+00 4096  1.000 33.150  1.30 2.142e+02  24.4847 
OBS: 56313.0550 DES-r shallow4  2.04947e+01  9.8099e+00    0  1.000 30.980  1.80 3.640e+01  26.7273 
