SURVEY:   DES
SNID:             40275  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -30.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0139 +- 0.0022  # MW E(B-V) 
MWXT_MAG:  0.064 0.043 0.031 0.024  # MW mag-XT per band
PEAKMJD:  56186.367     # estimate for LC fit codes
MJD_TRIGGER:       56179.203  
MJD_DETECT_FIRST:  56179.188  
MJD_DETECT_LAST:   56254.211  

REDSHIFT_HELIO:   0.209413 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.208957 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           4    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.20943 
SIM_REDSHIFT_CMB:    0.20897  
SIM_REDSHIFT_HOST:   0.20943 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.0587   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -30.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0175   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.028     # coh model scatter 
SIM_PEAKMJD:         56185.484    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         8.6660e-05 
SIM_SALT2x1:         -0.3480 
SIM_SALT2c:          0.0150 
SIM_SALT2mB:         20.7905 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8957  # spectro-search efficiency 
SIM_TRESTMIN:        -5.21  # days 
SIM_TRESTMAX:        68.41  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.008 20.877 21.022 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 43 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.1880 DES-g shallow3  3.41407e+02  3.9346e+00 4096  1.000 32.460  2.49 3.638e+01  21.1509 
OBS: 56179.1950 DES-r shallow3  3.68172e+02  9.5083e+00 4096  1.000 31.120  2.37 2.760e+01  21.1088 
OBS: 56179.2030 DES-i shallow3  3.27218e+02  7.7725e+00 4096  1.000 32.270  2.23 7.619e+01  21.1813 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56179.2031
OBS: 56187.1560 DES-g shallow3  3.74210e+02  3.2253e+00 4096  1.000 32.380  1.67 3.638e+01  21.0514 
OBS: 56187.1720 DES-r shallow3  4.39190e+02  8.1993e+00 4096  1.000 30.960  1.63 2.760e+01  20.8744 
OBS: 56187.1880 DES-i shallow3  4.05030e+02  6.5162e+00 4096  1.000 32.190  1.68 7.619e+01  21.0151 
OBS: 56194.1450 DES-g shallow3  2.58149e+02  4.1308e+00 4096  1.000 32.280  1.82 4.612e+01  21.4631 
OBS: 56194.1560 DES-r shallow3  4.07373e+02  9.6049e+00 4096  1.000 30.780  1.63 2.850e+01  21.0517 
OBS: 56194.1720 DES-i shallow3  3.17468e+02  8.5865e+00 4096  1.000 31.850  1.61 7.874e+01  21.2227 
OBS: 56208.1910 DES-g shallow3  6.43380e+01  2.6118e+00 4096  1.000 32.390  1.67 3.638e+01  22.9495 
OBS: 56208.1990 DES-r shallow3  1.90239e+02  6.9641e+00 4096  1.000 31.060  1.64 2.760e+01  21.7701 
OBS: 56208.2070 DES-i shallow3  1.98390e+02  6.5206e+00 4096  1.000 32.230  1.81 7.619e+01  21.7463 
OBS: 56217.2110 DES-g shallow3  3.49874e+01  1.8516e+00 4096  1.000 32.320  1.10 3.638e+01  23.6782 
OBS: 56217.2300 DES-r shallow3  1.34933e+02  5.7159e+00 4096  1.000 31.030  1.30 2.760e+01  22.1924 
OBS: 56218.1520 DES-i shallow3  1.65856e+02  4.5272e+00 4096  1.000 32.190  1.18 7.619e+01  21.9854 
OBS: 56221.3550 DES-g shallow3  2.67809e+01  4.3307e+00 4096  1.000 31.900  1.84 3.638e+01  23.9164 
OBS: 56222.0740 DES-r shallow3  1.51258e+02  2.0045e+01    0  1.000 30.720  3.63 2.822e+01  22.4419 
OBS: 56222.0900 DES-i shallow3  1.51059e+02  1.2368e+01 4096  1.000 32.050  2.91 7.798e+01  22.1868 
OBS: 56228.1880 DES-g shallow3  1.92388e+01  5.6841e+00    0  1.000 32.220  1.17 1.050e+02  24.1776 
OBS: 56229.0470 DES-r shallow3  8.81898e+01  4.8640e+01    0  1.000 29.580  1.76 5.185e+01  22.7825 
OBS: 56229.0590 DES-i shallow3  1.17390e+02  1.8555e+01    0  1.000 31.950  2.05 1.531e+02  22.5855 
OBS: 56230.1450 DES-g shallow3  2.59609e+01  6.6727e+00    0  1.000 32.230  1.13 1.290e+02  24.2292 
OBS: 56231.0700 DES-r shallow3  6.53643e+01  1.2060e+01    0  1.000 30.980  1.62 5.033e+01  22.8582 
OBS: 56231.0860 DES-i shallow3  8.57537e+01  1.0430e+01 4096  1.000 32.160  1.44 1.482e+02  22.6736 
OBS: 56235.1450 DES-g shallow3  1.89605e+01  5.0590e+00    0  1.000 32.290  1.82 6.355e+01  24.3368 
OBS: 56236.0270 DES-r shallow3  5.15608e+01  1.6870e+01    0  1.000 30.670  2.99 2.760e+01  23.0098 
OBS: 56236.0350 DES-i shallow3  8.45697e+01  2.0546e+01    0  1.000 31.450  2.86 7.619e+01  22.8519 
OBS: 56237.1880 DES-g shallow3  1.70881e+01  3.8742e+00    0  1.000 31.860  1.59 3.638e+01  24.3890 
