SURVEY:   DES
SNID:             41861  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -27.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0097 +- 0.0015  # MW E(B-V) 
MWXT_MAG:  0.039 0.026 0.019 0.014  # MW mag-XT per band
PEAKMJD:  56243.215     # estimate for LC fit codes
MJD_TRIGGER:       56228.258  
MJD_DETECT_FIRST:  56228.234  
MJD_DETECT_LAST:   56333.055  

REDSHIFT_HELIO:   0.365538 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.364995 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           0    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.36555 
SIM_REDSHIFT_CMB:    0.36501  
SIM_REDSHIFT_HOST:   0.36555 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.4431   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -27.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0106   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.022     # coh model scatter 
SIM_PEAKMJD:         56242.805    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.5260e-05 
SIM_SALT2x1:         -0.9464 
SIM_SALT2c:          -0.0255 
SIM_SALT2mB:         22.1289 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.3964  # spectro-search efficiency 
SIM_TRESTMIN:        -15.82  # days 
SIM_TRESTMAX:        68.34  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.525 22.067 22.139 22.332  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 101 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56221.2030 DES-g deep1  1.21437e+00  2.9610e+00    0  1.000 32.730  2.12 4.763e+01 99 
OBS: 56221.2110 DES-r deep1 -1.37265e+00  2.4198e+00    0  1.000 33.840  1.73 1.352e+02  27.6378 
OBS: 56221.2270 DES-i deep1  3.00887e+00  3.1696e+00    0  1.000 34.200  1.87 2.286e+02  26.2765 
OBS: 56221.2540 DES-z deep1  1.11118e+00  2.9914e+00    0  1.000 35.360  1.94 6.059e+02  26.7895 
OBS: 56222.2540 DES-g deep1 -2.13459e+00  2.1570e+00    0  1.000 32.840  1.71 4.763e+01 99 
OBS: 56222.2700 DES-r deep1  4.31766e+00  3.0858e+00    0  1.000 33.690  1.92 1.352e+02  26.0301 
OBS: 56222.2810 DES-i deep1  4.39700e+00  8.7932e+00    0  1.000 33.340  2.35 2.286e+02  25.5256 
OBS: 56222.3120 DES-z deep1  7.82586e+00  3.0181e+00    0  1.000 35.220  1.72 6.059e+02  25.6870 
OBS: 56228.2270 DES-g deep1  2.48653e+01  6.3770e+00    0  1.000 32.480  1.25 1.405e+02  23.9491 
OBS: 56228.2340 DES-r deep1  4.22850e+01  2.2724e+00 4096  1.000 34.260  1.40 2.295e+02  23.4662 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56228.2578
OBS: 56228.2580 DES-i deep1  3.48555e+01  4.2266e+00 4096  1.000 34.360  1.60 4.125e+02  23.4950 
OBS: 56228.2850 DES-z deep1  4.51262e+01  3.3493e+00 4096  1.000 35.160  1.48 7.384e+02  23.4122 
OBS: 56229.2150 DES-g deep1  4.39300e+01  6.1321e+00    0  1.000 32.840  1.43 1.644e+02  23.6737 
OBS: 56229.2230 DES-r deep1  5.21970e+01  4.8446e+00 4096  1.000 33.550  1.35 2.650e+02  23.2530 
OBS: 56229.2340 DES-i deep1  4.83249e+01  4.3502e+00 4096  1.000 34.390  1.45 4.814e+02  23.2981 
OBS: 56229.2580 DES-z deep1  5.15413e+01  3.6255e+00 4096  1.000 35.260  1.66 7.815e+02  23.2302 
OBS: 56230.1990 DES-g deep1  2.91845e+01  6.1424e+00 4096  1.000 32.890  1.43 1.728e+02  23.4281 
OBS: 56230.2070 DES-r deep1  5.93109e+01  2.4346e+00 4096  1.000 34.420  1.43 2.789e+02  23.0597 
OBS: 56230.2300 DES-i deep1  5.82872e+01  3.6155e+00 4096  1.000 34.540  1.31 5.078e+02  23.1127 
OBS: 56230.2580 DES-z deep1  6.39049e+01  2.5877e+00 4096  1.000 35.460  1.40 7.940e+02  23.0605 
OBS: 56231.2770 DES-g deep1  5.35079e+01  4.6709e+00 4096  1.000 32.920  1.26 1.524e+02  23.1788 
OBS: 56231.2850 DES-r deep1  7.19004e+01  2.0345e+00 4096  1.000 34.430  1.33 2.513e+02  22.8614 
OBS: 56231.3010 DES-i deep1  6.54723e+01  3.3745e+00 4096  1.000 34.530  1.35 4.552e+02  22.9234 
OBS: 56231.3280 DES-z deep1  6.64966e+01  2.5425e+00 4096  1.000 35.490  1.49 7.533e+02  22.8901 
OBS: 56235.1990 DES-g deep1  8.67954e+01  3.5061e+00 4096  1.000 32.960  1.75 8.372e+01  22.6351 
OBS: 56235.2070 DES-r deep1  1.11619e+02  1.8392e+00 4096  1.000 34.500  1.98 1.606e+02  22.3692 
OBS: 56235.2300 DES-i deep1  1.04659e+02  2.7139e+00 4096  1.000 34.570  1.84 2.769e+02  22.4568 
OBS: 56235.2580 DES-z deep1  9.94890e+01  3.4378e+00 4096  1.000 35.440  2.24 6.474e+02  22.4881 
OBS: 56236.2150 DES-g deep1  9.57059e+01  2.8662e+00 4096  1.000 32.930  1.58 7.231e+01  22.5672 
