SURVEY:   DES
SNID:             42669  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.198 0.132 0.097 0.074  # MW mag-XT per band
PEAKMJD:  56204.590     # estimate for LC fit codes
MJD_TRIGGER:       56200.219  
MJD_DETECT_FIRST:  56188.238  
MJD_DETECT_LAST:   56248.250  

REDSHIFT_HELIO:   0.367094 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.366259 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.36684 
SIM_REDSHIFT_CMB:    0.36601  
SIM_REDSHIFT_HOST:   0.36684 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.4505   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0543   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.105     # coh model scatter 
SIM_PEAKMJD:         56205.734    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.0783e-05 
SIM_SALT2x1:         -0.0510 
SIM_SALT2c:          -0.0557 
SIM_SALT2mB:         21.9142 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.4146  # spectro-search efficiency 
SIM_TRESTMIN:        -12.81  # days 
SIM_TRESTMAX:        67.61  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.601 22.032 22.109 22.283  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56188.2380 DES-g shallow7  1.49809e+01  3.5938e+00 4096  1.000 32.310  2.24 3.638e+01  24.4601 
OBS: 56189.1950 DES-r shallow7  1.29739e+02  5.9536e+01    0  1.000 29.110  2.51 2.760e+01  23.5549 
OBS: 56189.2030 DES-i shallow7  5.40431e+01  1.3918e+01    0  1.000 31.960  3.10 7.619e+01  23.6202 
OBS: 56189.2110 DES-z shallow7  6.49579e+01  1.6934e+01    0  1.000 32.600  2.44 2.142e+02  23.5594 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56200.2188
OBS: 56200.2190 DES-g shallow7  7.99931e+01  1.2750e+01 4096  1.000 32.370  2.31 1.374e+02  22.5670 
OBS: 56202.2230 DES-r shallow7  1.65067e+02  1.3616e+01 4096  1.000 31.070  1.52 6.581e+01  22.0752 
OBS: 56202.2380 DES-i shallow7  1.33332e+02  1.4236e+01 4096  1.000 32.280  1.61 2.026e+02  22.1849 
OBS: 56207.1560 DES-z shallow7  1.29404e+02  1.0726e+01 4096  1.000 33.300  2.94 2.142e+02  22.2842 
OBS: 56214.1640 DES-g shallow7  6.53878e+01  2.5604e+00 4096  1.000 32.370  1.60 3.638e+01  23.0652 
OBS: 56215.2380 DES-r shallow7  1.24556e+02  6.1888e+00 4096  1.000 31.040  1.45 2.760e+01  22.2884 
OBS: 56216.1640 DES-i shallow7  1.29047e+02  5.7152e+00 4096  1.000 32.260  1.64 7.619e+01  22.2646 
OBS: 56217.1520 DES-z shallow7  8.22835e+01  5.3663e+00 4096  1.000 33.220  1.36 2.142e+02  22.5856 
OBS: 56221.1130 DES-g shallow7  3.88590e+01  4.6030e+00    0  1.000 32.210  2.43 3.916e+01  23.6072 
OBS: 56221.1950 DES-r shallow7  1.05791e+02  4.7495e+01    0  1.000 29.110  2.00 2.760e+01  22.6160 
OBS: 56221.3120 DES-i shallow7  1.08437e+02  8.5477e+00 4096  1.000 31.940  1.85 7.619e+01  22.4803 
OBS: 56222.1050 DES-z shallow7  7.15404e+01  1.8066e+01 4096  1.000 32.820  3.14 2.175e+02  22.8374 
OBS: 56228.1990 DES-g shallow7  1.78153e+01  6.9314e+00    0  1.000 32.330  1.32 1.260e+02  24.3246 
OBS: 56228.2150 DES-r shallow7  7.09417e+01  1.5562e+01    0  1.000 30.880  1.65 5.860e+01  23.1272 
OBS: 56228.2230 DES-i shallow7  1.07081e+02  2.9200e+01    0  1.000 31.290  1.52 1.772e+02  22.7523 
OBS: 56229.1990 DES-z shallow7  6.31833e+01  8.4770e+00 4096  1.000 33.170  1.50 2.946e+02  22.9679 
OBS: 56230.1560 DES-g shallow7  1.42202e+01  9.8400e+00    0  1.000 32.290  1.33 1.716e+02  24.4950 
OBS: 56230.1720 DES-r shallow7  4.69355e+01  1.8875e+01    0  1.000 30.930  1.46 8.506e+01  23.2682 
OBS: 56230.1880 DES-i shallow7  1.06659e+02  2.2939e+01    0  1.000 32.110  1.70 2.652e+02  22.8081 
OBS: 56231.2300 DES-z shallow7  7.02148e+01  8.0834e+00 4096  1.000 33.180  1.48 2.872e+02  22.9744 
OBS: 56235.1600 DES-g shallow7  1.11994e+01  5.3367e+00    0  1.000 32.350  1.86 6.962e+01  24.9292 
OBS: 56235.1720 DES-r shallow7  2.89185e+01  1.1704e+01    0  1.000 30.940  2.14 3.511e+01  23.6263 
OBS: 56235.1880 DES-i shallow7  5.82487e+01  1.0331e+01    0  1.000 32.190  2.17 1.001e+02  22.9600 
OBS: 56236.1880 DES-z shallow7  6.01277e+01  9.3698e+00 4096  1.000 33.210  2.25 2.253e+02  22.9963 
OBS: 56237.1990 DES-g shallow7  3.43278e+00  4.9466e+00    0  1.000 32.120  1.94 4.964e+01  25.0906 
OBS: 56237.2070 DES-r shallow7  2.25844e+01  9.8040e+00    0  1.000 30.860  1.95 2.950e+01  23.7632 
OBS: 56237.2150 DES-i shallow7  6.16102e+01  1.2677e+01    0  1.000 31.610  1.90 8.195e+01  23.0266 
OBS: 56238.1990 DES-z shallow7  6.10333e+01  1.0915e+01    0  1.000 32.970  2.21 2.142e+02  23.0204 
OBS: 56243.1950 DES-g shallow7  8.80328e+00  2.2491e+00    0  1.000 32.320  1.41 3.638e+01  25.4616 
OBS: 56243.2030 DES-r shallow7  2.60753e+01  6.7264e+00    0  1.000 30.990  1.59 2.760e+01  24.1200 
OBS: 56243.2110 DES-i shallow7  5.22477e+01  5.8415e+00 4096  1.000 32.080  1.44 7.619e+01  23.2409 
OBS: 56244.1880 DES-z shallow7  3.99373e+01  7.3837e+00 4096  1.000 33.110  1.70 2.142e+02  23.1632 
OBS: 56245.1910 DES-g shallow7  4.79833e+00  6.5225e+00    0  1.000 31.200  1.47 3.638e+01  25.5541 
OBS: 56245.1990 DES-r shallow7  2.28341e+01  6.1894e+00    0  1.000 31.010  1.49 2.760e+01  24.2239 
OBS: 56245.2030 DES-i shallow7  3.59743e+01  5.7740e+00 4096  1.000 32.140  1.51 7.619e+01  23.3226 
OBS: 56246.1990 DES-z shallow7  4.38271e+01  6.3237e+00 4096  1.000 33.220  1.61 2.142e+02  23.2425 
OBS: 56248.2300 DES-g shallow7  6.43817e+00  2.4467e+00    0  1.000 32.320  1.54 3.638e+01  25.6691 
OBS: 56248.2380 DES-r shallow7  3.24031e+01  7.4084e+00    0  1.000 30.810  1.48 2.760e+01  24.3704 
OBS: 56248.2500 DES-i shallow7  3.90149e+01  7.2230e+00 4096  1.000 31.910  1.53 7.619e+01  23.4605 
OBS: 56258.1520 DES-z shallow7  2.84582e+01  9.3786e+00    0  1.000 33.200  1.75 2.876e+02  23.8027 
OBS: 56260.1880 DES-g shallow7  3.52409e+00  8.0154e+00    0  1.000 32.420  1.41 1.486e+02  26.0225 
OBS: 56260.1950 DES-r shallow7  7.17435e+00  1.4133e+01    0  1.000 31.000  1.44 6.877e+01  24.7728 
OBS: 56260.2030 DES-i shallow7  1.03575e+01  1.3802e+01    0  1.000 32.210  1.42 2.096e+02  23.9077 
OBS: 56266.1990 DES-z shallow7  2.05729e+01  7.9541e+00    0  1.000 33.170  1.88 2.208e+02  24.1170 
OBS: 56268.1950 DES-g shallow7  2.97817e+00  2.6567e+00    0  1.000 32.340  1.71 3.638e+01  26.2424 
OBS: 56268.1990 DES-r shallow7  7.52157e+00  7.4483e+00    0  1.000 30.910  1.65 2.760e+01  24.9218 
OBS: 56268.2150 DES-i shallow7  1.89655e+01  6.3903e+00    0  1.000 32.130  1.65 7.680e+01  24.0981 
OBS: 56277.1800 DES-z shallow7  1.80770e+01  5.3847e+00    0  1.000 33.210  1.36 2.142e+02  24.4443 
OBS: 56278.2230 DES-g shallow7  3.66777e+00  2.3688e+00    0  1.000 32.380  1.58 3.638e+01  26.5051 
OBS: 56279.1800 DES-r shallow7  2.22718e+01  6.9559e+00    0  1.000 30.910  1.53 2.760e+01  25.0485 
OBS: 56279.1990 DES-i shallow7  9.85281e+00  7.7264e+00    0  1.000 32.180  2.11 7.619e+01  24.2718 
OBS: 56288.1520 DES-z shallow7  1.71286e+01  9.8675e+00    0  1.000 33.200  1.93 2.745e+02  24.7630 
OBS: 56288.1990 DES-g shallow7 -5.26572e+00  8.9195e+00    0  1.000 32.360  1.72 1.282e+02  26.7711 
OBS: 56288.2150 DES-r shallow7 -3.82628e+00  1.7777e+01    0  1.000 31.010  2.16 5.800e+01  25.1499 
