SURVEY:   DES
SNID:             44958  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       36.750000  # deg (avg among obs)
DEC:      -4.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0283 +- 0.0045  # MW E(B-V) 
MWXT_MAG:  0.099 0.066 0.049 0.037  # MW mag-XT per band
PEAKMJD:  56239.688     # estimate for LC fit codes
MJD_TRIGGER:       56220.203  
MJD_DETECT_FIRST:  56220.188  
MJD_DETECT_LAST:   56305.113  

REDSHIFT_HELIO:   0.348391 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.347323 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.34783 
SIM_REDSHIFT_CMB:    0.34677  
SIM_REDSHIFT_HOST:   0.34783 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.3141   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              36.750000     # deg  
SIM_DEC:             -4.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0273   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.246     # coh model scatter 
SIM_PEAKMJD:         56240.391    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.5896e-05 
SIM_SALT2x1:         0.9033 
SIM_SALT2c:          0.0873 
SIM_SALT2mB:         22.1019 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6246  # spectro-search efficiency 
SIM_TRESTMIN:        -15.00  # days 
SIM_TRESTMAX:        63.62  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.483 21.778 21.731 21.996  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 64 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56220.1880 DES-g shallow6  8.10420e+00  1.9086e+00 4096  1.000 32.370  1.25 3.638e+01  25.2225 
OBS: 56220.1950 DES-r shallow6  1.74205e+01  5.4720e+00    0  1.000 31.020  1.33 2.760e+01  24.2082 
OBS: 56220.2030 DES-i shallow6  2.64742e+01  5.2760e+00 4096  1.000 32.200  1.46 7.619e+01  24.1449 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56220.2031
OBS: 56220.2110 DES-z shallow6  3.41348e+01  5.6159e+00    0  1.000 33.250  1.47 2.142e+02  24.1398 
OBS: 56222.2030 DES-g shallow6  2.55093e+01  4.9344e+00    0  1.000 32.140  2.20 4.396e+01  24.2391 
OBS: 56222.2110 DES-r shallow6  4.77384e+01  1.3620e+01    0  1.000 30.390  1.81 2.842e+01  23.4594 
OBS: 56222.2270 DES-i shallow6  4.96641e+01  1.0178e+01    0  1.000 31.810  1.97 7.619e+01  23.4474 
OBS: 56222.2380 DES-z shallow6  4.16224e+01  9.2014e+00    0  1.000 33.160  2.22 2.142e+02  23.4316 
OBS: 56229.1450 DES-g shallow6  5.86959e+01  9.6400e+00 4096  1.000 32.280  1.36 1.623e+02  22.8163 
OBS: 56229.1560 DES-r shallow6  1.38815e+02  1.8028e+01 4096  1.000 30.780  1.28 8.002e+01  22.2403 
OBS: 56229.1720 DES-i shallow6  1.33026e+02  2.1430e+01 4096  1.000 31.850  1.33 2.489e+02  22.2528 
OBS: 56229.1880 DES-z shallow6  1.26097e+02  8.7731e+00 4096  1.000 33.060  1.38 2.987e+02  22.3098 
OBS: 56231.1910 DES-g shallow6  7.62585e+01  8.3418e+00 4096  1.000 32.300  1.38 1.405e+02  22.6101 
OBS: 56231.1990 DES-r shallow6  1.21622e+02  1.6295e+01 4096  1.000 30.940  1.59 6.731e+01  22.0502 
OBS: 56231.2070 DES-i shallow6  1.68447e+02  1.5882e+01 4096  1.000 32.160  1.58 2.061e+02  22.0568 
OBS: 56231.2150 DES-z shallow6  1.23644e+02  7.8005e+00 4096  1.000 33.160  1.43 2.809e+02  22.1506 
OBS: 56236.1330 DES-g shallow6  1.03988e+02  3.8409e+00 4096  1.000 32.270  2.22 3.638e+01  22.4308 
OBS: 56236.1450 DES-r shallow6  1.73081e+02  9.1553e+00 4096  1.000 30.920  1.96 2.760e+01  21.8214 
OBS: 56236.1600 DES-i shallow6  1.78750e+02  7.3288e+00 4096  1.000 32.170  1.94 7.619e+01  21.8081 
OBS: 56236.1720 DES-z shallow6  1.64063e+02  9.6004e+00 4096  1.000 33.160  2.21 2.237e+02  22.0123 
OBS: 56238.1480 DES-g shallow6  1.00392e+02  3.8754e+00 4096  1.000 32.030  1.78 3.638e+01  22.4381 
OBS: 56238.1600 DES-r shallow6  1.84593e+02  1.3690e+01 4096  1.000 30.490  2.00 2.760e+01  21.7877 
OBS: 56238.1760 DES-i shallow6  1.84823e+02  1.2526e+01 4096  1.000 31.600  1.98 7.619e+01  21.7609 
OBS: 56238.1880 DES-z shallow6  1.70337e+02  1.2025e+01 4096  1.000 32.710  1.91 2.142e+02  22.0035 
OBS: 56244.1410 DES-g shallow6  8.62278e+01  2.8945e+00 4096  1.000 32.350  1.77 3.638e+01  22.6238 
OBS: 56244.1520 DES-r shallow6  1.94812e+02  7.8826e+00 4096  1.000 31.000  1.78 2.760e+01  21.8177 
OBS: 56244.1680 DES-i shallow6  2.03976e+02  7.2203e+00 4096  1.000 32.140  1.85 7.619e+01  21.7321 
OBS: 56244.1800 DES-z shallow6  1.62824e+02  7.2616e+00 4096  1.000 33.090  1.63 2.142e+02  21.9991 
