SURVEY:   DES
SNID:             45614  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -33.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.040 0.027 0.020 0.015  # MW mag-XT per band
PEAKMJD:  56174.328     # estimate for LC fit codes
MJD_TRIGGER:       56178.234  
MJD_DETECT_FIRST:  56178.219  
MJD_DETECT_LAST:   56215.227  

REDSHIFT_HELIO:   0.419488 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.418983 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           3    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.41939 
SIM_REDSHIFT_CMB:    0.41888  
SIM_REDSHIFT_HOST:   0.41939 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.7941   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -33.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0110   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.140     # coh model scatter 
SIM_PEAKMJD:         56174.750    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.0984e-05 
SIM_SALT2x1:         -0.4923 
SIM_SALT2c:          -0.0524 
SIM_SALT2mB:         22.3303 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.2723  # spectro-search efficiency 
SIM_TRESTMIN:        2.44  # days 
SIM_TRESTMAX:        65.85  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.188 22.291 22.375 22.626  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 60 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56178.2190 DES-g shallow2  5.14861e+01  5.9006e+00 4096  1.000 32.350  2.69 5.249e+01  23.3969 
OBS: 56178.2340 DES-r shallow2  1.24629e+02  1.3924e+01 4096  1.000 30.960  2.90 3.077e+01  22.3471 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56178.2344
OBS: 56178.2500 DES-i shallow2  1.13336e+02  1.7231e+01    0  1.000 32.100  3.86 8.630e+01  22.3824 
OBS: 56178.2660 DES-z shallow2  1.14704e+02  1.2977e+01 4096  1.000 33.260  3.32 2.214e+02  22.6280 
OBS: 56186.2030 DES-g shallow2  2.56284e+01  2.3909e+00 4096  1.000 32.380  1.56 3.638e+01  24.0410 
OBS: 56186.2110 DES-r shallow2  8.15220e+01  6.5137e+00 4096  1.000 31.040  1.57 2.760e+01  22.7089 
OBS: 56186.2190 DES-i shallow2  8.51890e+01  5.5320e+00 4096  1.000 32.170  1.47 7.619e+01  22.5929 
OBS: 56186.2300 DES-z shallow2  7.13896e+01  6.0068e+00    0  1.000 33.230  1.54 2.142e+02  22.9107 
OBS: 56189.3120 DES-g shallow2  1.66421e+01  2.8694e+00 4096  1.000 32.120  1.49 3.638e+01  24.3269 
OBS: 56189.3240 DES-r shallow2  1.38709e+01  3.8515e+01    0  1.000 29.150  1.69 2.760e+01  22.9101 
OBS: 56189.3400 DES-i shallow2  3.79515e+01  4.8430e+01    0  1.000 29.900  1.62 7.619e+01  22.7352 
OBS: 56189.3550 DES-z shallow2  5.48045e+01  1.1780e+01    0  1.000 32.740  1.93 2.142e+02  23.0775 
OBS: 56202.1910 DES-g shallow2 -5.83663e+00  6.9089e+00    0  1.000 32.390  1.73 1.013e+02  25.5481 
OBS: 56202.1990 DES-r shallow2  2.71092e+01  1.0428e+01    0  1.000 31.060  1.69 4.489e+01  23.8511 
OBS: 56202.2070 DES-i shallow2  4.82639e+01  1.1140e+01    0  1.000 32.230  1.86 1.311e+02  23.2822 
OBS: 56202.2150 DES-z shallow2  5.15764e+01  7.5809e+00 4096  1.000 33.290  1.73 2.551e+02  23.3529 
OBS: 56215.1950 DES-g shallow2  2.48086e+00  2.0606e+00    0  1.000 32.430  1.44 3.638e+01  26.4179 
OBS: 56215.2030 DES-r shallow2  1.88892e+01  6.4452e+00    0  1.000 31.060  1.63 2.760e+01  24.6671 
OBS: 56215.2110 DES-i shallow2  2.74728e+01  4.5308e+00 4096  1.000 32.250  1.31 7.619e+01  23.7912 
OBS: 56215.2270 DES-z shallow2  4.10808e+01  5.4025e+00 4096  1.000 33.240  1.40 2.142e+02  23.6876 
OBS: 56221.1480 DES-g shallow2  6.60555e+00  1.1466e+01    0  1.000 31.230  2.43 4.006e+01  26.6149 
OBS: 56221.1600 DES-r shallow2 -5.72965e+00  1.6667e+01    0  1.000 30.230  1.96 2.791e+01  24.9223 
OBS: 56221.1760 DES-i shallow2  3.35706e+01  2.0547e+01    0  1.000 31.000  1.87 7.709e+01  24.0756 
OBS: 56221.1910 DES-z shallow2  1.85317e+01  3.1584e+01    0  1.000 31.690  1.97 2.142e+02  23.9858 
OBS: 56228.1370 DES-g shallow2 -3.71049e+00  6.6145e+00    0  1.000 32.290  1.49 1.027e+02  26.6895 
OBS: 56228.1450 DES-r shallow2  1.57103e+01  9.9663e+00    0  1.000 30.910  1.42 4.451e+01  25.1250 
OBS: 56228.1560 DES-i shallow2  7.60015e+00  9.8382e+00    0  1.000 31.970  1.31 1.296e+02  24.3221 
OBS: 56228.1720 DES-z shallow2  1.65240e+01  8.6469e+00    0  1.000 32.880  1.34 2.579e+02  24.2922 
