SURVEY:   DES
SNID:             46199  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.329 0.219 0.160 0.122  # MW mag-XT per band
PEAKMJD:  56197.934     # estimate for LC fit codes
MJD_TRIGGER:       56180.211  
MJD_DETECT_FIRST:  56179.359  
MJD_DETECT_LAST:   56268.215  

REDSHIFT_HELIO:   0.378260 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.377418 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.37884 
SIM_REDSHIFT_CMB:    0.37800  
SIM_REDSHIFT_HOST:   0.37884 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.5324   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0901   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.061     # coh model scatter 
SIM_PEAKMJD:         56197.359    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.1916e-05 
SIM_SALT2x1:         1.0430 
SIM_SALT2c:          -0.0457 
SIM_SALT2mB:         21.8750 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.5091  # spectro-search efficiency 
SIM_TRESTMIN:        -13.06  # days 
SIM_TRESTMAX:        66.54  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.297 21.834 21.935 22.207  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.3590 DES-g shallow7  2.27730e+01  4.6452e+00 4096  1.000 32.220  1.94 5.086e+01  23.8247 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56180.2109
OBS: 56180.2110 DES-r shallow7  4.02071e+01  8.5087e+00 4096  1.000 31.110  2.25 2.760e+01  23.1215 
OBS: 56180.2190 DES-i shallow7  4.55327e+01  6.6413e+00 4096  1.000 32.270  1.96 7.619e+01  23.2587 
OBS: 56180.2340 DES-z shallow7  5.66588e+01  7.4770e+00    0  1.000 33.300  2.05 2.142e+02  23.3031 
OBS: 56188.2380 DES-g shallow7  1.17927e+02  3.7605e+00 4096  1.000 32.310  2.24 3.638e+01  22.3524 
OBS: 56189.1950 DES-r shallow7  1.21925e+02  5.9522e+01    0  1.000 29.110  2.51 2.760e+01  22.0243 
OBS: 56189.2030 DES-i shallow7  1.52342e+02  1.3976e+01 4096  1.000 31.960  3.10 7.619e+01  22.1587 
OBS: 56189.2110 DES-z shallow7  1.21125e+02  1.6949e+01 4096  1.000 32.600  2.44 2.142e+02  22.3293 
OBS: 56200.2190 DES-g shallow7  1.01693e+02  1.2759e+01 4096  1.000 32.370  2.31 1.374e+02  22.4224 
OBS: 56202.2230 DES-r shallow7  1.71379e+02  1.3624e+01 4096  1.000 31.070  1.52 6.581e+01  21.9092 
OBS: 56202.2380 DES-i shallow7  1.69980e+02  1.4251e+01 4096  1.000 32.280  1.61 2.026e+02  21.9449 
OBS: 56207.1560 DES-z shallow7  1.16109e+02  1.0723e+01 4096  1.000 33.300  2.94 2.142e+02  22.3470 
OBS: 56214.1640 DES-g shallow7  4.51608e+01  2.5155e+00 4096  1.000 32.370  1.60 3.638e+01  23.3381 
OBS: 56215.2380 DES-r shallow7  9.24408e+01  6.0884e+00 4096  1.000 31.040  1.45 2.760e+01  22.4992 
OBS: 56216.1640 DES-i shallow7  1.03409e+02  5.6871e+00 4096  1.000 32.260  1.64 7.619e+01  22.3922 
OBS: 56217.1520 DES-z shallow7  8.19820e+01  5.3662e+00 4096  1.000 33.220  1.36 2.142e+02  22.8302 
OBS: 56221.1130 DES-g shallow7  2.74673e+01  4.5868e+00    0  1.000 32.210  2.43 3.916e+01  23.9938 
OBS: 56221.1950 DES-r shallow7  9.91528e+01  4.7480e+01    0  1.000 29.110  2.00 2.760e+01  22.8830 
OBS: 56221.3120 DES-i shallow7  7.56410e+01  8.5155e+00 4096  1.000 31.940  1.85 7.619e+01  22.5767 
OBS: 56222.1050 DES-z shallow7  7.68809e+01  1.8067e+01 4096  1.000 32.820  3.14 2.175e+02  22.8573 
OBS: 56228.1990 DES-g shallow7  3.18547e+00  6.9191e+00    0  1.000 32.330  1.32 1.260e+02  24.6134 
OBS: 56228.2150 DES-r shallow7  4.26139e+01  1.5522e+01    0  1.000 30.880  1.65 5.860e+01  23.3673 
OBS: 56228.2230 DES-i shallow7  9.13877e+01  2.9192e+01    0  1.000 31.290  1.52 1.772e+02  22.7529 
OBS: 56229.1990 DES-z shallow7  6.79244e+01  8.4785e+00 4096  1.000 33.170  1.50 2.946e+02  22.8872 
OBS: 56230.1560 DES-g shallow7  1.23226e+00  9.8320e+00    0  1.000 32.290  1.33 1.716e+02  24.7714 
OBS: 56230.1720 DES-r shallow7  3.63061e+01  1.8863e+01    0  1.000 30.930  1.46 8.506e+01  23.4898 
OBS: 56230.1880 DES-i shallow7  3.35910e+01  2.2916e+01    0  1.000 32.110  1.70 2.652e+02  22.8026 
OBS: 56231.2300 DES-z shallow7  6.45380e+01  8.0815e+00 4096  1.000 33.180  1.48 2.872e+02  22.8762 
OBS: 56235.1600 DES-g shallow7  7.45689e+00  5.3326e+00    0  1.000 32.350  1.86 6.962e+01  25.1008 
OBS: 56235.1720 DES-r shallow7  2.49283e+01  1.1697e+01    0  1.000 30.940  2.14 3.511e+01  23.7339 
OBS: 56235.1880 DES-i shallow7  4.66273e+01  1.0324e+01 4096  1.000 32.190  2.17 1.001e+02  22.9379 
OBS: 56236.1880 DES-z shallow7  7.55088e+01  9.3741e+00 4096  1.000 33.210  2.25 2.253e+02  22.8950 
OBS: 56237.1990 DES-g shallow7  1.53738e+01  4.9637e+00    0  1.000 32.120  1.94 4.964e+01  25.1946 
OBS: 56237.2070 DES-r shallow7  4.14875e+01  9.8476e+00    0  1.000 30.860  1.95 2.950e+01  23.8331 
OBS: 56237.2150 DES-i shallow7  4.17187e+01  1.2659e+01    0  1.000 31.610  1.90 8.195e+01  23.0067 
OBS: 56238.1990 DES-z shallow7  6.39929e+01  1.0916e+01    0  1.000 32.970  2.21 2.142e+02  22.9502 
OBS: 56243.1950 DES-g shallow7  9.71307e+00  2.2515e+00    0  1.000 32.320  1.41 3.638e+01  25.3568 
OBS: 56243.2030 DES-r shallow7  2.37477e+01  6.7194e+00 4096  1.000 30.990  1.59 2.760e+01  24.1352 
OBS: 56243.2110 DES-i shallow7  5.01780e+01  5.8389e+00 4096  1.000 32.080  1.44 7.619e+01  23.2504 
OBS: 56244.1880 DES-z shallow7  3.80365e+01  7.3830e+00 4096  1.000 33.110  1.70 2.142e+02  23.2061 
OBS: 56245.1910 DES-g shallow7  1.66791e-01  6.5107e+00    0  1.000 31.200  1.47 3.638e+01  25.3953 
OBS: 56245.1990 DES-r shallow7  1.71592e+01  6.1713e+00    0  1.000 31.010  1.49 2.760e+01  24.2235 
OBS: 56245.2030 DES-i shallow7  4.71010e+01  5.7874e+00 4096  1.000 32.140  1.51 7.619e+01  23.3333 
OBS: 56246.1990 DES-z shallow7  4.55388e+01  6.3244e+00 4096  1.000 33.220  1.61 2.142e+02  23.2955 
OBS: 56248.2300 DES-g shallow7  9.54158e+00  2.4542e+00    0  1.000 32.320  1.54 3.638e+01  25.4452 
OBS: 56248.2380 DES-r shallow7  2.66569e+01  7.3900e+00    0  1.000 30.810  1.48 2.760e+01  24.3409 
OBS: 56248.2500 DES-i shallow7  4.32679e+01  7.2281e+00 4096  1.000 31.910  1.53 7.619e+01  23.4595 
OBS: 56258.1520 DES-z shallow7  3.74611e+01  9.3811e+00 4096  1.000 33.200  1.75 2.876e+02  23.8001 
OBS: 56260.1880 DES-g shallow7 -6.47378e+00  8.0130e+00    0  1.000 32.420  1.41 1.486e+02  25.8217 
OBS: 56260.1950 DES-r shallow7 -3.36582e+00  1.4122e+01    0  1.000 31.000  1.44 6.877e+01  24.6087 
OBS: 56260.2030 DES-i shallow7  3.17806e+01  1.3812e+01    0  1.000 32.210  1.42 2.096e+02  23.8461 
OBS: 56266.1990 DES-z shallow7  2.05795e+01  7.9541e+00    0  1.000 33.170  1.88 2.208e+02  24.0352 
OBS: 56268.1950 DES-g shallow7 -2.07165e-02  2.6502e+00    0  1.000 32.340  1.71 3.638e+01  26.4306 
OBS: 56268.1990 DES-r shallow7  1.51964e+01  7.4706e+00    0  1.000 30.910  1.65 2.760e+01  24.6635 
OBS: 56268.2150 DES-i shallow7  2.94484e+01  6.4018e+00 4096  1.000 32.130  1.65 7.680e+01  23.9492 
OBS: 56277.1800 DES-z shallow7  1.98590e+01  5.3856e+00    0  1.000 33.210  1.36 2.142e+02  24.3329 
OBS: 56278.2230 DES-g shallow7  1.86473e+00  2.3646e+00    0  1.000 32.380  1.58 3.638e+01  27.3233 
OBS: 56279.1800 DES-r shallow7  2.19766e+01  6.9550e+00    0  1.000 30.910  1.53 2.760e+01  24.7284 
OBS: 56279.1990 DES-i shallow7  1.66766e+01  7.7323e+00    0  1.000 32.180  2.11 7.619e+01  24.0771 
OBS: 56288.1520 DES-z shallow7 -4.98543e+00  9.8630e+00    0  1.000 33.200  1.93 2.745e+02  24.6309 
OBS: 56288.1990 DES-g shallow7 -7.29279e+00  8.9195e+00    0  1.000 32.360  1.72 1.282e+02  28.2113 
OBS: 56288.2150 DES-r shallow7 -2.00784e+01  1.7777e+01    0  1.000 31.010  2.16 5.800e+01  24.7819 
OBS: 56289.0510 DES-i shallow7  6.90566e+01  1.7939e+01    0  1.000 32.570  3.27 1.646e+02  24.1919 
