SURVEY:   DES
SNID:             46929  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.309 0.205 0.150 0.115  # MW mag-XT per band
PEAKMJD:  56253.352     # estimate for LC fit codes
MJD_TRIGGER:       56243.203  
MJD_DETECT_FIRST:  56243.195  
MJD_DETECT_LAST:   56308.102  

REDSHIFT_HELIO:   0.293828 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.293038 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.29353 
SIM_REDSHIFT_CMB:    0.29274  
SIM_REDSHIFT_HOST:   0.29353 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.8886   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0846   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.102     # coh model scatter 
SIM_PEAKMJD:         56254.223    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.2654e-05 
SIM_SALT2x1:         -0.4277 
SIM_SALT2c:          -0.0073 
SIM_SALT2mB:         21.5601 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.5778  # spectro-search efficiency 
SIM_TRESTMIN:        -17.79  # days 
SIM_TRESTMAX:        67.17  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.025 21.789 21.820 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56235.1600 DES-g shallow7  3.54935e+00  5.3284e+00    0  1.000 32.350  1.86 6.962e+01  25.6702 
OBS: 56235.1720 DES-r shallow7  1.32961e+01  1.1676e+01    0  1.000 30.940  2.14 3.511e+01  24.6468 
OBS: 56235.1880 DES-i shallow7  5.28210e+00  1.0297e+01    0  1.000 32.190  2.17 1.001e+02  24.6754 
OBS: 56237.1990 DES-g shallow7  2.88157e+01  4.9829e+00    0  1.000 32.120  1.94 4.964e+01  24.2803 
OBS: 56237.2070 DES-r shallow7  2.10868e+01  9.8006e+00    0  1.000 30.860  1.95 2.950e+01  23.8069 
OBS: 56237.2150 DES-i shallow7  1.93940e+01  1.2639e+01    0  1.000 31.610  1.90 8.195e+01  23.8277 
OBS: 56243.1950 DES-g shallow7  8.93079e+01  2.4513e+00 4096  1.000 32.320  1.41 3.638e+01  22.6492 
OBS: 56243.2030 DES-r shallow7  8.78318e+01  6.9084e+00 4096  1.000 30.990  1.59 2.760e+01  22.5009 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56243.2031
OBS: 56243.2110 DES-i shallow7  9.99661e+01  5.9013e+00 4096  1.000 32.080  1.44 7.619e+01  22.5226 
OBS: 56245.1910 DES-g shallow7  1.14712e+02  6.7958e+00 4096  1.000 31.200  1.47 3.638e+01  22.3433 
OBS: 56245.1990 DES-r shallow7  1.30973e+02  6.5249e+00 4096  1.000 31.010  1.49 2.760e+01  22.2275 
OBS: 56245.2030 DES-i shallow7  1.40226e+02  5.8984e+00 4096  1.000 32.140  1.51 7.619e+01  22.2541 
OBS: 56248.2300 DES-g shallow7  1.44142e+02  2.7589e+00 4096  1.000 32.320  1.54 3.638e+01  22.0891 
OBS: 56248.2380 DES-r shallow7  1.66514e+02  7.8259e+00 4096  1.000 30.810  1.48 2.760e+01  21.9673 
OBS: 56248.2500 DES-i shallow7  1.45458e+02  7.3488e+00 4096  1.000 31.910  1.53 7.619e+01  22.0058 
OBS: 56260.1880 DES-g shallow7  1.18394e+02  8.0921e+00 4096  1.000 32.420  1.41 1.486e+02  22.3135 
OBS: 56260.1950 DES-r shallow7  1.85089e+02  1.4381e+01 4096  1.000 31.000  1.44 6.877e+01  21.8756 
OBS: 56260.2030 DES-i shallow7  1.78809e+02  1.3881e+01 4096  1.000 32.210  1.42 2.096e+02  21.8685 
OBS: 56268.1950 DES-g shallow7  6.57973e+01  2.7904e+00 4096  1.000 32.340  1.71 3.638e+01  22.9901 
OBS: 56268.1990 DES-r shallow7  1.36903e+02  7.8150e+00 4096  1.000 30.910  1.65 2.760e+01  22.2087 
OBS: 56268.2150 DES-i shallow7  1.36430e+02  6.5183e+00 4096  1.000 32.130  1.65 7.680e+01  22.2864 
OBS: 56278.2230 DES-g shallow7  2.28022e+01  2.4135e+00 4096  1.000 32.380  1.58 3.638e+01  24.0680 
OBS: 56279.1800 DES-r shallow7  7.56984e+01  7.1201e+00 4096  1.000 30.910  1.53 2.760e+01  22.8864 
OBS: 56279.1990 DES-i shallow7  1.10768e+02  7.8136e+00 4096  1.000 32.180  2.11 7.619e+01  22.5835 
OBS: 56288.1990 DES-g shallow7 -1.03763e+00  8.9195e+00    0  1.000 32.360  1.72 1.282e+02  24.8785 
OBS: 56288.2150 DES-r shallow7  5.22221e+01  1.7834e+01    0  1.000 31.010  2.16 5.800e+01  23.4524 
OBS: 56289.0510 DES-i shallow7  9.66479e+01  1.7946e+01    0  1.000 32.570  3.27 1.646e+02  22.8475 
OBS: 56296.0780 DES-g shallow7  8.08831e+00  1.8753e+00    0  1.000 32.300  1.15 3.638e+01  25.2802 
OBS: 56296.0900 DES-r shallow7  2.66863e+01  5.7798e+00    0  1.000 30.900  1.25 2.760e+01  23.8361 
OBS: 56298.0900 DES-i shallow7  4.77407e+01  7.5826e+00 4096  1.000 32.120  1.95 7.619e+01  23.3033 
OBS: 56306.0550 DES-g shallow7  1.07692e+01  2.5587e+00    0  1.000 32.330  1.62 3.638e+01  25.5482 
OBS: 56306.0620 DES-r shallow7  9.33998e+00  6.9219e+00    0  1.000 30.930  1.56 2.760e+01  24.1884 
OBS: 56308.1020 DES-i shallow7  2.89620e+01  5.2613e+00 4096  1.000 32.240  1.51 7.619e+01  23.6520 
OBS: 56317.1250 DES-g shallow7 -4.46112e-01  7.4529e+00    0  1.000 32.310  1.79 9.809e+01  25.7089 
OBS: 56318.0430 DES-r shallow7  2.76161e+01  2.0204e+01    0  1.000 30.990  3.32 4.148e+01  24.4172 
OBS: 56319.0700 DES-i shallow7  4.07367e+01  7.9687e+00    0  1.000 32.170  1.48 1.111e+02  23.9232 
OBS: 56326.0900 DES-g shallow7  4.94866e+00  2.4096e+00    0  1.000 32.270  1.45 3.638e+01  25.8096 
OBS: 56326.1020 DES-r shallow7  1.56214e+01  7.3325e+00    0  1.000 30.950  1.68 2.760e+01  24.5103 
OBS: 56332.0860 DES-i shallow7  1.13349e+01  6.9331e+00    0  1.000 32.190  1.91 7.619e+01  24.2227 
OBS: 56334.0860 DES-g shallow7  5.60324e+00  2.8013e+00    0  1.000 32.340  1.80 3.638e+01  25.9008 
OBS: 56335.0820 DES-r shallow7  4.12276e+01  9.0321e+00    0  1.000 30.950  2.06 2.760e+01  24.6161 
OBS: 56341.0550 DES-i shallow7  1.31243e+01  1.3611e+01    0  1.000 32.170  2.58 1.093e+02  24.4290 
END_PHOTOMETRY: 

