SURVEY:   DES
SNID:             47659  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.197 0.131 0.096 0.073  # MW mag-XT per band
PEAKMJD:  56174.398     # estimate for LC fit codes
MJD_TRIGGER:       56180.211  
MJD_DETECT_FIRST:  56179.359  
MJD_DETECT_LAST:   56245.203  

REDSHIFT_HELIO:   0.221123 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.220377 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.22111 
SIM_REDSHIFT_CMB:    0.22037  
SIM_REDSHIFT_HOST:   0.22111 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.1884   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0539   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.197     # coh model scatter 
SIM_PEAKMJD:         56174.203    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.1700e-05 
SIM_SALT2x1:         -1.5956 
SIM_SALT2c:          0.0952 
SIM_SALT2mB:         21.3513 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6708  # spectro-search efficiency 
SIM_TRESTMIN:        4.22  # days 
SIM_TRESTMAX:        68.79  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.895 21.637 21.638 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.3590 DES-g shallow7  1.47174e+02  4.8154e+00 4096  1.000 32.220  1.94 5.086e+01  22.1428 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56180.2109
OBS: 56180.2110 DES-r shallow7  2.00628e+02  8.8413e+00 4096  1.000 31.110  2.25 2.760e+01  21.7159 
OBS: 56180.2190 DES-i shallow7  2.17916e+02  6.7999e+00 4096  1.000 32.270  1.96 7.619e+01  21.7434 
OBS: 56188.2380 DES-g shallow7  5.68890e+01  3.6626e+00 4096  1.000 32.310  2.24 3.638e+01  23.1140 
OBS: 56189.1950 DES-r shallow7  1.11250e+02  5.9501e+01    0  1.000 29.110  2.51 2.760e+01  22.2109 
OBS: 56189.2030 DES-i shallow7  1.02256e+02  1.3946e+01 4096  1.000 31.960  3.10 7.619e+01  22.2367 
OBS: 56200.2190 DES-g shallow7 -2.74272e+00  1.2714e+01    0  1.000 32.370  2.31 1.374e+02  24.5056 
OBS: 56202.2230 DES-r shallow7  8.99841e+01  1.3512e+01 4096  1.000 31.070  1.52 6.581e+01  22.9197 
OBS: 56202.2380 DES-i shallow7  8.06275e+01  1.4213e+01 4096  1.000 32.280  1.61 2.026e+02  22.5305 
OBS: 56214.1640 DES-g shallow7  8.26178e+00  2.4314e+00    0  1.000 32.370  1.60 3.638e+01  25.2048 
OBS: 56215.2380 DES-r shallow7  3.97407e+01  5.9201e+00 4096  1.000 31.040  1.45 2.760e+01  23.7097 
OBS: 56216.1640 DES-i shallow7  4.02063e+01  5.6174e+00    0  1.000 32.260  1.64 7.619e+01  23.5259 
OBS: 56221.1130 DES-g shallow7  1.32095e+01  4.5664e+00    0  1.000 32.210  2.43 3.916e+01  25.3002 
OBS: 56221.1950 DES-r shallow7 -6.96507e+01  4.7242e+01    0  1.000 29.110  2.00 2.760e+01  23.8901 
OBS: 56221.3120 DES-i shallow7  1.81844e+01  8.4588e+00    0  1.000 31.940  1.85 7.619e+01  23.7090 
OBS: 56228.1990 DES-g shallow7 -4.52434e-01  6.9164e+00    0  1.000 32.330  1.32 1.260e+02  25.4542 
OBS: 56228.2150 DES-r shallow7  3.97259e+01  1.5517e+01    0  1.000 30.880  1.65 5.860e+01  24.0344 
OBS: 56228.2230 DES-i shallow7  4.92222e+01  2.9170e+01    0  1.000 31.290  1.52 1.772e+02  23.8445 
OBS: 56230.1560 DES-g shallow7  6.45634e+00  9.8352e+00    0  1.000 32.290  1.33 1.716e+02  25.5292 
OBS: 56230.1720 DES-r shallow7  3.94667e+01  1.8866e+01    0  1.000 30.930  1.46 8.506e+01  24.0842 
OBS: 56230.1880 DES-i shallow7  3.16031e+01  2.2915e+01    0  1.000 32.110  1.70 2.652e+02  23.8938 
OBS: 56235.1600 DES-g shallow7  1.17627e+00  5.3259e+00 4096  1.000 32.350  1.86 6.962e+01  25.7650 
OBS: 56235.1720 DES-r shallow7  8.97865e+00  1.1668e+01    0  1.000 30.940  2.14 3.511e+01  24.2181 
OBS: 56235.1880 DES-i shallow7  2.56317e+01  1.0310e+01    0  1.000 32.190  2.17 1.001e+02  24.0273 
OBS: 56237.1990 DES-g shallow7  4.14349e+00  4.9477e+00    0  1.000 32.120  1.94 4.964e+01  25.8731 
OBS: 56237.2070 DES-r shallow7  1.25370e+01  9.7808e+00    0  1.000 30.860  1.95 2.950e+01  24.2753 
OBS: 56237.2150 DES-i shallow7  2.39236e+01  1.2643e+01    0  1.000 31.610  1.90 8.195e+01  24.0843 
OBS: 56243.1950 DES-g shallow7  3.12907e+00  2.2342e+00    0  1.000 32.320  1.41 3.638e+01  26.1912 
