SURVEY:   DES
SNID:             47769  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.232 0.154 0.113 0.086  # MW mag-XT per band
PEAKMJD:  56271.680     # estimate for LC fit codes
MJD_TRIGGER:       56260.203  
MJD_DETECT_FIRST:  56260.188  
MJD_DETECT_LAST:   56335.082  

REDSHIFT_HELIO:   0.190494 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.189767 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.19050 
SIM_REDSHIFT_CMB:    0.18977  
SIM_REDSHIFT_HOST:   0.19050 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            39.8260   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0635   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.177     # coh model scatter 
SIM_PEAKMJD:         56271.672    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.1715e-04 
SIM_SALT2x1:         -0.8089 
SIM_SALT2c:          -0.0347 
SIM_SALT2mB:         20.4631 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9474  # spectro-search efficiency 
SIM_TRESTMIN:        -11.36  # days 
SIM_TRESTMAX:        66.68  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  20.583 20.509 20.726 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 30 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56260.1880 DES-g shallow7  2.27897e+02  8.1647e+00 4096  1.000 32.420  1.41 1.486e+02  21.6065 
OBS: 56260.1950 DES-r shallow7  2.36751e+02  1.4452e+01 4096  1.000 31.000  1.44 6.877e+01  21.5761 
OBS: 56260.2030 DES-i shallow7  2.37704e+02  1.3909e+01 4096  1.000 32.210  1.42 2.096e+02  21.5761 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56260.2031
OBS: 56268.1950 DES-g shallow7  5.67999e+02  3.6886e+00 4096  1.000 32.340  1.71 3.638e+01  20.6141 
OBS: 56268.1990 DES-r shallow7  5.68933e+02  8.9308e+00 4096  1.000 30.910  1.65 2.760e+01  20.6025 
OBS: 56268.2150 DES-i shallow7  5.05363e+02  6.9047e+00 4096  1.000 32.130  1.65 7.680e+01  20.7823 
OBS: 56278.2230 DES-g shallow7  4.48227e+02  3.2521e+00 4096  1.000 32.380  1.58 3.638e+01  20.8814 
OBS: 56279.1800 DES-r shallow7  5.65921e+02  8.4793e+00 4096  1.000 30.910  1.53 2.760e+01  20.6390 
OBS: 56279.1990 DES-i shallow7  4.35108e+02  8.0875e+00 4096  1.000 32.180  2.11 7.619e+01  20.9076 
OBS: 56288.1990 DES-g shallow7  1.73418e+02  9.0294e+00 4096  1.000 32.360  1.72 1.282e+02  21.8744 
OBS: 56288.2150 DES-r shallow7  3.49092e+02  1.8160e+01 4096  1.000 31.010  2.16 5.800e+01  21.1344 
OBS: 56289.0510 DES-i shallow7  2.90054e+02  1.7996e+01 4096  1.000 32.570  3.27 1.646e+02  21.3908 
OBS: 56296.0780 DES-g shallow7  8.13339e+01  2.0970e+00 4096  1.000 32.300  1.15 3.638e+01  22.7319 
OBS: 56296.0900 DES-r shallow7  2.54115e+02  6.5829e+00 4096  1.000 30.900  1.25 2.760e+01  21.5149 
OBS: 56298.0900 DES-i shallow7  2.51612e+02  7.7711e+00 4096  1.000 32.120  1.95 7.619e+01  21.5267 
OBS: 56306.0550 DES-g shallow7  3.53789e+01  2.6143e+00 4096  1.000 32.330  1.62 3.638e+01  23.4572 
OBS: 56306.0620 DES-r shallow7  1.49450e+02  7.3391e+00 4096  1.000 30.930  1.56 2.760e+01  22.0508 
OBS: 56308.1020 DES-i shallow7  1.57881e+02  5.4147e+00 4096  1.000 32.240  1.51 7.619e+01  22.0150 
OBS: 56317.1250 DES-g shallow7  3.57014e+01  7.4814e+00    0  1.000 32.310  1.79 9.809e+01  23.8077 
OBS: 56318.0430 DES-r shallow7  1.03387e+02  2.0279e+01    0  1.000 30.990  3.32 4.148e+01  22.5925 
OBS: 56319.0700 DES-i shallow7  9.97337e+01  8.0187e+00 4096  1.000 32.170  1.48 1.111e+02  22.5820 
OBS: 56326.0900 DES-g shallow7  2.54927e+01  2.4618e+00 4096  1.000 32.270  1.45 3.638e+01  24.0541 
OBS: 56326.1020 DES-r shallow7  7.57822e+01  7.5016e+00 4096  1.000 30.950  1.68 2.760e+01  22.7862 
OBS: 56332.0860 DES-i shallow7  6.82335e+01  6.9875e+00 4096  1.000 32.190  1.91 7.619e+01  22.9989 
OBS: 56334.0860 DES-g shallow7  1.58465e+01  2.8224e+00 4096  1.000 32.340  1.80 3.638e+01  24.3334 
OBS: 56335.0820 DES-r shallow7  5.19787e+01  9.0569e+00 4096  1.000 30.950  2.06 2.760e+01  22.9849 
OBS: 56341.0550 DES-i shallow7  5.48245e+01  1.3632e+01    0  1.000 32.170  2.58 1.093e+02  23.2728 
OBS: 56345.9920 DES-g shallow7  6.73582e+00  6.1265e+00    0  1.000 32.320  1.90 7.633e+01  24.7663 
