SURVEY:   DES
SNID:             47901  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -27.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0097 +- 0.0015  # MW E(B-V) 
MWXT_MAG:  0.029 0.020 0.014 0.011  # MW mag-XT per band
PEAKMJD:  56267.973     # estimate for LC fit codes
MJD_TRIGGER:       56259.195  
MJD_DETECT_FIRST:  56259.180  
MJD_DETECT_LAST:   56319.117  

REDSHIFT_HELIO:   0.368502 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.367958 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           0    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.36823 
SIM_REDSHIFT_CMB:    0.36769  
SIM_REDSHIFT_HOST:   0.36823 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.4616   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -27.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0081   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.079     # coh model scatter 
SIM_PEAKMJD:         56268.922    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.6131e-05 
SIM_SALT2x1:         -2.4781 
SIM_SALT2c:          0.0538 
SIM_SALT2mB:         22.6159 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1758  # spectro-search efficiency 
SIM_TRESTMIN:        -18.06  # days 
SIM_TRESTMAX:        60.08  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.363 22.589 22.614 22.575  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56244.2230 DES-g deep1  2.40412e-01  1.4254e+00    0  1.000 32.850  1.14 4.763e+01 99 
OBS: 56244.2380 DES-r deep1  4.90398e-01  1.1129e+00    0  1.000 34.390  1.32 1.352e+02 99 
OBS: 56244.2500 DES-i deep1 -3.29686e+00  1.7314e+00    0  1.000 34.580  1.45 2.286e+02 99 
OBS: 56244.2730 DES-z deep1  5.53099e-01  2.7757e+00    0  1.000 35.430  1.92 6.059e+02 99 
OBS: 56245.2190 DES-g deep1 -1.76496e+00  1.5932e+00    0  1.000 32.820  1.24 4.763e+01 99 
OBS: 56245.2340 DES-r deep1  1.12785e+00  1.3133e+00    0  1.000 34.320  1.46 1.352e+02 99 
OBS: 56245.2620 DES-i deep1 -3.73329e-01  4.6448e+00    0  1.000 33.390  1.30 2.286e+02 99 
OBS: 56245.2850 DES-z deep1  7.46295e+00  9.9189e+00    0  1.000 33.750  1.46 6.059e+02 99 
OBS: 56246.2340 DES-g deep1  9.35290e-01  1.7751e+00    0  1.000 32.820  1.38 4.763e+01 99 
OBS: 56246.2460 DES-r deep1  1.25691e+00  2.6897e+00    0  1.000 33.390  1.27 1.352e+02 99 
OBS: 56246.2620 DES-i deep1 -1.86205e+00  4.6805e+00    0  1.000 33.390  1.31 2.286e+02 99 
OBS: 56246.2850 DES-z deep1  4.25474e+00  9.9863e+00    0  1.000 33.750  1.47 6.059e+02 99 
OBS: 56248.2660 DES-g deep1  1.76155e+00  1.7664e+00    0  1.000 32.770  1.31 4.763e+01 99 
OBS: 56248.2810 DES-r deep1  1.37059e-01  1.1397e+00    0  1.000 34.420  1.39 1.352e+02 99 
OBS: 56248.2970 DES-i deep1 -5.28176e-01  1.7879e+00    0  1.000 34.560  1.47 2.286e+02 99 
OBS: 56248.3160 DES-z deep1 -2.81131e-01  2.3802e+00    0  1.000 35.490  1.74 6.059e+02 99 
OBS: 56259.1720 DES-g deep1  2.28341e+01  5.0651e+00    0  1.000 33.010  1.34 1.698e+02  23.9167 
OBS: 56259.1800 DES-r deep1  4.47306e+01  2.1710e+00 4096  1.000 34.470  1.37 2.720e+02  23.3199 
OBS: 56259.1950 DES-i deep1  4.53195e+01  3.5010e+00 4096  1.000 34.570  1.34 4.945e+02  23.3232 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56259.1953
OBS: 56259.2190 DES-z deep1  7.07959e+01  2.6070e+00 4096  1.000 35.450  1.40 7.923e+02  22.9928 
OBS: 56261.3320 DES-g deep1  3.68450e+01  4.2433e+00 4096  1.000 33.060  1.49 1.334e+02  23.5810 
OBS: 56267.1880 DES-r deep1  8.84172e+01  1.4304e+00 4096  1.000 34.400  1.61 1.383e+02  22.6071 
OBS: 56267.1990 DES-i deep1  8.40550e+01  2.0437e+00 4096  1.000 34.480  1.50 2.340e+02  22.6772 
OBS: 56267.2300 DES-z deep1  1.03090e+02  2.3510e+00 4096  1.000 35.370  1.50 6.174e+02  22.5634 
OBS: 56273.1600 DES-g deep1  3.57291e+01  1.8581e+00 4096  1.000 32.900  1.50 4.763e+01  23.6122 
OBS: 56277.1950 DES-r deep1  7.16461e+01  1.1373e+00 4096  1.000 34.510  1.44 1.352e+02  22.8667 
OBS: 56277.2150 DES-i deep1  8.37450e+01  1.7422e+00 4096  1.000 34.610  1.47 2.286e+02  22.7245 
OBS: 56277.2380 DES-z deep1  7.55325e+01  1.9193e+00 4096  1.000 35.540  1.46 6.059e+02  22.8125 
OBS: 56281.1600 DES-g deep1  1.51382e+01  2.1236e+00 4096  1.000 32.870  1.27 6.476e+01  24.4661 
