SURVEY:   DES
SNID:             48466  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -24.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0202 +- 0.0032  # MW E(B-V) 
MWXT_MAG:  0.100 0.066 0.049 0.037  # MW mag-XT per band
PEAKMJD:  56179.879     # estimate for LC fit codes
MJD_TRIGGER:       56179.250  
MJD_DETECT_FIRST:  56179.234  
MJD_DETECT_LAST:   56208.238  

REDSHIFT_HELIO:   0.647034 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.646348 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           5    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.64750 
SIM_REDSHIFT_CMB:    0.64681  
SIM_REDSHIFT_HOST:   0.64750 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.9244   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -24.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0273   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.036     # coh model scatter 
SIM_PEAKMJD:         56181.559    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         7.7356e-06 
SIM_SALT2x1:         0.9563 
SIM_SALT2c:          -0.0037 
SIM_SALT2mB:         23.4138 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0644  # spectro-search efficiency 
SIM_TRESTMIN:        -1.42  # days 
SIM_TRESTMAX:        67.09  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  25.031 23.172 23.128 23.144  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 68 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.2190 DES-g shallow4  1.41756e+01  2.3013e+00    0  1.000 32.450  1.62 3.638e+01  24.8953 
OBS: 56179.2340 DES-r shallow4  6.63830e+01  6.8159e+00 4096  1.000 31.090  1.74 2.760e+01  23.1471 
OBS: 56179.2500 DES-i shallow4  4.92923e+01  6.9619e+00 4096  1.000 32.230  1.98 7.619e+01  23.1335 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56179.2500
OBS: 56179.2660 DES-z shallow4  3.04494e+01  1.0634e+01 4096  1.000 33.240  2.70 2.193e+02  23.1613 
OBS: 56187.2030 DES-g shallow4  3.06941e+00  2.3823e+00    0  1.000 32.380  1.59 3.638e+01  25.4301 
OBS: 56187.2110 DES-r shallow4  4.65151e+01  6.4879e+00 4096  1.000 31.040  1.59 2.760e+01  23.3053 
OBS: 56187.2190 DES-i shallow4  4.72956e+01  5.5584e+00 4096  1.000 32.170  1.49 7.619e+01  23.1995 
OBS: 56187.2300 DES-z shallow4  5.68699e+01  6.0779e+00 4096  1.000 33.230  1.56 2.142e+02  23.1496 
OBS: 56194.1990 DES-g shallow4 -7.57359e-01  2.7969e+00    0  1.000 32.330  1.44 4.577e+01  25.9859 
OBS: 56194.2150 DES-r shallow4  3.52469e+01  8.3596e+00    0  1.000 30.880  1.74 2.843e+01  23.5659 
OBS: 56194.2230 DES-i shallow4  6.67658e+01  1.3673e+01    0  1.000 31.290  1.59 7.852e+01  23.4077 
OBS: 56194.2270 DES-z shallow4  5.75504e+01  9.8239e+00    0  1.000 32.750  1.58 2.201e+02  23.2492 
OBS: 56208.2230 DES-g shallow4  1.20263e+00  1.8410e+00    0  1.000 32.440  1.30 3.638e+01  26.8537 
OBS: 56208.2380 DES-r shallow4  1.55213e+01  5.7471e+00 4096  1.000 31.090  1.40 2.969e+01  24.5006 
OBS: 56209.1600 DES-i shallow4  2.63205e+01  5.5509e+00    0  1.000 32.270  1.64 7.619e+01  24.1118 
OBS: 56209.1760 DES-z shallow4  2.48314e+01  6.8152e+00    0  1.000 33.240  1.77 2.142e+02  23.7339 
OBS: 56218.1910 DES-g shallow4 -5.08295e-01  1.7358e+00    0  1.000 32.340  1.12 3.638e+01  28.0904 
OBS: 56218.2110 DES-r shallow4  1.31974e+01  5.0865e+00    0  1.000 30.950  1.16 2.760e+01  25.1923 
OBS: 56218.2300 DES-i shallow4  1.84355e+01  4.7843e+00    0  1.000 32.220  1.35 7.619e+01  24.6075 
OBS: 56219.1560 DES-z shallow4  2.88705e+01  5.5360e+00    0  1.000 33.220  1.41 2.142e+02  23.9672 
OBS: 56222.1170 DES-g shallow4  5.66613e+00  4.9991e+00    0  1.000 32.150  2.33 4.262e+01  28.3867 
OBS: 56222.1250 DES-r shallow4  1.74914e+01  1.4934e+01    0  1.000 30.530  2.29 2.818e+01  25.4440 
OBS: 56222.1330 DES-i shallow4 -6.62768e-01  1.2842e+01    0  1.000 31.640  2.09 7.786e+01  24.7993 
OBS: 56222.1480 DES-z shallow4  3.53655e+01  3.1644e+01    0  1.000 32.080  2.78 2.178e+02  24.0340 
OBS: 56229.0740 DES-g shallow4  5.84834e+00  1.0215e+01    0  1.000 32.070  1.52 1.271e+02  29.7913 
OBS: 56229.0860 DES-r shallow4  4.36506e+01  1.8285e+01    0  1.000 30.560  1.53 5.535e+01  25.8173 
OBS: 56229.1020 DES-i shallow4  4.54111e+01  2.0764e+01    0  1.000 31.800  1.86 1.648e+02  25.0725 
OBS: 56229.1090 DES-z shallow4  1.56626e+01  1.2504e+01    0  1.000 32.900  1.84 2.768e+02  24.2202 
OBS: 56231.1050 DES-g shallow4  1.27485e+01  8.4206e+00    0  1.000 32.210  1.49 1.215e+02  30.6684 
OBS: 56231.1130 DES-r shallow4  2.81236e+00  1.4381e+01    0  1.000 30.900  1.69 5.406e+01  25.8940 
OBS: 56231.1210 DES-i shallow4  1.35026e+01  1.4025e+01    0  1.000 32.070  1.65 1.610e+02  25.1549 
OBS: 56231.1290 DES-z shallow4  8.88317e+00  8.3892e+00    0  1.000 33.070  1.48 2.700e+02  24.2886 
OBS: 56236.0470 DES-g shallow4  5.10628e+00  6.6742e+00    0  1.000 31.720  2.43 3.638e+01 99 
OBS: 56236.0620 DES-r shallow4 -7.64907e+00  1.4015e+01    0  1.000 30.710  2.59 2.760e+01  26.0381 
OBS: 56236.0740 DES-i shallow4 -1.09581e+01  1.6011e+01    0  1.000 31.860  3.26 7.619e+01  25.3573 
OBS: 56236.0900 DES-z shallow4  2.50716e+01  2.3361e+01    0  1.000 32.690  3.66 2.142e+02  24.4725 
OBS: 56238.0590 DES-g shallow4  3.48251e+00  3.2463e+00    0  1.000 32.350  2.11 3.638e+01 99 
OBS: 56238.0740 DES-r shallow4  8.13020e+00  1.0102e+01    0  1.000 30.980  2.39 2.760e+01  26.0919 
OBS: 56238.0940 DES-i shallow4  2.21742e+01  7.5876e+00    0  1.000 32.170  2.05 7.619e+01  25.4326 
OBS: 56238.1090 DES-z shallow4  1.12736e+01  9.3386e+00    0  1.000 33.200  2.34 2.142e+02  24.5454 
OBS: 56244.0550 DES-g shallow4 -3.97055e+00  3.5663e+00    0  1.000 32.330  2.28 3.638e+01  29.6137 
OBS: 56244.0700 DES-r shallow4  1.25150e+01  9.9490e+00    0  1.000 30.970  2.33 2.760e+01  26.2406 
