SURVEY:   DES
SNID:             48665  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -30.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0139 +- 0.0022  # MW E(B-V) 
MWXT_MAG:  0.058 0.039 0.028 0.022  # MW mag-XT per band
PEAKMJD:  56173.324     # estimate for LC fit codes
MJD_TRIGGER:       56179.203  
MJD_DETECT_FIRST:  56179.188  
MJD_DETECT_LAST:   56218.152  

REDSHIFT_HELIO:   0.294201 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.293713 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           4    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.29448 
SIM_REDSHIFT_CMB:    0.29399  
SIM_REDSHIFT_HOST:   0.29448 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.8987   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -30.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0159   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.038     # coh model scatter 
SIM_PEAKMJD:         56175.406    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.8510e-05 
SIM_SALT2x1:         0.4259 
SIM_SALT2c:          0.1636 
SIM_SALT2mB:         21.9975 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6242  # spectro-search efficiency 
SIM_TRESTMIN:        2.92  # days 
SIM_TRESTMAX:        66.22  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.369 21.829 21.732 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.1880 DES-g shallow3  9.92988e+01  3.6013e+00 4096  1.000 32.460  2.49 3.638e+01  22.4957 
OBS: 56179.1950 DES-r shallow3  1.92699e+02  9.1735e+00 4096  1.000 31.120  2.37 2.760e+01  21.8606 
OBS: 56179.2030 DES-i shallow3  1.94878e+02  7.6666e+00 4096  1.000 32.270  2.23 7.619e+01  21.7335 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56179.2031
OBS: 56187.1560 DES-g shallow3  6.29503e+01  2.6317e+00 4096  1.000 32.380  1.67 3.638e+01  22.9814 
OBS: 56187.1720 DES-r shallow3  1.34841e+02  7.3931e+00 4096  1.000 30.960  1.63 2.760e+01  22.1043 
OBS: 56187.1880 DES-i shallow3  1.56638e+02  6.2575e+00 4096  1.000 32.190  1.68 7.619e+01  22.0315 
OBS: 56194.1450 DES-g shallow3  3.81910e+01  3.7908e+00 4096  1.000 32.280  1.82 4.612e+01  23.6410 
OBS: 56194.1560 DES-r shallow3  9.53210e+01  8.7773e+00 4096  1.000 30.780  1.63 2.850e+01  22.4600 
OBS: 56194.1720 DES-i shallow3  1.25932e+02  8.3811e+00 4096  1.000 31.850  1.61 7.874e+01  22.3584 
OBS: 56208.1910 DES-g shallow3  1.22292e+01  2.4990e+00 4096  1.000 32.390  1.67 3.638e+01  24.9167 
OBS: 56208.1990 DES-r shallow3  4.68209e+01  6.5647e+00 4096  1.000 31.060  1.64 2.760e+01  23.2506 
OBS: 56208.2070 DES-i shallow3  9.89605e+01  6.4221e+00 4096  1.000 32.230  1.81 7.619e+01  22.5838 
OBS: 56217.2110 DES-g shallow3  8.46679e+00  1.7650e+00    0  1.000 32.320  1.10 3.638e+01  25.4560 
OBS: 56217.2300 DES-r shallow3  3.17172e+01  5.3549e+00 4096  1.000 31.030  1.30 2.760e+01  23.7156 
OBS: 56218.1520 DES-i shallow3  5.84337e+01  4.3665e+00 4096  1.000 32.190  1.18 7.619e+01  22.9649 
OBS: 56221.3550 DES-g shallow3  5.07374e+00  4.2869e+00    0  1.000 31.900  1.84 3.638e+01  25.6084 
OBS: 56222.0740 DES-r shallow3  2.61552e+01  1.9884e+01    0  1.000 30.720  3.63 2.822e+01  23.9348 
OBS: 56222.0900 DES-i shallow3  6.08839e+01  1.2313e+01    0  1.000 32.050  2.91 7.798e+01  23.1407 
OBS: 56228.1880 DES-g shallow3  1.55175e+01  5.6799e+00    0  1.000 32.220  1.17 1.050e+02  25.7223 
OBS: 56229.0470 DES-r shallow3 -2.75085e+01  4.8506e+01    0  1.000 29.580  1.76 5.185e+01  24.1733 
OBS: 56229.0590 DES-i shallow3  8.60053e+00  1.8506e+01    0  1.000 31.950  2.05 1.531e+02  23.4090 
OBS: 56230.1450 DES-g shallow3  1.42998e+01  6.6615e+00    0  1.000 32.230  1.13 1.290e+02  25.7574 
OBS: 56231.0700 DES-r shallow3  3.97813e+01  1.2017e+01    0  1.000 30.980  1.62 5.033e+01  24.2216 
OBS: 56231.0860 DES-i shallow3  3.65493e+01  1.0397e+01    0  1.000 32.160  1.44 1.482e+02  23.4762 
OBS: 56235.1450 DES-g shallow3  1.20293e+01  5.0507e+00    0  1.000 32.290  1.82 6.355e+01  25.8706 
OBS: 56236.0270 DES-r shallow3  2.13796e+01  1.6821e+01    0  1.000 30.670  2.99 2.760e+01  24.3017 
OBS: 56236.0350 DES-i shallow3 -6.78795e+00  2.0492e+01    0  1.000 31.450  2.86 7.619e+01  23.6172 
OBS: 56237.1880 DES-g shallow3  1.24936e+01  3.8635e+00    0  1.000 31.860  1.59 3.638e+01  25.9235 
