SURVEY:   DES
SNID:             50739  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.310 0.206 0.151 0.115  # MW mag-XT per band
PEAKMJD:  56231.930     # estimate for LC fit codes
MJD_TRIGGER:       56215.238  
MJD_DETECT_FIRST:  56214.164  
MJD_DETECT_LAST:   56318.043  

REDSHIFT_HELIO:   0.219014 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.218269 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.21860 
SIM_REDSHIFT_CMB:    0.21785  
SIM_REDSHIFT_HOST:   0.21860 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.1604   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0849   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.124     # coh model scatter 
SIM_PEAKMJD:         56232.770    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         7.8972e-05 
SIM_SALT2x1:         0.8921 
SIM_SALT2c:          0.0690 
SIM_SALT2mB:         20.8913 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8995  # spectro-search efficiency 
SIM_TRESTMIN:        -15.28  # days 
SIM_TRESTMAX:        70.03  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.211 20.942 21.002 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56214.1640 DES-g shallow7  3.02864e+01  2.4819e+00 4096  1.000 32.370  1.60 3.638e+01  23.9778 
OBS: 56215.2380 DES-r shallow7  5.68442e+01  5.9752e+00 4096  1.000 31.040  1.45 2.760e+01  23.0211 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56215.2383
OBS: 56216.1640 DES-i shallow7  8.18535e+01  5.6635e+00 4096  1.000 32.260  1.64 7.619e+01  22.6400 
OBS: 56221.1130 DES-g shallow7  1.88769e+02  4.8110e+00 4096  1.000 32.210  2.43 3.916e+01  21.8421 
OBS: 56221.1950 DES-r shallow7  2.72949e+02  4.7893e+01    0  1.000 29.110  2.00 2.760e+01  21.6340 
OBS: 56221.3120 DES-i shallow7  2.22500e+02  8.6587e+00 4096  1.000 31.940  1.85 7.619e+01  21.5903 
OBS: 56228.1990 DES-g shallow7  3.24195e+02  7.1852e+00 4096  1.000 32.330  1.32 1.260e+02  21.2234 
OBS: 56228.2150 DES-r shallow7  3.89075e+02  1.6010e+01 4096  1.000 30.880  1.65 5.860e+01  21.0335 
OBS: 56228.2230 DES-i shallow7  3.84495e+02  2.9345e+01 4096  1.000 31.290  1.52 1.772e+02  21.0699 
OBS: 56230.1560 DES-g shallow7  3.46973e+02  1.0043e+01 4096  1.000 32.290  1.33 1.716e+02  21.1959 
OBS: 56230.1720 DES-r shallow7  4.16538e+02  1.9286e+01 4096  1.000 30.930  1.46 8.506e+01  20.9789 
OBS: 56230.1880 DES-i shallow7  3.78762e+02  2.3023e+01 4096  1.000 32.110  1.70 2.652e+02  21.0376 
OBS: 56235.1600 DES-g shallow7  3.13543e+02  5.6526e+00 4096  1.000 32.350  1.86 6.962e+01  21.2723 
OBS: 56235.1720 DES-r shallow7  4.24658e+02  1.2395e+01 4096  1.000 30.940  2.14 3.511e+01  20.9464 
OBS: 56235.1880 DES-i shallow7  3.88283e+02  1.0542e+01 4096  1.000 32.190  2.17 1.001e+02  20.9912 
OBS: 56237.1990 DES-g shallow7  2.91383e+02  5.3437e+00 4096  1.000 32.120  1.94 4.964e+01  21.3525 
OBS: 56237.2070 DES-r shallow7  4.24534e+02  1.0692e+01 4096  1.000 30.860  1.95 2.950e+01  20.9768 
OBS: 56237.2150 DES-i shallow7  4.25791e+02  1.2999e+01 4096  1.000 31.610  1.90 8.195e+01  21.0037 
OBS: 56243.1950 DES-g shallow7  2.03025e+02  2.7113e+00 4096  1.000 32.320  1.41 3.638e+01  21.6959 
OBS: 56243.2030 DES-r shallow7  3.28863e+02  7.5770e+00 4096  1.000 30.990  1.59 2.760e+01  21.1652 
OBS: 56243.2110 DES-i shallow7  3.29945e+02  6.1816e+00 4096  1.000 32.080  1.44 7.619e+01  21.2337 
OBS: 56245.1910 DES-g shallow7  1.74803e+02  6.9406e+00 4096  1.000 31.200  1.47 3.638e+01  21.8445 
OBS: 56245.1990 DES-r shallow7  3.20832e+02  7.0756e+00 4096  1.000 31.010  1.49 2.760e+01  21.2537 
OBS: 56245.2030 DES-i shallow7  2.69532e+02  6.0492e+00 4096  1.000 32.140  1.51 7.619e+01  21.3465 
OBS: 56248.2300 DES-g shallow7  1.46510e+02  2.7640e+00 4096  1.000 32.320  1.54 3.638e+01  22.1200 
OBS: 56248.2380 DES-r shallow7  2.84224e+02  8.1748e+00 4096  1.000 30.810  1.48 2.760e+01  21.4169 
OBS: 56248.2500 DES-i shallow7  2.50404e+02  7.4707e+00 4096  1.000 31.910  1.53 7.619e+01  21.5033 
OBS: 56260.1880 DES-g shallow7  4.44407e+01  8.0428e+00    0  1.000 32.420  1.41 1.486e+02  23.2967 
