SURVEY:   DES
SNID:             52749  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.276 0.184 0.135 0.103  # MW mag-XT per band
PEAKMJD:  56194.160     # estimate for LC fit codes
MJD_TRIGGER:       56180.211  
MJD_DETECT_FIRST:  56179.359  
MJD_DETECT_LAST:   56268.215  

REDSHIFT_HELIO:   0.273595 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.272817 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.27450 
SIM_REDSHIFT_CMB:    0.27372  
SIM_REDSHIFT_HOST:   0.27450 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.7216   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0757   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.083     # coh model scatter 
SIM_PEAKMJD:         56193.812    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.7427e-05 
SIM_SALT2x1:         0.7308 
SIM_SALT2c:          0.1399 
SIM_SALT2mB:         21.7020 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7104  # spectro-search efficiency 
SIM_TRESTMIN:        -11.35  # days 
SIM_TRESTMAX:        67.04  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.183 21.662 21.559 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.3590 DES-g shallow7  5.43844e+01  4.6890e+00 4096  1.000 32.220  1.94 5.086e+01  23.2416 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56180.2109
OBS: 56180.2110 DES-r shallow7  9.66755e+01  8.6272e+00 4096  1.000 31.110  2.25 2.760e+01  22.5769 
OBS: 56180.2190 DES-i shallow7  1.03555e+02  6.6951e+00 4096  1.000 32.270  1.96 7.619e+01  22.5147 
OBS: 56188.2380 DES-g shallow7  1.32667e+02  3.7838e+00 4096  1.000 32.310  2.24 3.638e+01  22.2162 
OBS: 56189.1950 DES-r shallow7  2.31149e+02  5.9729e+01    0  1.000 29.110  2.51 2.760e+01  21.7364 
OBS: 56189.2030 DES-i shallow7  2.02447e+02  1.4005e+01 4096  1.000 31.960  3.10 7.619e+01  21.6638 
OBS: 56200.2190 DES-g shallow7  8.93849e+01  1.2754e+01 4096  1.000 32.370  2.31 1.374e+02  22.4239 
OBS: 56202.2230 DES-r shallow7  2.04988e+02  1.3670e+01 4096  1.000 31.070  1.52 6.581e+01  21.7913 
OBS: 56202.2380 DES-i shallow7  2.05672e+02  1.4267e+01 4096  1.000 32.280  1.61 2.026e+02  21.6804 
OBS: 56214.1640 DES-g shallow7  3.43241e+01  2.4911e+00 4096  1.000 32.370  1.60 3.638e+01  23.5491 
OBS: 56215.2380 DES-r shallow7  1.09981e+02  6.1435e+00 4096  1.000 31.040  1.45 2.760e+01  22.3920 
OBS: 56216.1640 DES-i shallow7  1.25593e+02  5.7114e+00 4096  1.000 32.260  1.64 7.619e+01  22.2688 
OBS: 56221.1130 DES-g shallow7  1.37716e+01  4.5672e+00    0  1.000 32.210  2.43 3.916e+01  24.2217 
OBS: 56221.1950 DES-r shallow7  1.54428e+02  4.7612e+01    0  1.000 29.110  2.00 2.760e+01  22.6849 
OBS: 56221.3120 DES-i shallow7  1.13220e+02  8.5524e+00 4096  1.000 31.940  1.85 7.619e+01  22.3263 
OBS: 56228.1990 DES-g shallow7  1.24445e+01  6.9269e+00    0  1.000 32.330  1.32 1.260e+02  24.7782 
OBS: 56228.2150 DES-r shallow7  2.01183e+01  1.5489e+01    0  1.000 30.880  1.65 5.860e+01  23.0091 
OBS: 56228.2230 DES-i shallow7  1.15337e+02  2.9205e+01    0  1.000 31.290  1.52 1.772e+02  22.4141 
OBS: 56230.1560 DES-g shallow7 -3.41723e+00  9.8313e+00    0  1.000 32.290  1.33 1.716e+02  24.9079 
OBS: 56230.1720 DES-r shallow7  5.78140e+01  1.8887e+01    0  1.000 30.930  1.46 8.506e+01  23.1015 
OBS: 56230.1880 DES-i shallow7  1.35602e+02  2.2948e+01    0  1.000 32.110  1.70 2.652e+02  22.4706 
OBS: 56235.1600 DES-g shallow7  1.07700e+01  5.3362e+00    0  1.000 32.350  1.86 6.962e+01  25.2025 
OBS: 56235.1720 DES-r shallow7  5.92872e+01  1.1758e+01    0  1.000 30.940  2.14 3.511e+01  23.3629 
OBS: 56235.1880 DES-i shallow7  8.03051e+01  1.0345e+01 4096  1.000 32.190  2.17 1.001e+02  22.6910 
OBS: 56237.1990 DES-g shallow7  2.26139e+00  4.9450e+00    0  1.000 32.120  1.94 4.964e+01  25.2912 
OBS: 56237.2070 DES-r shallow7  4.56308e+01  9.8571e+00    0  1.000 30.860  1.95 2.950e+01  23.4645 
OBS: 56237.2150 DES-i shallow7  8.33942e+01  1.2696e+01 4096  1.000 31.610  1.90 8.195e+01  22.7859 
OBS: 56243.1950 DES-g shallow7  6.14722e+00  2.2421e+00    0  1.000 32.320  1.41 3.638e+01  25.4186 
