SURVEY:   DES
SNID:             53952  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       34.500000  # deg (avg among obs)
DEC:      -5.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0227 +- 0.0036  # MW E(B-V) 
MWXT_MAG:  0.073 0.049 0.036 0.027  # MW mag-XT per band
PEAKMJD:  56259.316     # estimate for LC fit codes
MJD_TRIGGER:       56245.043  
MJD_DETECT_FIRST:  56245.027  
MJD_DETECT_LAST:   56273.219  

REDSHIFT_HELIO:   0.807391 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.805903 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.80773 
SIM_REDSHIFT_CMB:    0.80624  
SIM_REDSHIFT_HOST:   0.80773 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            43.5087   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              34.500000     # deg  
SIM_DEC:             -5.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0201   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.199     # coh model scatter 
SIM_PEAKMJD:         56259.508    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.9460e-06 
SIM_SALT2x1:         0.7913 
SIM_SALT2c:          0.1341 
SIM_SALT2mB:         24.4619 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -17.43  # days 
SIM_TRESTMAX:        50.10  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 25.022 24.177 24.258  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 57 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56228.0470 DES-r deep2  1.31638e+01  1.1649e+01    0  1.000 33.030  1.66 3.223e+02  31.6256 
OBS: 56228.0590 DES-z deep2  2.41136e+00  4.4890e+00    0  1.000 35.240  2.02 7.819e+02  28.3909 
OBS: 56228.3320 DES-i deep2  8.37768e+00  7.0711e+00    0  1.000 34.570  2.13 6.301e+02  28.3969 
OBS: 56229.3050 DES-r deep2 -1.28737e-01  4.6397e+00    0  1.000 34.430  1.95 3.969e+02  30.3346 
OBS: 56229.3200 DES-i deep2  5.66114e+00  7.9522e+00    0  1.000 34.540  1.94 7.569e+02  27.9370 
OBS: 56229.3480 DES-z deep2 -3.81785e+00  4.5782e+00    0  1.000 35.520  2.45 8.509e+02  27.8001 
OBS: 56230.3280 DES-r deep2  3.26161e+00  3.9583e+00    0  1.000 34.470  1.76 3.892e+02  29.6289 
OBS: 56230.3440 DES-i deep2  1.77507e+01  7.5188e+00    0  1.000 34.550  1.90 7.373e+02  27.5370 
OBS: 56231.0200 DES-z deep2  2.80917e+00  4.1452e+00    0  1.000 35.350  2.02 7.990e+02  27.1575 
OBS: 56235.0270 DES-r deep2  3.04229e+00  3.0381e+00    0  1.000 34.120  2.81 1.352e+02  26.9096 
OBS: 56235.0390 DES-i deep2 -2.55519e+00  5.6726e+00    0  1.000 34.120  3.11 2.286e+02  25.9551 
OBS: 56235.3120 DES-z deep2  3.72240e+00  4.7298e+00    0  1.000 35.400  2.99 6.449e+02  25.8856 
OBS: 56237.0230 DES-r deep2  1.89563e+00  2.1209e+00    0  1.000 34.430  2.61 1.352e+02  26.3896 
OBS: 56237.0390 DES-i deep2  6.30541e+00  3.4798e+00    0  1.000 34.560  2.86 2.286e+02  25.5453 
OBS: 56237.0740 DES-z deep2  4.16873e+00  3.4917e+00    0  1.000 35.450  2.46 6.059e+02  25.5509 
OBS: 56243.0270 DES-r deep2  9.31987e+00  2.3456e+00    0  1.000 34.440  2.91 1.352e+02  25.5134 
OBS: 56243.0390 DES-i deep2  9.79922e+00  3.4005e+00    0  1.000 34.570  2.82 2.286e+02  24.7934 
OBS: 56243.0700 DES-z deep2  7.12526e+00  3.4494e+00    0  1.000 35.450  2.43 6.059e+02  24.8395 
OBS: 56245.0270 DES-r deep2  8.07133e+00  1.3452e+00 4096  1.000 34.500  1.76 1.352e+02  25.3118 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56245.0430
OBS: 56245.0430 DES-i deep2  1.40755e+01  2.0492e+00 4096  1.000 34.610  1.76 2.286e+02  24.6118 
OBS: 56245.0700 DES-z deep2  1.06613e+01  2.3701e+00 4096  1.000 35.470  1.70 6.059e+02  24.6691 
OBS: 56247.2070 DES-r deep2  7.53960e+00  1.3127e+00 4096  1.000 34.450  1.64 1.352e+02  25.1475 
OBS: 56247.2230 DES-i deep2  1.71813e+01  2.0876e+00 4096  1.000 34.540  1.68 2.286e+02  24.4557 
OBS: 56247.2500 DES-z deep2  1.90745e+01  3.0141e+00 4096  1.000 35.190  1.67 6.059e+02  24.5238 
OBS: 56258.1910 DES-r deep2  1.22843e+01  3.2314e+00    0  1.000 34.470  1.69 3.306e+02  24.9934 
OBS: 56258.2150 DES-i deep2  1.39962e+01  5.8128e+00    0  1.000 34.590  1.81 6.208e+02  24.1716 
OBS: 56258.2420 DES-z deep2  2.05851e+01  3.8992e+00 4096  1.000 35.520  2.23 7.959e+02  24.2636 
OBS: 56261.1090 DES-r deep2  1.10553e+01  2.8622e+00    0  1.000 33.810  1.20 2.242e+02  25.0642 
