SURVEY:   DES
SNID:             54019  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.290 0.193 0.142 0.108  # MW mag-XT per band
PEAKMJD:  56228.363     # estimate for LC fit codes
MJD_TRIGGER:       56221.312  
MJD_DETECT_FIRST:  56217.152  
MJD_DETECT_LAST:   56248.250  

REDSHIFT_HELIO:   0.811711 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.810604 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.81243 
SIM_REDSHIFT_CMB:    0.81132  
SIM_REDSHIFT_HOST:   0.81243 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            43.5249   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0796   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.207     # coh model scatter 
SIM_PEAKMJD:         56229.312    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.6722e-06 
SIM_SALT2x1:         -0.0905 
SIM_SALT2c:          -0.1319 
SIM_SALT2mB:         23.7506 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0624  # spectro-search efficiency 
SIM_TRESTMIN:        -16.06  # days 
SIM_TRESTMAX:        67.18  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 23.640 23.138 23.419  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 59 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56202.2230 DES-r shallow7 -6.35648e+00  1.3387e+01    0  1.000 31.070  1.52 6.581e+01  27.5239 
OBS: 56202.2380 DES-i shallow7  2.28016e+01  1.4188e+01    0  1.000 32.280  1.61 2.026e+02  26.1906 
OBS: 56207.1560 DES-z shallow7  2.09960e+01  1.0702e+01    0  1.000 33.300  2.94 2.142e+02  24.9324 
OBS: 56215.2380 DES-r shallow7  3.04576e+01  5.8899e+00    0  1.000 31.040  1.45 2.760e+01  23.9855 
OBS: 56216.1640 DES-i shallow7  3.27138e+01  5.6091e+00    0  1.000 32.260  1.64 7.619e+01  23.5584 
OBS: 56217.1520 DES-z shallow7  3.12459e+01  5.3418e+00 4096  1.000 33.220  1.36 2.142e+02  23.7585 
OBS: 56221.1950 DES-r shallow7  5.73834e+01  4.7380e+01    0  1.000 29.110  2.00 2.760e+01  23.6140 
OBS: 56221.3120 DES-i shallow7  4.50279e+01  8.4854e+00 4096  1.000 31.940  1.85 7.619e+01  23.2573 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56221.3125
OBS: 56222.1050 DES-z shallow7 -2.10041e+01  1.8051e+01    0  1.000 32.820  3.14 2.175e+02  23.5290 
OBS: 56228.2150 DES-r shallow7  5.14869e+01  1.5534e+01    0  1.000 30.880  1.65 5.860e+01  23.6097 
OBS: 56228.2230 DES-i shallow7  3.73864e+01  2.9164e+01    0  1.000 31.290  1.52 1.772e+02  23.1332 
OBS: 56229.1990 DES-z shallow7  4.37139e+01  8.4708e+00    0  1.000 33.170  1.50 2.946e+02  23.4194 
OBS: 56230.1720 DES-r shallow7  3.44166e+01  1.8861e+01    0  1.000 30.930  1.46 8.506e+01  23.6675 
OBS: 56230.1880 DES-i shallow7  4.25991e+01  2.2919e+01    0  1.000 32.110  1.70 2.652e+02  23.1453 
OBS: 56231.2300 DES-z shallow7  4.61437e+01  8.0755e+00 4096  1.000 33.180  1.48 2.872e+02  23.4177 
OBS: 56235.1720 DES-r shallow7  2.41201e+01  1.1695e+01    0  1.000 30.940  2.14 3.511e+01  23.8719 
OBS: 56235.1880 DES-i shallow7  4.39445e+01  1.0322e+01    0  1.000 32.190  2.17 1.001e+02  23.2370 
OBS: 56236.1880 DES-z shallow7  3.57061e+01  9.3631e+00    0  1.000 33.210  2.25 2.253e+02  23.4698 
OBS: 56237.2070 DES-r shallow7  3.68157e+01  9.8368e+00    0  1.000 30.860  1.95 2.950e+01  23.9746 
OBS: 56237.2150 DES-i shallow7  4.60389e+01  1.2663e+01    0  1.000 31.610  1.90 8.195e+01  23.2966 
OBS: 56238.1990 DES-z shallow7  3.67155e+01  1.0908e+01    0  1.000 32.970  2.21 2.142e+02  23.5075 
OBS: 56243.2030 DES-r shallow7  1.93431e+01  6.7063e+00    0  1.000 30.990  1.59 2.760e+01  24.3091 
OBS: 56243.2110 DES-i shallow7  4.00249e+01  5.8261e+00 4096  1.000 32.080  1.44 7.619e+01  23.5293 
OBS: 56244.1880 DES-z shallow7  2.00367e+01  7.3760e+00 4096  1.000 33.110  1.70 2.142e+02  23.6494 
OBS: 56245.1990 DES-r shallow7  2.57542e+01  6.1987e+00    0  1.000 31.010  1.49 2.760e+01  24.4323 
OBS: 56245.2030 DES-i shallow7  4.71777e+01  5.7875e+00 4096  1.000 32.140  1.51 7.619e+01  23.6258 
OBS: 56246.1990 DES-z shallow7  3.74915e+01  6.3211e+00    0  1.000 33.220  1.61 2.142e+02  23.7062 
OBS: 56248.2380 DES-r shallow7  1.63740e+01  7.3570e+00    0  1.000 30.810  1.48 2.760e+01  24.6280 
