SURVEY:   DES
SNID:             56009  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.221 0.147 0.108 0.082  # MW mag-XT per band
PEAKMJD:  56256.457     # estimate for LC fit codes
MJD_TRIGGER:       56243.203  
MJD_DETECT_FIRST:  56243.195  
MJD_DETECT_LAST:   56298.090  

REDSHIFT_HELIO:   0.267161 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.266386 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.26691 
SIM_REDSHIFT_CMB:    0.26613  
SIM_REDSHIFT_HOST:   0.26691 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.6519   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0605   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.224     # coh model scatter 
SIM_PEAKMJD:         56256.832    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.8318e-05 
SIM_SALT2x1:         -0.9677 
SIM_SALT2c:          0.0007 
SIM_SALT2mB:         21.4247 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6138  # spectro-search efficiency 
SIM_TRESTMIN:        -17.12  # days 
SIM_TRESTMAX:        66.52  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.018 21.737 21.752 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56235.1600 DES-g shallow7  1.65750e+00  5.3264e+00    0  1.000 32.350  1.86 6.962e+01 99 
OBS: 56235.1720 DES-r shallow7  8.84548e+00  1.1668e+01    0  1.000 30.940  2.14 3.511e+01  28.1052 
OBS: 56235.1880 DES-i shallow7  6.71264e+00  1.0298e+01    0  1.000 32.190  2.17 1.001e+02  28.7076 
OBS: 56237.1990 DES-g shallow7 -3.31528e+00  4.9417e+00    0  1.000 32.120  1.94 4.964e+01 99 
OBS: 56237.2070 DES-r shallow7  1.21227e+01  9.7798e+00    0  1.000 30.860  1.95 2.950e+01  25.8729 
OBS: 56237.2150 DES-i shallow7 -5.50148e+00  1.2622e+01    0  1.000 31.610  1.90 8.195e+01  25.8937 
OBS: 56243.1950 DES-g shallow7  3.95228e+01  2.3283e+00 4096  1.000 32.320  1.41 3.638e+01  23.4372 
OBS: 56243.2030 DES-r shallow7  4.99441e+01  6.7973e+00 4096  1.000 30.990  1.59 2.760e+01  23.1570 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56243.2031
OBS: 56243.2110 DES-i shallow7  5.82536e+01  5.8491e+00 4096  1.000 32.080  1.44 7.619e+01  23.0678 
OBS: 56245.1910 DES-g shallow7  6.78955e+01  6.6807e+00 4096  1.000 31.200  1.47 3.638e+01  22.9258 
OBS: 56245.1990 DES-r shallow7  8.18422e+01  6.3747e+00 4096  1.000 31.010  1.49 2.760e+01  22.7244 
OBS: 56245.2030 DES-i shallow7  8.90703e+01  5.8377e+00 4096  1.000 32.140  1.51 7.619e+01  22.6481 
OBS: 56248.2300 DES-g shallow7  1.12832e+02  2.6911e+00 4096  1.000 32.320  1.54 3.638e+01  22.3695 
OBS: 56248.2380 DES-r shallow7  1.29533e+02  7.7131e+00 4096  1.000 30.810  1.48 2.760e+01  22.2195 
OBS: 56248.2500 DES-i shallow7  1.35864e+02  7.3375e+00 4096  1.000 31.910  1.53 7.619e+01  22.1644 
OBS: 56260.1880 DES-g shallow7  1.43198e+02  8.1086e+00 4096  1.000 32.420  1.41 1.486e+02  22.1423 
OBS: 56260.1950 DES-r shallow7  1.99665e+02  1.4401e+01 4096  1.000 31.000  1.44 6.877e+01  21.7587 
OBS: 56260.2030 DES-i shallow7  2.18823e+02  1.3900e+01 4096  1.000 32.210  1.42 2.096e+02  21.7580 
OBS: 56268.1950 DES-g shallow7  7.95052e+01  2.8187e+00 4096  1.000 32.340  1.71 3.638e+01  22.7888 
OBS: 56268.1990 DES-r shallow7  1.37583e+02  7.8168e+00 4096  1.000 30.910  1.65 2.760e+01  22.0460 
OBS: 56268.2150 DES-i shallow7  1.36880e+02  6.5188e+00 4096  1.000 32.130  1.65 7.680e+01  22.1253 
OBS: 56278.2230 DES-g shallow7  2.37537e+01  2.4157e+00 4096  1.000 32.380  1.58 3.638e+01  23.9457 
OBS: 56279.1800 DES-r shallow7  8.04214e+01  7.1344e+00 4096  1.000 30.910  1.53 2.760e+01  22.6937 
OBS: 56279.1990 DES-i shallow7  1.01556e+02  7.8057e+00 4096  1.000 32.180  2.11 7.619e+01  22.5093 
OBS: 56288.1990 DES-g shallow7  1.67170e+01  8.9301e+00    0  1.000 32.360  1.72 1.282e+02  24.8087 
OBS: 56288.2150 DES-r shallow7  5.19556e+01  1.7834e+01    0  1.000 31.010  2.16 5.800e+01  23.2231 
OBS: 56289.0510 DES-i shallow7  6.53251e+01  1.7938e+01    0  1.000 32.570  3.27 1.646e+02  22.7757 
OBS: 56296.0780 DES-g shallow7  5.66113e+00  1.8675e+00 4096  1.000 32.300  1.15 3.638e+01  25.2080 
