SURVEY:   DES
SNID:             58494  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -33.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.037 0.025 0.018 0.014  # MW mag-XT per band
PEAKMJD:  56170.504     # estimate for LC fit codes
MJD_TRIGGER:       56178.234  
MJD_DETECT_FIRST:  56178.219  
MJD_DETECT_LAST:   56245.152  

REDSHIFT_HELIO:   0.293890 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.293429 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           3    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.29328 
SIM_REDSHIFT_CMB:    0.29282  
SIM_REDSHIFT_HOST:   0.29328 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.8887   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -33.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0103   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.141     # coh model scatter 
SIM_PEAKMJD:         56171.012    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.0373e-05 
SIM_SALT2x1:         0.1940 
SIM_SALT2c:          -0.0366 
SIM_SALT2mB:         21.3795 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7024  # spectro-search efficiency 
SIM_TRESTMIN:        5.57  # days 
SIM_TRESTMAX:        69.79  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.699 21.515 21.575 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 43 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56178.2190 DES-g shallow2  1.56954e+02  6.0023e+00 4096  1.000 32.350  2.69 5.249e+01  22.0403 
OBS: 56178.2340 DES-r shallow2  2.16316e+02  1.4060e+01 4096  1.000 30.960  2.90 3.077e+01  21.6325 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56178.2344
OBS: 56178.2500 DES-i shallow2  2.06383e+02  1.7270e+01    0  1.000 32.100  3.86 8.630e+01  21.6587 
OBS: 56186.2030 DES-g shallow2  8.60827e+01  2.5282e+00 4096  1.000 32.380  1.56 3.638e+01  22.6745 
OBS: 56186.2110 DES-r shallow2  1.72219e+02  6.7756e+00 4096  1.000 31.040  1.57 2.760e+01  21.9719 
OBS: 56186.2190 DES-i shallow2  1.41624e+02  5.6007e+00 4096  1.000 32.170  1.47 7.619e+01  22.0650 
OBS: 56189.3120 DES-g shallow2  5.84624e+01  2.9710e+00 4096  1.000 32.120  1.49 3.638e+01  23.0029 
OBS: 56189.3240 DES-r shallow2  8.38278e+01  3.8713e+01    0  1.000 29.150  1.69 2.760e+01  22.1503 
OBS: 56189.3400 DES-i shallow2  8.24008e+01  4.8480e+01    0  1.000 29.900  1.62 7.619e+01  22.1967 
OBS: 56202.1910 DES-g shallow2  1.20665e+01  6.9186e+00    0  1.000 32.390  1.73 1.013e+02  24.2201 
OBS: 56202.1990 DES-r shallow2  7.21268e+01  1.0509e+01 4096  1.000 31.060  1.69 4.489e+01  22.9066 
OBS: 56202.2070 DES-i shallow2  9.24699e+01  1.1166e+01 4096  1.000 32.230  1.86 1.311e+02  22.4206 
OBS: 56215.1950 DES-g shallow2  1.24179e+01  2.0862e+00    0  1.000 32.430  1.44 3.638e+01  24.9764 
OBS: 56215.2030 DES-r shallow2  4.39413e+01  6.5180e+00    0  1.000 31.060  1.63 2.760e+01  23.5678 
OBS: 56215.2110 DES-i shallow2  6.66101e+01  4.5848e+00 4096  1.000 32.250  1.31 7.619e+01  22.9290 
OBS: 56221.1480 DES-g shallow2  1.51723e+01  1.1478e+01    0  1.000 31.230  2.43 4.006e+01  25.0914 
OBS: 56221.1600 DES-r shallow2  2.55856e+01  1.6729e+01    0  1.000 30.230  1.96 2.791e+01  23.7983 
OBS: 56221.1760 DES-i shallow2  5.86189e+01  2.0572e+01    0  1.000 31.000  1.87 7.709e+01  23.1727 
OBS: 56228.1370 DES-g shallow2  1.74879e+01  6.6305e+00    0  1.000 32.290  1.49 1.027e+02  25.1966 
OBS: 56228.1450 DES-r shallow2  2.02101e+01  9.9761e+00    0  1.000 30.910  1.42 4.451e+01  23.9800 
OBS: 56228.1560 DES-i shallow2  3.55035e+01  9.8613e+00    0  1.000 31.970  1.31 1.296e+02  23.4018 
OBS: 56230.1050 DES-g shallow2  2.12244e-02  8.6045e+00    0  1.000 32.210  1.47 1.260e+02  25.2409 
OBS: 56230.1130 DES-r shallow2  3.43946e+00  1.3981e+01    0  1.000 30.900  1.67 5.315e+01  24.0127 
OBS: 56230.1210 DES-i shallow2  4.29549e+01  1.3588e+01    0  1.000 32.070  1.64 1.567e+02  23.4566 
OBS: 56235.1090 DES-g shallow2  8.76628e+00  4.6141e+00    0  1.000 32.280  2.81 3.638e+01  25.3684 
OBS: 56235.1170 DES-r shallow2  2.91602e+01  1.2102e+01    0  1.000 30.870  2.58 2.760e+01  24.0657 
OBS: 56235.1250 DES-i shallow2  4.39616e+01  1.2806e+01    0  1.000 32.000  2.96 7.619e+01  23.5744 
OBS: 56237.1450 DES-g shallow2  4.40175e+00  4.7495e+00    0  1.000 31.900  2.04 3.638e+01  25.4236 
