SURVEY:   DES
SNID:             60929  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.262 0.174 0.128 0.097  # MW mag-XT per band
PEAKMJD:  56191.723     # estimate for LC fit codes
MJD_TRIGGER:       56180.234  
MJD_DETECT_FIRST:  56180.219  
MJD_DETECT_LAST:   56217.152  

REDSHIFT_HELIO:   0.530602 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.529667 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.53035 
SIM_REDSHIFT_CMB:    0.52941  
SIM_REDSHIFT_HOST:   0.53035 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.3999   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0718   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.093     # coh model scatter 
SIM_PEAKMJD:         56192.422    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.0281e-05 
SIM_SALT2x1:         0.7948 
SIM_SALT2c:          0.0566 
SIM_SALT2mB:         23.1049 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0720  # spectro-search efficiency 
SIM_TRESTMIN:        -8.54  # days 
SIM_TRESTMAX:        69.09  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  24.660 23.069 23.080 22.989  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 67 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.3590 DES-g shallow7  6.89490e+00  4.6230e+00    0  1.000 32.220  1.94 5.086e+01  24.9675 
OBS: 56180.2110 DES-r shallow7  5.07407e+01  8.5309e+00    0  1.000 31.110  2.25 2.760e+01  23.4664 
OBS: 56180.2190 DES-i shallow7  3.64621e+01  6.6329e+00 4096  1.000 32.270  1.96 7.619e+01  23.5082 
OBS: 56180.2340 DES-z shallow7  5.33385e+01  7.4759e+00 4096  1.000 33.300  2.05 2.142e+02  23.5127 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56180.2344
OBS: 56188.2380 DES-g shallow7  1.69552e+01  3.5971e+00 4096  1.000 32.310  2.24 3.638e+01  24.5185 
OBS: 56189.1950 DES-r shallow7  1.23186e+02  5.9524e+01    0  1.000 29.110  2.51 2.760e+01  23.0682 
OBS: 56189.2030 DES-i shallow7  5.76344e+01  1.3920e+01    0  1.000 31.960  3.10 7.619e+01  23.1098 
OBS: 56189.2110 DES-z shallow7  7.55116e+01  1.6937e+01    0  1.000 32.600  2.44 2.142e+02  23.0384 
OBS: 56200.2190 DES-g shallow7  6.80095e+00  1.2717e+01    0  1.000 32.370  2.31 1.374e+02  25.1992 
OBS: 56202.2230 DES-r shallow7  4.04124e+01  1.3444e+01    0  1.000 31.070  1.52 6.581e+01  23.3155 
OBS: 56202.2380 DES-i shallow7  5.29910e+01  1.4201e+01    0  1.000 32.280  1.61 2.026e+02  23.2032 
OBS: 56207.1560 DES-z shallow7  5.59740e+01  1.0710e+01    0  1.000 33.300  2.94 2.142e+02  23.3127 
OBS: 56214.1640 DES-g shallow7  4.08505e+00  2.4217e+00    0  1.000 32.370  1.60 3.638e+01  26.3814 
OBS: 56215.2380 DES-r shallow7  2.60456e+01  5.8755e+00    0  1.000 31.040  1.45 2.760e+01  24.0736 
OBS: 56216.1640 DES-i shallow7  2.94968e+01  5.6055e+00    0  1.000 32.260  1.64 7.619e+01  23.6955 
OBS: 56217.1520 DES-z shallow7  4.35297e+01  5.3477e+00 4096  1.000 33.220  1.36 2.142e+02  23.7152 
OBS: 56221.1130 DES-g shallow7 -1.55848e+00  4.5475e+00    0  1.000 32.210  2.43 3.916e+01  26.9931 
OBS: 56221.1950 DES-r shallow7  4.17026e+01  4.7342e+01    0  1.000 29.110  2.00 2.760e+01  24.5196 
OBS: 56221.3120 DES-i shallow7  2.84145e+01  8.4689e+00    0  1.000 31.940  1.85 7.619e+01  23.8764 
OBS: 56222.1050 DES-z shallow7  3.28364e+01  1.8058e+01    0  1.000 32.820  3.14 2.175e+02  23.7898 
OBS: 56228.1990 DES-g shallow7 -6.23233e-01  6.9164e+00    0  1.000 32.330  1.32 1.260e+02  27.5663 
OBS: 56228.2150 DES-r shallow7  1.27192e+01  1.5479e+01    0  1.000 30.880  1.65 5.860e+01  25.0069 
OBS: 56228.2230 DES-i shallow7 -1.14086e-01  2.9144e+01    0  1.000 31.290  1.52 1.772e+02  24.1596 
OBS: 56229.1990 DES-z shallow7  3.29480e+01  8.4674e+00    0  1.000 33.170  1.50 2.946e+02  23.8762 
OBS: 56230.1560 DES-g shallow7  2.97327e+00  9.8331e+00    0  1.000 32.290  1.33 1.716e+02  27.7415 
OBS: 56230.1720 DES-r shallow7  1.94591e+01  1.8844e+01    0  1.000 30.930  1.46 8.506e+01  25.1233 
OBS: 56230.1880 DES-i shallow7  4.77320e+01  2.2920e+01    0  1.000 32.110  1.70 2.652e+02  24.2321 
OBS: 56231.2300 DES-z shallow7  2.93674e+01  8.0699e+00    0  1.000 33.180  1.48 2.872e+02  23.9021 
