SURVEY:   DES
SNID:             61089  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.298 0.198 0.145 0.111  # MW mag-XT per band
PEAKMJD:  56224.582     # estimate for LC fit codes
MJD_TRIGGER:       56215.238  
MJD_DETECT_FIRST:  56214.164  
MJD_DETECT_LAST:   56266.199  

REDSHIFT_HELIO:   0.400910 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.400054 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.40221 
SIM_REDSHIFT_CMB:    0.40135  
SIM_REDSHIFT_HOST:   0.40221 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.6852   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0817   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.114     # coh model scatter 
SIM_PEAKMJD:         56224.594    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.9280e-05 
SIM_SALT2x1:         -0.4889 
SIM_SALT2c:          0.0105 
SIM_SALT2mB:         22.4223 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.2079  # spectro-search efficiency 
SIM_TRESTMIN:        -17.39  # days 
SIM_TRESTMAX:        67.42  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.371 22.569 22.530 22.720  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 67 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56200.2190 DES-g shallow7  8.40797e+00  1.2718e+01    0  1.000 32.370  2.31 1.374e+02 99 
OBS: 56202.2230 DES-r shallow7  5.28446e+00  1.3395e+01    0  1.000 31.070  1.52 6.581e+01  27.2605 
OBS: 56202.2380 DES-i shallow7  2.21934e+01  1.4188e+01    0  1.000 32.280  1.61 2.026e+02  26.4497 
OBS: 56207.1560 DES-z shallow7  2.25230e+01  1.0702e+01    0  1.000 33.300  2.94 2.142e+02  24.2337 
OBS: 56214.1640 DES-g shallow7  3.56983e+01  2.4942e+00 4096  1.000 32.370  1.60 3.638e+01  23.6852 
OBS: 56215.2380 DES-r shallow7  6.11096e+01  5.9889e+00 4096  1.000 31.040  1.45 2.760e+01  22.9544 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56215.2383
OBS: 56216.1640 DES-i shallow7  6.32838e+01  5.6430e+00 4096  1.000 32.260  1.64 7.619e+01  22.8891 
OBS: 56217.1520 DES-z shallow7  6.47501e+01  5.3579e+00 4096  1.000 33.220  1.36 2.142e+02  22.8605 
OBS: 56221.1130 DES-g shallow7  3.72102e+01  4.6006e+00    0  1.000 32.210  2.43 3.916e+01  23.2946 
OBS: 56221.1950 DES-r shallow7  9.59779e+01  4.7472e+01    0  1.000 29.110  2.00 2.760e+01  22.6047 
OBS: 56221.3120 DES-i shallow7  8.50154e+01  8.5247e+00 4096  1.000 31.940  1.85 7.619e+01  22.5961 
OBS: 56222.1050 DES-z shallow7  6.74638e+01  1.8065e+01    0  1.000 32.820  3.14 2.175e+02  22.7505 
OBS: 56228.1990 DES-g shallow7  2.58852e+01  6.9382e+00    0  1.000 32.330  1.32 1.260e+02  23.5619 
OBS: 56228.2150 DES-r shallow7  9.16024e+01  1.5592e+01 4096  1.000 30.880  1.65 5.860e+01  22.6283 
OBS: 56228.2230 DES-i shallow7  1.05396e+02  2.9199e+01    0  1.000 31.290  1.52 1.772e+02  22.5331 
OBS: 56229.1990 DES-z shallow7  7.68288e+01  8.4813e+00 4096  1.000 33.170  1.50 2.946e+02  22.7402 
OBS: 56230.1560 DES-g shallow7  2.19172e+01  9.8448e+00    0  1.000 32.290  1.33 1.716e+02  23.6919 
OBS: 56230.1720 DES-r shallow7  9.79582e+01  1.8932e+01    0  1.000 30.930  1.46 8.506e+01  22.6932 
OBS: 56230.1880 DES-i shallow7  9.12108e+01  2.2934e+01    0  1.000 32.110  1.70 2.652e+02  22.5583 
OBS: 56231.2300 DES-z shallow7  6.54518e+01  8.0818e+00 4096  1.000 33.180  1.48 2.872e+02  22.7903 
OBS: 56235.1600 DES-g shallow7  2.94513e+01  5.3563e+00    0  1.000 32.350  1.86 6.962e+01  24.0730 
OBS: 56235.1720 DES-r shallow7  4.98156e+01  1.1741e+01 4096  1.000 30.940  2.14 3.511e+01  22.9324 
OBS: 56235.1880 DES-i shallow7  8.35026e+01  1.0347e+01 4096  1.000 32.190  2.17 1.001e+02  22.7078 
OBS: 56236.1880 DES-z shallow7  7.42824e+01  9.3738e+00 4096  1.000 33.210  2.25 2.253e+02  23.0287 
OBS: 56237.1990 DES-g shallow7  2.07543e+01  4.9714e+00    0  1.000 32.120  1.94 4.964e+01  24.2494 
OBS: 56237.2070 DES-r shallow7  7.79376e+01  9.9311e+00 4096  1.000 30.860  1.95 2.950e+01  23.0578 
OBS: 56237.2150 DES-i shallow7  9.17857e+01  1.2704e+01 4096  1.000 31.610  1.90 8.195e+01  22.7986 
OBS: 56238.1990 DES-z shallow7  5.18302e+01  1.0912e+01    0  1.000 32.970  2.21 2.142e+02  23.1425 
