SURVEY:   DES
SNID:             61932  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       34.500000  # deg (avg among obs)
DEC:      -5.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0227 +- 0.0036  # MW E(B-V) 
MWXT_MAG:  0.092 0.061 0.045 0.034  # MW mag-XT per band
PEAKMJD:  56207.387     # estimate for LC fit codes
MJD_TRIGGER:       56189.160  
MJD_DETECT_FIRST:  56185.152  
MJD_DETECT_LAST:   56247.250  

REDSHIFT_HELIO:   0.724308 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.722888 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.72489 
SIM_REDSHIFT_CMB:    0.72347  
SIM_REDSHIFT_HOST:   0.72489 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            43.2212   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              34.500000     # deg  
SIM_DEC:             -5.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0251   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.067     # coh model scatter 
SIM_PEAKMJD:         56207.012    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.0383e-06 
SIM_SALT2x1:         1.7327 
SIM_SALT2c:          0.0830 
SIM_SALT2mB:         23.8793 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0300  # spectro-search efficiency 
SIM_TRESTMIN:        -17.89  # days 
SIM_TRESTMAX:        69.66  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 23.771 23.430 23.436  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 70 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56177.1720 DES-r deep2  5.91203e+00  3.6087e+00    0  1.000 34.390  4.28 1.352e+02  27.7958 
OBS: 56177.1880 DES-i deep2 -7.66547e+00  8.7701e+00    0  1.000 34.530  4.99 3.214e+02  27.1485 
OBS: 56177.2110 DES-z deep2  9.31513e+00  4.7945e+00    0  1.000 35.660  3.85 6.450e+02  26.9282 
OBS: 56180.3280 DES-r deep2 -2.82499e+00  2.5397e+00    0  1.000 34.320  2.73 1.399e+02  26.3631 
OBS: 56180.3440 DES-i deep2  3.98290e+00  3.5492e+00    0  1.000 34.430  2.49 2.376e+02  25.8538 
OBS: 56185.1520 DES-z deep2  1.77824e+01  2.2041e+00 4096  1.000 35.470  1.58 6.059e+02  24.6437 
OBS: 56189.1600 DES-r deep2  1.71969e+01  3.8938e+00 4096  1.000 33.690  2.42 1.352e+02  24.3680 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56189.1602
OBS: 56189.1760 DES-i deep2  3.40981e+01  8.0867e+00    0  1.000 33.380  2.24 2.286e+02  24.0819 
OBS: 56189.2270 DES-z deep2  1.60090e+01  4.2528e+00 4096  1.000 35.090  2.15 6.059e+02  24.1436 
OBS: 56194.1290 DES-r deep2  2.45339e+01  2.3664e+00 4096  1.000 34.150  2.16 1.402e+02  23.9333 
OBS: 56200.2340 DES-i deep2  5.02891e+01  7.6846e+00 4096  1.000 34.620  2.34 6.524e+02  23.4627 
OBS: 56201.1560 DES-z deep2  4.25765e+01  4.5594e+00 4096  1.000 35.560  2.64 8.155e+02  23.5012 
OBS: 56208.1760 DES-r deep2  2.85355e+01  1.2711e+00 4096  1.000 34.470  1.60 1.352e+02  23.7926 
OBS: 56210.1560 DES-i deep2  4.53044e+01  3.5350e+00 4096  1.000 34.590  2.98 2.286e+02  23.4608 
OBS: 56214.1800 DES-z deep2  3.51963e+01  2.0822e+00 4096  1.000 35.540  1.59 6.059e+02  23.4687 
OBS: 56217.1910 DES-r deep2  2.26742e+01  9.8630e-01 4096  1.000 34.430  1.19 1.352e+02  24.0672 
OBS: 56219.2300 DES-i deep2  3.29422e+01  1.6473e+00 4096  1.000 34.590  1.38 2.286e+02  23.6324 
OBS: 56221.0470 DES-z deep2  3.29274e+01  7.7859e+00 4096  1.000 35.000  3.59 6.115e+02  23.5882 
OBS: 56221.3400 DES-r deep2  2.76231e+00  1.3475e+01    0  1.000 32.160  2.05 1.352e+02  24.2244 
OBS: 56222.0470 DES-i deep2  3.30535e+01  6.5321e+00    0  1.000 34.100  3.41 2.355e+02  23.7180 
OBS: 56228.0470 DES-r deep2  5.14835e+01  1.1659e+01    0  1.000 33.030  1.66 3.223e+02  24.5747 
OBS: 56228.0590 DES-z deep2  1.75560e+01  4.4903e+00 4096  1.000 35.240  2.02 7.819e+02  23.8063 
OBS: 56228.3320 DES-i deep2  1.92370e+01  7.0723e+00 4096  1.000 34.570  2.13 6.301e+02  23.9643 
OBS: 56229.3050 DES-r deep2  2.09612e+01  4.6435e+00    0  1.000 34.430  1.95 3.969e+02  24.6655 
OBS: 56229.3200 DES-i deep2  3.13564e+01  7.9547e+00    0  1.000 34.540  1.94 7.569e+02  24.0128 
OBS: 56229.3480 DES-z deep2  2.45646e+01  4.5799e+00 4096  1.000 35.520  2.45 8.509e+02  23.8628 
OBS: 56230.3280 DES-r deep2  9.00430e+00  3.9595e+00    0  1.000 34.470  1.76 3.892e+02  24.7411 
OBS: 56230.3440 DES-i deep2  1.93083e+01  7.5189e+00    0  1.000 34.550  1.90 7.373e+02  24.0629 
