SURVEY:   DES
SNID:             61979  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.277 0.184 0.135 0.103  # MW mag-XT per band
PEAKMJD:  56220.266     # estimate for LC fit codes
MJD_TRIGGER:       56215.238  
MJD_DETECT_FIRST:  56214.164  
MJD_DETECT_LAST:   56268.215  

REDSHIFT_HELIO:   0.226984 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.226234 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.22683 
SIM_REDSHIFT_CMB:    0.22608  
SIM_REDSHIFT_HOST:   0.22683 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.2509   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0758   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.053     # coh model scatter 
SIM_PEAKMJD:         56219.250    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.4509e-05 
SIM_SALT2x1:         -0.9681 
SIM_SALT2c:          0.1539 
SIM_SALT2mB:         21.5139 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7483  # spectro-search efficiency 
SIM_TRESTMIN:        -15.52  # days 
SIM_TRESTMAX:        64.30  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.982 21.533 21.479 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56200.2190 DES-g shallow7  2.42902e+01  1.2725e+01    0  1.000 32.370  2.31 1.374e+02 99 
OBS: 56202.2230 DES-r shallow7  1.56035e+01  1.3409e+01    0  1.000 31.070  1.52 6.581e+01  24.2479 
OBS: 56202.2380 DES-i shallow7  1.09966e+01  1.4183e+01    0  1.000 32.280  1.61 2.026e+02  24.0415 
OBS: 56214.1640 DES-g shallow7  1.51808e+02  2.7440e+00 4096  1.000 32.370  1.60 3.638e+01  22.0662 
OBS: 56215.2380 DES-r shallow7  2.25527e+02  6.4943e+00 4096  1.000 31.040  1.45 2.760e+01  21.6448 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56215.2383
OBS: 56216.1640 DES-i shallow7  2.35792e+02  5.8305e+00 4096  1.000 32.260  1.64 7.619e+01  21.5394 
OBS: 56221.1130 DES-g shallow7  1.47678e+02  4.7549e+00 4096  1.000 32.210  2.43 3.916e+01  22.0339 
OBS: 56221.1950 DES-r shallow7  1.95686e+02  4.7710e+01    0  1.000 29.110  2.00 2.760e+01  21.5322 
OBS: 56221.3120 DES-i shallow7  2.63704e+02  8.6985e+00 4096  1.000 31.940  1.85 7.619e+01  21.4760 
OBS: 56228.1990 DES-g shallow7  1.03568e+02  7.0034e+00 4096  1.000 32.330  1.32 1.260e+02  22.5131 
OBS: 56228.2150 DES-r shallow7  1.94750e+02  1.5738e+01 4096  1.000 30.880  1.65 5.860e+01  21.7332 
OBS: 56228.2230 DES-i shallow7  2.07667e+02  2.9253e+01 4096  1.000 31.290  1.52 1.772e+02  21.7129 
OBS: 56230.1560 DES-g shallow7  7.24991e+01  9.8759e+00 4096  1.000 32.290  1.33 1.716e+02  22.7119 
OBS: 56230.1720 DES-r shallow7  1.75949e+02  1.9019e+01 4096  1.000 30.930  1.46 8.506e+01  21.8421 
OBS: 56230.1880 DES-i shallow7  1.69326e+02  2.2958e+01 4096  1.000 32.110  1.70 2.652e+02  21.8440 
OBS: 56235.1600 DES-g shallow7  3.87045e+01  5.3662e+00    0  1.000 32.350  1.86 6.962e+01  23.2854 
OBS: 56235.1720 DES-r shallow7  1.38591e+02  1.1899e+01 4096  1.000 30.940  2.14 3.511e+01  22.1242 
OBS: 56235.1880 DES-i shallow7  1.47033e+02  1.0388e+01 4096  1.000 32.190  2.17 1.001e+02  22.0715 
OBS: 56237.1990 DES-g shallow7  4.61766e+01  5.0076e+00    0  1.000 32.120  1.94 4.964e+01  23.5437 
OBS: 56237.2070 DES-r shallow7  1.27734e+02  1.0044e+01 4096  1.000 30.860  1.95 2.950e+01  22.2380 
OBS: 56237.2150 DES-i shallow7  1.53064e+02  1.2759e+01 4096  1.000 31.610  1.90 8.195e+01  22.1264 
OBS: 56243.1950 DES-g shallow7  2.06143e+01  2.2799e+00 4096  1.000 32.320  1.41 3.638e+01  24.1914 
OBS: 56243.2030 DES-r shallow7  9.67676e+01  6.9343e+00 4096  1.000 30.990  1.59 2.760e+01  22.5405 
OBS: 56243.2110 DES-i shallow7  1.18076e+02  5.9239e+00 4096  1.000 32.080  1.44 7.619e+01  22.2476 
OBS: 56245.1910 DES-g shallow7  1.82291e+01  6.5565e+00    0  1.000 31.200  1.47 3.638e+01  24.3645 
OBS: 56245.1990 DES-r shallow7  1.01242e+02  6.4344e+00 4096  1.000 31.010  1.49 2.760e+01  22.6375 
OBS: 56245.2030 DES-i shallow7  1.25384e+02  5.8809e+00 4096  1.000 32.140  1.51 7.619e+01  22.2781 
OBS: 56248.2300 DES-g shallow7  1.43427e+01  2.4657e+00 4096  1.000 32.320  1.54 3.638e+01  24.5974 
