SURVEY:   DES
SNID:             62224  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -33.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.044 0.029 0.021 0.016  # MW mag-XT per band
PEAKMJD:  56173.098     # estimate for LC fit codes
MJD_TRIGGER:       56178.234  
MJD_DETECT_FIRST:  56178.219  
MJD_DETECT_LAST:   56215.227  

REDSHIFT_HELIO:   0.386295 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.385801 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           3    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.38639 
SIM_REDSHIFT_CMB:    0.38590  
SIM_REDSHIFT_HOST:   0.38639 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.5845   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -33.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0120   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.025     # coh model scatter 
SIM_PEAKMJD:         56171.773    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.2871e-05 
SIM_SALT2x1:         -0.0580 
SIM_SALT2c:          0.0029 
SIM_SALT2mB:         22.2368 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.3715  # spectro-search efficiency 
SIM_TRESTMIN:        4.65  # days 
SIM_TRESTMAX:        69.56  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.773 22.108 22.181 22.406  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 60 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56178.2190 DES-g shallow2  5.12550e+01  5.9004e+00 4096  1.000 32.350  2.69 5.249e+01  23.1330 
OBS: 56178.2340 DES-r shallow2  1.32331e+02  1.3936e+01 4096  1.000 30.960  2.90 3.077e+01  22.2543 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56178.2344
OBS: 56178.2500 DES-i shallow2  1.37510e+02  1.7241e+01 4096  1.000 32.100  3.86 8.630e+01  22.2143 
OBS: 56178.2660 DES-z shallow2  7.90013e+01  1.2970e+01 4096  1.000 33.260  3.32 2.214e+02  22.4686 
OBS: 56186.2030 DES-g shallow2  3.11404e+01  2.4037e+00 4096  1.000 32.380  1.56 3.638e+01  23.7444 
OBS: 56186.2110 DES-r shallow2  8.00568e+01  6.5094e+00 4096  1.000 31.040  1.57 2.760e+01  22.6643 
OBS: 56186.2190 DES-i shallow2  9.41715e+01  5.5430e+00 4096  1.000 32.170  1.47 7.619e+01  22.4973 
OBS: 56186.2300 DES-z shallow2  6.55429e+01  6.0043e+00 4096  1.000 33.230  1.54 2.142e+02  22.8651 
OBS: 56189.3120 DES-g shallow2  2.65968e+01  2.8939e+00 4096  1.000 32.120  1.49 3.638e+01  24.0413 
OBS: 56189.3240 DES-r shallow2  7.57743e+01  3.8690e+01    0  1.000 29.150  1.69 2.760e+01  22.8774 
OBS: 56189.3400 DES-i shallow2  1.19267e+02  4.8522e+01    0  1.000 29.900  1.62 7.619e+01  22.6393 
OBS: 56189.3550 DES-z shallow2  6.67761e+01  1.1785e+01 4096  1.000 32.740  1.93 2.142e+02  22.9812 
OBS: 56202.1910 DES-g shallow2  3.65721e+00  6.9118e+00    0  1.000 32.390  1.73 1.013e+02  25.2508 
OBS: 56202.1990 DES-r shallow2  2.25744e+01  1.0420e+01    0  1.000 31.060  1.69 4.489e+01  23.7972 
OBS: 56202.2070 DES-i shallow2  6.36626e+01  1.1149e+01    0  1.000 32.230  1.86 1.311e+02  23.1011 
OBS: 56202.2150 DES-z shallow2  5.39338e+01  7.5817e+00 4096  1.000 33.290  1.73 2.551e+02  23.1283 
OBS: 56215.1950 DES-g shallow2  6.57133e+00  2.0712e+00    0  1.000 32.430  1.44 3.638e+01  25.9195 
OBS: 56215.2030 DES-r shallow2  2.49538e+01  6.4629e+00    0  1.000 31.060  1.63 2.760e+01  24.5196 
OBS: 56215.2110 DES-i shallow2  3.86112e+01  4.5462e+00 4096  1.000 32.250  1.31 7.619e+01  23.6102 
OBS: 56215.2270 DES-z shallow2  4.46883e+01  5.4042e+00 4096  1.000 33.240  1.40 2.142e+02  23.5078 
OBS: 56221.1480 DES-g shallow2  1.64925e+01  1.1480e+01    0  1.000 31.230  2.43 4.006e+01  26.0724 
OBS: 56221.1600 DES-r shallow2  2.78406e+01  1.6734e+01    0  1.000 30.230  1.96 2.791e+01  24.7520 
OBS: 56221.1760 DES-i shallow2  3.12138e+01  2.0545e+01    0  1.000 31.000  1.87 7.709e+01  23.8603 
OBS: 56221.1910 DES-z shallow2  9.30860e+01  3.1609e+01    0  1.000 31.690  1.97 2.142e+02  23.7901 
OBS: 56228.1370 DES-g shallow2  9.00894e+00  6.6227e+00    0  1.000 32.290  1.49 1.027e+02  26.2471 
OBS: 56228.1450 DES-r shallow2 -5.74338e+00  9.9322e+00    0  1.000 30.910  1.42 4.451e+01  24.9257 
OBS: 56228.1560 DES-i shallow2  1.95816e+01  9.8481e+00    0  1.000 31.970  1.31 1.296e+02  24.0745 
OBS: 56228.1720 DES-z shallow2  1.91737e+01  8.6480e+00    0  1.000 32.880  1.34 2.579e+02  24.0757 
OBS: 56230.1050 DES-g shallow2  1.36667e+01  8.6149e+00    0  1.000 32.210  1.47 1.260e+02  26.3068 
OBS: 56230.1130 DES-r shallow2  1.36758e+00  1.3978e+01    0  1.000 30.900  1.67 5.315e+01  24.9642 
OBS: 56230.1210 DES-i shallow2  2.09535e+01  1.3576e+01    0  1.000 32.070  1.64 1.567e+02  24.1246 
OBS: 56230.1290 DES-z shallow2  2.09823e+01  8.5677e+00    0  1.000 33.070  1.47 2.775e+02  24.1477 
OBS: 56235.1090 DES-g shallow2 -2.37156e+00  4.6025e+00    0  1.000 32.280  2.81 3.638e+01  26.4850 
OBS: 56235.1170 DES-r shallow2 -2.09467e+01  1.2048e+01    0  1.000 30.870  2.58 2.760e+01  25.0486 
OBS: 56235.1250 DES-i shallow2  3.27841e+01  1.2800e+01    0  1.000 32.000  2.96 7.619e+01  24.2353 
OBS: 56235.1330 DES-z shallow2  3.50541e+01  1.0802e+01    0  1.000 33.110  2.49 2.142e+02  24.3135 
OBS: 56237.1450 DES-g shallow2 -1.83355e+00  4.7415e+00    0  1.000 31.900  2.04 3.638e+01  26.5663 
OBS: 56237.1480 DES-r shallow2  6.42939e+00  1.0386e+01    0  1.000 30.660  1.83 2.760e+01  25.0773 
OBS: 56237.1600 DES-i shallow2  2.18769e+01  1.1672e+01    0  1.000 31.680  2.01 7.619e+01  24.2731 
OBS: 56237.1760 DES-z shallow2  4.07163e+01  1.3286e+01    0  1.000 32.620  1.95 2.142e+02  24.3727 
OBS: 56243.1410 DES-g shallow2  1.50037e+00  2.6445e+00    0  1.000 32.350  1.72 3.638e+01  26.8256 
OBS: 56243.1520 DES-r shallow2 -2.90268e+00  7.0428e+00    0  1.000 31.000  1.70 2.760e+01  25.1489 
