SURVEY:   DES
SNID:             62802  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       34.500000  # deg (avg among obs)
DEC:      -5.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0227 +- 0.0036  # MW E(B-V) 
MWXT_MAG:  0.096 0.064 0.047 0.036  # MW mag-XT per band
PEAKMJD:  56170.301     # estimate for LC fit codes
MJD_TRIGGER:       56177.172  
MJD_DETECT_FIRST:  56176.176  
MJD_DETECT_LAST:   56247.250  

REDSHIFT_HELIO:   0.436521 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.435339 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.43616 
SIM_REDSHIFT_CMB:    0.43498  
SIM_REDSHIFT_HOST:   0.43616 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.8919   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              34.500000     # deg  
SIM_DEC:             -5.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0263   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.066     # coh model scatter 
SIM_PEAKMJD:         56170.855    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.8044e-05 
SIM_SALT2x1:         1.6485 
SIM_SALT2c:          0.0619 
SIM_SALT2mB:         22.4941 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.2784  # spectro-search efficiency 
SIM_TRESTMIN:        3.71  # days 
SIM_TRESTMAX:        62.93  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.490 22.351 22.363 22.570  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 67 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56176.1760 DES-g deep2  3.41102e+01  4.9078e+00 4096  1.000 32.980  2.00 1.068e+02  23.7520 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56177.1719
OBS: 56177.1720 DES-r deep2  1.12110e+02  3.6344e+00 4096  1.000 34.390  4.28 1.352e+02  22.4601 
OBS: 56177.1880 DES-i deep2  1.06076e+02  8.7794e+00 4096  1.000 34.530  4.99 3.214e+02  22.3997 
OBS: 56177.2110 DES-z deep2  7.58432e+01  4.7983e+00 4096  1.000 35.660  3.85 6.450e+02  22.5674 
OBS: 56180.1720 DES-g deep2  2.77203e+01  2.2924e+00 4096  1.000 33.010  2.09 4.763e+01  23.9772 
OBS: 56180.3280 DES-r deep2  9.66855e+01  2.5751e+00 4096  1.000 34.320  2.73 1.399e+02  22.5554 
OBS: 56180.3440 DES-i deep2  1.09536e+02  3.5743e+00 4096  1.000 34.430  2.49 2.376e+02  22.4618 
OBS: 56185.1520 DES-z deep2  7.19719e+01  2.2121e+00 4096  1.000 35.470  1.58 6.059e+02  22.8584 
OBS: 56189.1480 DES-g deep2  9.07976e+00  9.9812e+00    0  1.000 31.820  3.09 4.763e+01  24.6761 
OBS: 56189.1600 DES-r deep2  6.63690e+01  3.9149e+00 4096  1.000 33.690  2.42 1.352e+02  22.9689 
OBS: 56189.1760 DES-i deep2  6.89576e+01  8.0963e+00 4096  1.000 33.380  2.24 2.286e+02  22.7706 
OBS: 56189.2270 DES-z deep2  5.94188e+01  4.2575e+00 4096  1.000 35.090  2.15 6.059e+02  23.0532 
OBS: 56194.1210 DES-g deep2  1.93914e+01  3.8422e+00    0  1.000 32.670  2.03 6.128e+01  25.1417 
OBS: 56194.1290 DES-r deep2  5.19456e+01  2.3791e+00 4096  1.000 34.150  2.16 1.402e+02  23.2762 
OBS: 56200.2340 DES-i deep2  4.28995e+01  7.6839e+00    0  1.000 34.620  2.34 6.524e+02  23.1633 
OBS: 56201.1560 DES-z deep2  5.00561e+01  4.5599e+00 4096  1.000 35.560  2.64 8.155e+02  23.2272 
OBS: 56208.1600 DES-g deep2  2.20611e+00  1.5292e+00    0  1.000 33.030  1.44 4.763e+01  26.2162 
OBS: 56208.1760 DES-r deep2  2.18578e+01  1.2669e+00 4096  1.000 34.470  1.60 1.352e+02  24.1356 
OBS: 56210.1560 DES-i deep2  4.02410e+01  3.5339e+00 4096  1.000 34.590  2.98 2.286e+02  23.3818 
OBS: 56214.1800 DES-z deep2  4.58584e+01  2.0838e+00 4096  1.000 35.540  1.59 6.059e+02  23.3419 
OBS: 56217.1720 DES-g deep2  1.46756e+00  1.2804e+00    0  1.000 32.950  1.12 4.763e+01  26.4954 
OBS: 56217.1910 DES-r deep2  1.23703e+01  9.7743e-01 4096  1.000 34.430  1.19 1.352e+02  24.6192 
OBS: 56219.2300 DES-i deep2  3.17079e+01  1.6468e+00 4096  1.000 34.590  1.38 2.286e+02  23.7162 
OBS: 56221.0470 DES-z deep2  4.12923e+01  7.7864e+00 4096  1.000 35.000  3.59 6.115e+02  23.6114 
OBS: 56221.3240 DES-g deep2  1.86047e+01  1.2492e+01    0  1.000 31.100  1.99 4.763e+01  26.5975 
OBS: 56221.3400 DES-r deep2 -1.32668e-01  1.3474e+01    0  1.000 32.160  2.05 1.352e+02  24.8195 
OBS: 56222.0470 DES-i deep2  3.11169e+01  6.5318e+00    0  1.000 34.100  3.41 2.355e+02  23.8335 
OBS: 56228.0310 DES-g deep2  2.08956e-01  2.6161e+01    0  1.000 31.510  1.67 1.773e+02  26.8030 
