SURVEY:   DES
SNID:             64109  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.307 0.205 0.150 0.114  # MW mag-XT per band
PEAKMJD:  56170.066     # estimate for LC fit codes
MJD_TRIGGER:       56180.211  
MJD_DETECT_FIRST:  56179.359  
MJD_DETECT_LAST:   56180.219  

REDSHIFT_HELIO:   0.304243 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.303446 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.30480 
SIM_REDSHIFT_CMB:    0.30400  
SIM_REDSHIFT_HOST:   0.30480 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.9829   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0843   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.139     # coh model scatter 
SIM_PEAKMJD:         56170.668    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.7985e-05 
SIM_SALT2x1:         -2.7703 
SIM_SALT2c:          0.1537 
SIM_SALT2mB:         22.4977 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.3378  # spectro-search efficiency 
SIM_TRESTMIN:        6.66  # days 
SIM_TRESTMAX:        68.66  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.014 22.430 22.244 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 39 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.3590 DES-g shallow7  3.60277e+01  4.6636e+00 4096  1.000 32.220  1.94 5.086e+01  23.6833 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56180.2109
OBS: 56180.2110 DES-r shallow7  7.43793e+01  8.5806e+00 4096  1.000 31.110  2.25 2.760e+01  22.7090 
OBS: 56180.2190 DES-i shallow7  1.09137e+02  6.7003e+00 4096  1.000 32.270  1.96 7.619e+01  22.4993 
OBS: 56188.2380 DES-g shallow7  1.35891e+01  3.5915e+00    0  1.000 32.310  2.24 3.638e+01  25.1238 
OBS: 56189.1950 DES-r shallow7 -2.62661e+01  5.9289e+01    0  1.000 29.110  2.51 2.760e+01  23.3119 
OBS: 56189.2030 DES-i shallow7  6.91235e+01  1.3927e+01    0  1.000 31.960  3.10 7.619e+01  22.9270 
OBS: 56200.2190 DES-g shallow7 -9.53852e+00  1.2714e+01    0  1.000 32.370  2.31 1.374e+02  26.5304 
OBS: 56202.2230 DES-r shallow7  4.48670e+00  1.3394e+01    0  1.000 31.070  1.52 6.581e+01  24.5578 
OBS: 56202.2380 DES-i shallow7  2.97260e+01  1.4191e+01    0  1.000 32.280  1.61 2.026e+02  23.3714 
OBS: 56214.1640 DES-g shallow7  1.08965e+00  2.4147e+00    0  1.000 32.370  1.60 3.638e+01  26.5767 
OBS: 56215.2380 DES-r shallow7  1.15526e+01  5.8280e+00    0  1.000 31.040  1.45 2.760e+01  25.1353 
OBS: 56216.1640 DES-i shallow7  1.24690e+01  5.5865e+00    0  1.000 32.260  1.64 7.619e+01  24.4977 
OBS: 56221.1130 DES-g shallow7  4.04443e+00  4.5533e+00    0  1.000 32.210  2.43 3.916e+01  26.9121 
OBS: 56221.1950 DES-r shallow7  1.80894e+00  4.7246e+01    0  1.000 29.110  2.00 2.760e+01  25.1974 
OBS: 56221.3120 DES-i shallow7  6.93229e+00  8.4477e+00    0  1.000 31.940  1.85 7.619e+01  24.5743 
OBS: 56228.1990 DES-g shallow7  6.15863e+00  6.9216e+00    0  1.000 32.330  1.32 1.260e+02  27.1290 
OBS: 56228.2150 DES-r shallow7  1.96022e+01  1.5489e+01    0  1.000 30.880  1.65 5.860e+01  25.3613 
OBS: 56228.2230 DES-i shallow7  3.70111e+00  2.9146e+01    0  1.000 31.290  1.52 1.772e+02  24.6079 
OBS: 56230.1560 DES-g shallow7 -1.67612e+01  9.8313e+00    0  1.000 32.290  1.33 1.716e+02  27.0812 
OBS: 56230.1720 DES-r shallow7 -7.14552e+00  1.8822e+01    0  1.000 30.930  1.46 8.506e+01  25.4131 
OBS: 56230.1880 DES-i shallow7 -9.90823e+00  2.2905e+01    0  1.000 32.110  1.70 2.652e+02  24.6312 
OBS: 56235.1600 DES-g shallow7  4.75055e+00  5.3297e+00    0  1.000 32.350  1.86 6.962e+01  26.8710 
OBS: 56235.1720 DES-r shallow7 -3.04348e-01  1.1652e+01    0  1.000 30.940  2.14 3.511e+01  25.5485 
OBS: 56235.1880 DES-i shallow7  4.32189e+01  1.0322e+01    0  1.000 32.190  2.17 1.001e+02  24.7048 
OBS: 56237.1990 DES-g shallow7 -2.52191e+00  4.9417e+00    0  1.000 32.120  1.94 4.964e+01  26.8902 
OBS: 56237.2070 DES-r shallow7  1.41052e+01  9.7844e+00    0  1.000 30.860  1.95 2.950e+01  25.6047 
OBS: 56237.2150 DES-i shallow7  5.19353e+00  1.2626e+01    0  1.000 31.610  1.90 8.195e+01  24.7369 
OBS: 56243.1950 DES-g shallow7  4.58400e+00  2.2380e+00    0  1.000 32.320  1.41 3.638e+01  27.1392 
