SURVEY:   DES
SNID:             64911  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -27.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0097 +- 0.0015  # MW E(B-V) 
MWXT_MAG:  0.038 0.025 0.018 0.014  # MW mag-XT per band
PEAKMJD:  56180.473     # estimate for LC fit codes
MJD_TRIGGER:       56176.199  
MJD_DETECT_FIRST:  56176.191  
MJD_DETECT_LAST:   56267.199  

REDSHIFT_HELIO:   0.272190 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.271684 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           0    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.27135 
SIM_REDSHIFT_CMB:    0.27084  
SIM_REDSHIFT_HOST:   0.27135 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.6949   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -27.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0104   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.128     # coh model scatter 
SIM_PEAKMJD:         56179.332    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         7.3582e-05 
SIM_SALT2x1:         0.8344 
SIM_SALT2c:          -0.0766 
SIM_SALT2mB:         20.9681 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8309  # spectro-search efficiency 
SIM_TRESTMIN:        -2.47  # days 
SIM_TRESTMAX:        69.17  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.335 21.126 21.264 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 69 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56176.1910 DES-g deep1  3.06892e+02  4.9957e+00 4096  1.000 32.970  2.27 9.127e+01  21.3119 
OBS: 56176.1990 DES-r deep1  3.49334e+02  2.2575e+00 4096  1.000 34.510  2.16 1.771e+02  21.1611 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56176.1992
OBS: 56176.2150 DES-i deep1  2.92269e+02  3.2104e+00 4096  1.000 34.650  2.06 3.120e+02  21.3248 
OBS: 56180.1880 DES-g deep1  2.82465e+02  2.9080e+00 4096  1.000 33.050  2.50 4.763e+01  21.3565 
OBS: 56180.1950 DES-r deep1  3.60519e+02  1.8438e+00 4096  1.000 34.570  2.37 1.352e+02  21.1263 
OBS: 56180.2500 DES-i deep1  3.05797e+02  2.3389e+00 4096  1.000 34.620  1.95 2.286e+02  21.2550 
OBS: 56188.2540 DES-g deep1  2.02790e+02  2.6434e+00 4096  1.000 32.840  1.86 4.763e+01  21.7160 
OBS: 56188.2700 DES-r deep1  3.12319e+02  3.4471e+00 4096  1.000 33.690  2.05 1.352e+02  21.2746 
OBS: 56188.2810 DES-i deep1  2.71613e+02  9.1600e+00 4096  1.000 33.340  2.43 2.286e+02  21.4070 
OBS: 56194.2340 DES-g deep1  1.34511e+02  2.6625e+00 4096  1.000 32.770  1.45 6.049e+01  22.1402 
OBS: 56194.2420 DES-r deep1  2.34654e+02  1.5414e+00 4096  1.000 34.260  1.41 1.396e+02  21.5231 
OBS: 56194.2580 DES-i deep1  2.06045e+02  2.6103e+00 4096  1.000 34.360  1.68 2.362e+02  21.7259 
OBS: 56207.1720 DES-g deep1  4.08417e+01  2.2996e+00 4096  1.000 33.050  2.16 4.763e+01  23.4220 
OBS: 56207.1800 DES-r deep1  1.31475e+02  2.1957e+00 4096  1.000 34.500  2.82 1.352e+02  22.1892 
OBS: 56207.1950 DES-i deep1  1.50711e+02  3.1803e+00 4096  1.000 34.790  2.78 2.634e+02  22.0349 
OBS: 56216.1760 DES-g deep1  2.24648e+01  1.4971e+00 4096  1.000 33.090  1.45 4.763e+01  24.1042 
OBS: 56216.1910 DES-r deep1  9.15227e+01  1.2115e+00 4096  1.000 34.500  1.51 1.352e+02  22.6085 
OBS: 56216.2150 DES-i deep1  1.32963e+02  1.6592e+00 4096  1.000 34.760  1.59 2.286e+02  22.1821 
OBS: 56221.2030 DES-g deep1  2.14180e+01  2.9884e+00    0  1.000 32.730  2.12 4.763e+01  24.4060 
OBS: 56221.2110 DES-r deep1  7.32141e+01  2.4634e+00 4096  1.000 33.840  1.73 1.352e+02  22.8750 
OBS: 56221.2270 DES-i deep1  1.06455e+02  3.2035e+00    0  1.000 34.200  1.87 2.286e+02  22.4061 
OBS: 56222.2540 DES-g deep1  1.97908e+01  2.1903e+00 4096  1.000 32.840  1.71 4.763e+01  24.4522 
OBS: 56222.2700 DES-r deep1  6.93140e+01  3.1208e+00 4096  1.000 33.690  1.92 1.352e+02  22.9283 
OBS: 56222.2810 DES-i deep1  9.75821e+01  8.8176e+00 4096  1.000 33.340  2.35 2.286e+02  22.4551 
OBS: 56228.2270 DES-g deep1  2.36559e+01  6.3760e+00    0  1.000 32.480  1.25 1.405e+02  24.5756 
OBS: 56228.2340 DES-r deep1  5.17293e+01  2.2765e+00 4096  1.000 34.260  1.40 2.295e+02  23.1901 
OBS: 56228.2580 DES-i deep1  8.13722e+01  4.2365e+00 4096  1.000 34.360  1.60 4.125e+02  22.7228 
OBS: 56229.2150 DES-g deep1  1.96965e+01  6.1177e+00    0  1.000 32.840  1.43 1.644e+02  24.5784 
OBS: 56229.2230 DES-r deep1  5.02362e+01  4.8438e+00 4096  1.000 33.550  1.35 2.650e+02  23.2266 
OBS: 56229.2340 DES-i deep1  7.95434e+01  4.3565e+00 4096  1.000 34.390  1.45 4.814e+02  22.7645 
OBS: 56230.1990 DES-g deep1  8.17930e+00  6.1304e+00    0  1.000 32.890  1.43 1.728e+02  24.5843 
OBS: 56230.2070 DES-r deep1  4.87023e+01  2.4309e+00 4096  1.000 34.420  1.43 2.789e+02  23.2605 
OBS: 56230.2300 DES-i deep1  8.24847e+01  3.6206e+00 4096  1.000 34.540  1.31 5.078e+02  22.8060 
OBS: 56231.2770 DES-g deep1  1.69826e+01  4.6443e+00    0  1.000 32.920  1.26 1.524e+02  24.5948 
OBS: 56231.2850 DES-r deep1  4.94129e+01  2.0252e+00 4096  1.000 34.430  1.33 2.513e+02  23.2950 
OBS: 56231.3010 DES-i deep1  7.43589e+01  3.3765e+00 4096  1.000 34.530  1.35 4.552e+02  22.8492 
OBS: 56235.1990 DES-g deep1  1.40183e+01  3.4375e+00    0  1.000 32.960  1.75 8.372e+01  24.6608 
OBS: 56235.2070 DES-r deep1  4.09793e+01  1.8085e+00 4096  1.000 34.500  1.98 1.606e+02  23.3967 
OBS: 56235.2300 DES-i deep1  6.69256e+01  2.7036e+00 4096  1.000 34.570  1.84 2.769e+02  22.9945 
OBS: 56236.2150 DES-g deep1  1.63657e+01  2.7715e+00    0  1.000 32.930  1.58 7.231e+01  24.6840 
OBS: 56236.2300 DES-r deep1  4.26382e+01  1.5859e+00 4096  1.000 34.450  1.77 1.498e+02  23.4172 
OBS: 56236.2420 DES-i deep1  5.77083e+01  2.7426e+00 4096  1.000 34.520  1.93 2.559e+02  23.0282 
OBS: 56237.2270 DES-g deep1  1.47480e+01  4.1776e+00    0  1.000 32.430  1.71 6.354e+01  24.7091 
OBS: 56237.2380 DES-r deep1  3.98629e+01  1.9153e+00 4096  1.000 34.240  1.85 1.431e+02  23.4351 
OBS: 56237.2660 DES-i deep1  6.31708e+01  1.1765e+01 4096  1.000 32.900  1.97 2.429e+02  23.0607 
OBS: 56238.2270 DES-g deep1  1.60362e+01  3.7783e+00    0  1.000 32.430  1.71 5.722e+01  24.7357 
OBS: 56238.2380 DES-r deep1  4.05891e+01  1.8649e+00 4096  1.000 34.240  1.85 1.392e+02  23.4508 
OBS: 56238.2660 DES-i deep1  6.71826e+01  1.1415e+01 4096  1.000 32.900  1.97 2.356e+02  23.0909 
OBS: 56243.2380 DES-g deep1  9.48756e+00  1.5138e+00 4096  1.000 32.900  1.25 4.763e+01  24.8873 
OBS: 56243.2500 DES-r deep1  3.89829e+01  1.1272e+00 4096  1.000 34.460  1.39 1.352e+02  23.5026 
OBS: 56243.2660 DES-i deep1  5.41250e+01  2.2648e+00 4096  1.000 34.520  1.78 2.286e+02  23.2181 
OBS: 56244.2230 DES-g deep1  9.93885e+00  1.4499e+00 4096  1.000 32.850  1.14 4.763e+01  24.9190 
OBS: 56244.2380 DES-r deep1  3.97597e+01  1.1434e+00 4096  1.000 34.390  1.32 1.352e+02  23.5122 
OBS: 56244.2500 DES-i deep1  5.07158e+01  1.7528e+00 4096  1.000 34.580  1.45 2.286e+02  23.2435 
OBS: 56245.2190 DES-g deep1  9.18537e+00  1.6145e+00 4096  1.000 32.820  1.24 4.763e+01  24.9512 
OBS: 56245.2340 DES-r deep1  3.98788e+01  1.3406e+00 4096  1.000 34.320  1.46 1.352e+02  23.5220 
OBS: 56245.2620 DES-i deep1  4.56329e+01  4.6664e+00 4096  1.000 33.390  1.30 2.286e+02  23.2697 
OBS: 56246.2340 DES-g deep1  1.12338e+01  1.7965e+00    0  1.000 32.820  1.38 4.763e+01  24.9839 
OBS: 56246.2460 DES-r deep1  3.87034e+01  2.7202e+00 4096  1.000 33.390  1.27 1.352e+02  23.5319 
OBS: 56246.2620 DES-i deep1  4.88560e+01  4.7034e+00 4096  1.000 33.390  1.31 2.286e+02  23.2955 
OBS: 56248.2660 DES-g deep1  1.01393e+01  1.7848e+00    0  1.000 32.770  1.31 4.763e+01  25.0494 
OBS: 56248.2810 DES-r deep1  3.87473e+01  1.1682e+00 4096  1.000 34.420  1.39 1.352e+02  23.5518 
OBS: 56248.2970 DES-i deep1  4.83136e+01  1.8080e+00 4096  1.000 34.560  1.47 2.286e+02  23.3481 
OBS: 56259.1720 DES-g deep1  1.14951e+01  5.0581e+00    0  1.000 33.010  1.34 1.698e+02  25.4012 
OBS: 56259.1800 DES-r deep1  3.23826e+01  2.1663e+00 4096  1.000 34.470  1.37 2.720e+02  23.6585 
OBS: 56259.1950 DES-i deep1  3.29504e+01  3.4984e+00 4096  1.000 34.570  1.34 4.945e+02  23.6297 
OBS: 56261.3320 DES-g deep1  2.11549e+00  4.2188e+00    0  1.000 33.060  1.49 1.334e+02  25.4708 
OBS: 56267.1880 DES-r deep1  3.14920e+01  1.3954e+00 4096  1.000 34.400  1.61 1.383e+02  23.7370 
OBS: 56267.1990 DES-i deep1  2.77743e+01  2.0213e+00 4096  1.000 34.480  1.50 2.340e+02  23.8366 
END_PHOTOMETRY: 

