SURVEY:   DES
SNID:             66257  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -21.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0337 +- 0.0054  # MW E(B-V) 
MWXT_MAG:  0.095 0.063 0.046 0.035  # MW mag-XT per band
PEAKMJD:  56174.684     # estimate for LC fit codes
MJD_TRIGGER:       56179.289  
MJD_DETECT_FIRST:  56179.281  
MJD_DETECT_LAST:   56244.125  

REDSHIFT_HELIO:   0.292554 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.291992 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           6    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.29240 
SIM_REDSHIFT_CMB:    0.29184  
SIM_REDSHIFT_HOST:   0.29240 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.8805   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -21.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0261   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.118     # coh model scatter 
SIM_PEAKMJD:         56173.926    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.9860e-05 
SIM_SALT2x1:         1.8116 
SIM_SALT2c:          0.2142 
SIM_SALT2mB:         21.9473 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.5954  # spectro-search efficiency 
SIM_TRESTMIN:        4.14  # days 
SIM_TRESTMAX:        67.65  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  22.451 21.949 21.789 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.2810 DES-g shallow5  8.95294e+01  3.2806e+00 4096  1.000 32.360  1.56 4.860e+01  22.6186 
OBS: 56179.2890 DES-r shallow5  1.64819e+02  1.5137e+01 4096  1.000 30.880  2.98 3.009e+01  21.9997 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56179.2891
OBS: 56179.2970 DES-i shallow5  1.99674e+02  1.2078e+01 4096  1.000 32.100  2.75 8.427e+01  21.8094 
OBS: 56188.1760 DES-g shallow5  4.79335e+01  1.0408e+01    0  1.000 31.180  2.29 3.638e+01  23.0751 
OBS: 56188.1910 DES-r shallow5  1.03465e+02  3.9690e+01    0  1.000 29.480  2.35 2.760e+01  22.2653 
OBS: 56188.1950 DES-i shallow5  1.62775e+02  4.9718e+01    0  1.000 30.300  2.40 7.619e+01  22.1449 
OBS: 56194.3320 DES-g shallow5  3.25474e+01  2.2446e+00 4096  1.000 32.360  1.42 3.638e+01  23.6442 
OBS: 56194.3480 DES-r shallow5  9.03464e+01  6.3867e+00 4096  1.000 31.040  1.53 2.760e+01  22.5544 
OBS: 56200.1560 DES-i shallow5  7.72456e+01  1.8658e+01 4096  1.000 32.270  2.79 1.521e+02  22.5090 
OBS: 56209.1910 DES-g shallow5  1.19572e+01  2.5276e+00    0  1.000 32.390  1.69 3.638e+01  24.9586 
OBS: 56209.1990 DES-r shallow5  5.53388e+01  6.6274e+00 4096  1.000 31.060  1.65 2.760e+01  23.2399 
OBS: 56210.1880 DES-i shallow5  9.31344e+01  1.5450e+01    0  1.000 32.140  4.06 7.619e+01  22.5348 
OBS: 56219.1720 DES-g shallow5  6.76433e+00  1.9134e+00    0  1.000 32.330  1.21 3.638e+01  25.5649 
OBS: 56219.1880 DES-r shallow5  3.01837e+01  5.5367e+00 4096  1.000 31.000  1.31 2.760e+01  23.8001 
OBS: 56220.1560 DES-i shallow5  7.16118e+01  4.9794e+00 4096  1.000 32.200  1.36 7.619e+01  22.9204 
OBS: 56222.1600 DES-g shallow5  5.17319e+00  6.6925e+00    0  1.000 31.600  1.88 4.262e+01  25.6152 
OBS: 56222.1760 DES-r shallow5  3.39212e+00  2.2990e+01    0  1.000 29.810  1.82 2.818e+01  23.9418 
OBS: 56222.1910 DES-i shallow5  5.12055e+01  2.8873e+01    0  1.000 30.670  1.92 7.786e+01  23.0147 
OBS: 56229.1130 DES-g shallow5  1.54770e+01  9.0078e+00    0  1.000 32.130  1.38 1.304e+02  25.6615 
OBS: 56229.1210 DES-r shallow5  1.49752e+01  1.7594e+01    0  1.000 30.710  1.64 5.726e+01  24.1680 
OBS: 56229.1290 DES-i shallow5  3.97308e+01  1.8669e+01    0  1.000 31.890  1.75 1.711e+02  23.3249 
OBS: 56231.1450 DES-g shallow5  8.93287e+00  6.4793e+00    0  1.000 32.230  1.14 1.245e+02  25.7147 
OBS: 56231.1560 DES-r shallow5  4.28829e+01  1.1318e+01    0  1.000 30.920  1.30 5.601e+01  24.2063 
OBS: 56231.1720 DES-i shallow5  3.29545e+01  1.1919e+01    0  1.000 32.120  1.41 1.675e+02  23.3992 
OBS: 56236.1050 DES-g shallow5  1.70463e+00  5.1957e+00    0  1.000 32.320  3.29 3.638e+01  25.9066 
OBS: 56236.1090 DES-r shallow5  7.71756e+00  1.3560e+01    0  1.000 30.910  3.01 2.760e+01  24.2544 
OBS: 56236.1170 DES-i shallow5  5.07744e+01  1.1146e+01    0  1.000 32.060  2.72 7.619e+01  23.5408 
OBS: 56238.1250 DES-g shallow5  6.57375e+00  3.5933e+00    0  1.000 32.210  2.05 3.638e+01  26.0043 
OBS: 56238.1290 DES-r shallow5  2.32989e+01  8.7978e+00    0  1.000 30.920  1.96 2.760e+01  24.2601 
OBS: 56238.1370 DES-i shallow5  4.79029e+01  9.8476e+00    0  1.000 31.920  2.11 7.619e+01  23.5835 
OBS: 56244.1090 DES-g shallow5  9.71121e+00  3.0158e+00    0  1.000 32.360  1.97 3.638e+01  26.3110 
OBS: 56244.1170 DES-r shallow5  1.76584e+01  1.0238e+01    0  1.000 30.940  2.33 2.760e+01  24.2815 
OBS: 56244.1250 DES-i shallow5  3.27507e+01  7.8191e+00 4096  1.000 32.180  2.13 7.619e+01  23.7202 
OBS: 56246.1170 DES-g shallow5 -4.85946e+00  9.0512e+00    0  1.000 31.050  1.78 3.638e+01  26.4140 
OBS: 56246.1250 DES-r shallow5  3.23788e+01  1.4904e+01    0  1.000 30.180  1.68 2.760e+01  24.2890 
OBS: 56246.1290 DES-i shallow5  2.99140e+01  7.9036e+00    0  1.000 32.050  1.91 7.619e+01  23.7665 
OBS: 56258.0660 DES-g shallow5  1.24161e+01  1.0024e+01    0  1.000 32.800  3.02 1.230e+02  27.0267 
OBS: 56258.0780 DES-r shallow5  5.11638e+01  1.7323e+01    0  1.000 31.420  3.19 5.563e+01  24.3339 
OBS: 56258.0860 DES-i shallow5  2.00343e+01  1.3401e+01    0  1.000 32.170  1.67 1.666e+02  24.0432 
OBS: 56261.2810 DES-g shallow5  2.96110e+00  5.2503e+00    0  1.000 32.500  1.38 1.068e+02  27.1916 
OBS: 56261.2890 DES-r shallow5  1.40095e+01  8.3249e+00    0  1.000 31.070  1.32 4.642e+01  24.3460 
OBS: 56261.3050 DES-i shallow5  1.92599e+01  9.5872e+00    0  1.000 32.180  1.48 1.355e+02  24.1177 
END_PHOTOMETRY: 

