SURVEY:   DES
SNID:             69398  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       36.750000  # deg (avg among obs)
DEC:      -4.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0283 +- 0.0045  # MW E(B-V) 
MWXT_MAG:  0.114 0.076 0.056 0.042  # MW mag-XT per band
PEAKMJD:  56176.414     # estimate for LC fit codes
MJD_TRIGGER:       56179.312  
MJD_DETECT_FIRST:  56179.172  
MJD_DETECT_LAST:   56246.180  

REDSHIFT_HELIO:   0.249838 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.248848 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.25018 
SIM_REDSHIFT_CMB:    0.24919  
SIM_REDSHIFT_HOST:   0.25018 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.4900   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              36.750000     # deg  
SIM_DEC:             -4.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0313   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.103     # coh model scatter 
SIM_PEAKMJD:         56177.773    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         6.2509e-05 
SIM_SALT2x1:         -1.6929 
SIM_SALT2c:          -0.0678 
SIM_SALT2mB:         21.1451 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8331  # spectro-search efficiency 
SIM_TRESTMIN:        1.12  # days 
SIM_TRESTMAX:        64.33  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.287 21.162 21.256 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 39 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.1720 DES-g shallow6  3.00810e+02  3.6554e+00 4096  1.000 32.420  2.21 3.638e+01  21.3267 
OBS: 56179.3120 DES-r shallow6  3.40540e+02  1.6324e+01 4096  1.000 30.750  2.81 3.001e+01  21.1632 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56179.3125
OBS: 56179.3280 DES-i shallow6  3.41455e+02  1.3128e+01 4096  1.000 32.050  2.85 8.396e+01  21.2543 
OBS: 56188.1480 DES-g shallow6  1.34191e+02  1.4197e+01 4096  1.000 31.230  3.26 3.638e+01  22.0678 
OBS: 56188.1600 DES-r shallow6  2.73578e+02  2.1815e+01 4096  1.000 30.230  2.53 2.760e+01  21.4584 
OBS: 56188.2110 DES-i shallow6  2.46187e+02  1.3499e+01 4096  1.000 31.580  2.09 7.619e+01  21.6120 
OBS: 56200.1800 DES-g shallow6  4.83634e+01  1.5905e+01    0  1.000 32.420  2.76 1.505e+02  23.6051 
OBS: 56200.1880 DES-r shallow6  1.27169e+02  2.4534e+01    0  1.000 31.040  2.57 6.918e+01  22.2070 
OBS: 56200.1950 DES-i shallow6  1.41770e+02  2.3676e+01 4096  1.000 32.400  2.88 2.110e+02  22.0422 
OBS: 56210.2030 DES-g shallow6  1.42740e+01  3.7352e+00    0  1.000 32.420  2.58 3.638e+01  24.3696 
OBS: 56210.2110 DES-r shallow6  6.26465e+01  1.0740e+01    0  1.000 31.190  3.06 2.760e+01  22.8397 
OBS: 56210.2190 DES-i shallow6  9.75336e+01  9.2637e+00 4096  1.000 32.170  2.49 7.619e+01  22.4191 
OBS: 56220.1880 DES-g shallow6  1.38433e+01  1.9255e+00 4096  1.000 32.370  1.25 3.638e+01  24.5968 
OBS: 56220.1950 DES-r shallow6  4.48292e+01  5.5690e+00    0  1.000 31.020  1.33 2.760e+01  23.3894 
OBS: 56220.2030 DES-i shallow6  4.74477e+01  5.3021e+00 4096  1.000 32.200  1.46 7.619e+01  23.1665 
OBS: 56222.2030 DES-g shallow6  1.77355e+01  4.9234e+00    0  1.000 32.140  2.20 4.396e+01  24.6245 
OBS: 56222.2110 DES-r shallow6  4.07877e+01  1.3603e+01    0  1.000 30.390  1.81 2.842e+01  23.4565 
OBS: 56222.2270 DES-i shallow6  5.42909e+01  1.0182e+01    0  1.000 31.810  1.97 7.619e+01  23.2732 
OBS: 56229.1450 DES-g shallow6  6.30097e+00  9.6067e+00    0  1.000 32.280  1.36 1.623e+02  24.7549 
OBS: 56229.1560 DES-r shallow6  5.44319e+01  1.7914e+01    0  1.000 30.780  1.28 8.002e+01  23.5885 
OBS: 56229.1720 DES-i shallow6  1.20157e+01  2.1378e+01    0  1.000 31.850  1.33 2.489e+02  23.4336 
OBS: 56231.1910 DES-g shallow6  1.43313e+01  8.2971e+00    0  1.000 32.300  1.38 1.405e+02  24.8059 
OBS: 56231.1990 DES-r shallow6  2.81856e+01  1.6174e+01    0  1.000 30.940  1.59 6.731e+01  23.6324 
OBS: 56231.2070 DES-i shallow6  2.28800e+01  1.5819e+01    0  1.000 32.160  1.58 2.061e+02  23.4723 
OBS: 56236.1330 DES-g shallow6  7.33951e+00  3.6821e+00    0  1.000 32.270  2.22 3.638e+01  24.9473 
OBS: 56236.1450 DES-r shallow6  2.06066e+01  8.7912e+00    0  1.000 30.920  1.96 2.760e+01  23.7621 
OBS: 56236.1600 DES-i shallow6  4.47195e+01  7.2039e+00    0  1.000 32.170  1.94 7.619e+01  23.5805 
OBS: 56238.1480 DES-g shallow6  6.12623e+00  3.6832e+00    0  1.000 32.030  1.78 3.638e+01  25.0091 
