SURVEY:   DES
SNID:             69633  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.500000  # deg (avg among obs)
DEC:      -36.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0019  # MW E(B-V) 
MWXT_MAG:  0.041 0.027 0.020 0.015  # MW mag-XT per band
PEAKMJD:  56174.426     # estimate for LC fit codes
MJD_TRIGGER:       56186.188  
MJD_DETECT_FIRST:  56178.203  
MJD_DETECT_LAST:   56202.176  

REDSHIFT_HELIO:   0.471467 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.470976 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           2    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.47106 
SIM_REDSHIFT_CMB:    0.47057  
SIM_REDSHIFT_HOST:   0.47106 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.0936   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              52.500000     # deg  
SIM_DEC:             -36.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0111   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    -0.036     # coh model scatter 
SIM_PEAKMJD:         56173.215    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         7.5261e-06 
SIM_SALT2x1:         -2.1097 
SIM_SALT2c:          0.1311 
SIM_SALT2mB:         23.4436 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0624  # spectro-search efficiency 
SIM_TRESTMIN:        3.38  # days 
SIM_TRESTMAX:        68.66  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  24.607 23.125 23.138 23.074  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 67 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56178.1880 DES-g shallow1  1.43004e+01  7.4310e+00    0  1.000 32.320  4.70 3.638e+01  25.0008 
OBS: 56178.1950 DES-r shallow1  3.58868e+01  2.1824e+01    0  1.000 31.000  5.26 2.760e+01  23.2569 
OBS: 56178.2030 DES-i shallow1  6.23055e+01  1.2043e+01 4096  1.000 32.240  3.47 7.619e+01  23.1566 
OBS: 56178.2110 DES-z shallow1  7.43462e+01  1.3153e+01    0  1.000 33.400  3.96 2.142e+02  23.1033 
OBS: 56186.1560 DES-g shallow1  1.04063e+01  2.4734e+00    0  1.000 32.380  1.64 3.638e+01  25.9830 
OBS: 56186.1720 DES-r shallow1  3.66857e+01  7.0289e+00    0  1.000 30.960  1.61 2.760e+01  23.8059 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56186.1875
OBS: 56186.1880 DES-i shallow1  4.22572e+01  6.0627e+00 4096  1.000 32.190  1.66 7.619e+01  23.4668 
OBS: 56186.1950 DES-z shallow1  5.10080e+01  6.5565e+00    0  1.000 33.240  1.70 2.142e+02  23.4588 
OBS: 56189.2730 DES-g shallow1 -3.76982e+00  5.5751e+00    0  1.000 31.740  2.07 3.638e+01  26.3533 
OBS: 56189.2810 DES-r shallow1  3.16274e+01  3.0033e+01    0  1.000 29.770  2.33 2.760e+01  24.0917 
OBS: 56189.2890 DES-i shallow1  5.04769e+01  1.0582e+01    0  1.000 31.800  2.03 7.619e+01  23.6253 
OBS: 56189.2970 DES-z shallow1  4.79707e+01  1.5470e+01    0  1.000 32.530  2.09 2.142e+02  23.6037 
OBS: 56201.2190 DES-g shallow1 -1.10625e+01  9.1564e+00    0  1.000 32.370  2.10 1.087e+02  27.4623 
OBS: 56201.2340 DES-r shallow1  1.81819e+01  1.4205e+01    0  1.000 31.050  2.23 4.611e+01  25.2847 
OBS: 56202.1600 DES-i shallow1  2.02255e+01  9.4578e+00    0  1.000 32.270  1.69 1.272e+02  24.1844 
OBS: 56202.1760 DES-z shallow1  4.48967e+01  8.3122e+00 4096  1.000 33.240  1.82 2.541e+02  23.9120 
OBS: 56214.2380 DES-g shallow1 -1.17332e+00  1.8454e+00    0  1.000 32.410  1.27 3.638e+01  28.1609 
OBS: 56215.1640 DES-r shallow1  7.11166e-01  6.2994e+00    0  1.000 31.000  1.52 2.760e+01  26.1592 
OBS: 56215.1800 DES-i shallow1  1.14690e+01  5.2126e+00    0  1.000 32.260  1.53 7.619e+01  24.8981 
OBS: 56215.1880 DES-z shallow1  1.97138e+01  6.1612e+00    0  1.000 33.260  1.63 2.142e+02  24.6100 
OBS: 56221.1050 DES-g shallow1  7.12190e+00  5.7865e+00    0  1.000 31.970  2.42 4.010e+01  28.6136 
OBS: 56221.1170 DES-r shallow1  1.93746e+01  1.2390e+01    0  1.000 30.780  2.41 2.792e+01  26.2740 
OBS: 56221.1250 DES-i shallow1  4.79417e+01  1.3269e+01    0  1.000 31.720  2.34 7.712e+01  25.2065 
OBS: 56221.1330 DES-z shallow1  1.07115e+01  1.4181e+01    0  1.000 32.660  2.14 2.163e+02  25.0590 
OBS: 56228.1090 DES-g shallow1 -1.43020e+01  8.6288e+00    0  1.000 32.050  1.59 1.007e+02  28.6221 
OBS: 56228.1130 DES-r shallow1  3.18767e+00  1.1238e+01    0  1.000 30.760  1.43 4.348e+01  26.3462 
OBS: 56228.1210 DES-i shallow1 -6.80476e+00  1.3008e+01    0  1.000 31.900  1.67 1.261e+02  25.4164 
OBS: 56228.1290 DES-z shallow1  1.72674e+01  1.1010e+01    0  1.000 32.920  1.78 2.566e+02  25.3193 
